gss_code_ward,ward_name,lad22cd,lad22nm,Simpson's 2021,Simpson's standardised 2021
E05009317,Bethnal Green,E09000030,Tower Hamlets,2.54245898960798,0.60667998811883
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,3.70839579097899,0.730341620375961
E05009319,Bow East,E09000030,Tower Hamlets,2.29730560592337,0.564707456673765
E05009320,Bow West,E09000030,Tower Hamlets,2.22031036474044,0.54961251549312
E05009321,Bromley North,E09000030,Tower Hamlets,2.63109361679749,0.619929905338307
E05009322,Bromley South,E09000030,Tower Hamlets,2.72127458746003,0.632525139282848
E05009323,Canary Wharf,E09000030,Tower Hamlets,3.93302819324015,0.745742987116457
E05009324,Island Gardens,E09000030,Tower Hamlets,3.19534016652933,0.687044274511103
E05009325,Lansbury,E09000030,Tower Hamlets,2.78259422986441,0.640623131728147
E05009326,Limehouse,E09000030,Tower Hamlets,3.33710077240357,0.700338686721845
E05009327,Mile End,E09000030,Tower Hamlets,2.75972926773569,0.637645615571385
E05009328,Poplar,E09000030,Tower Hamlets,2.86405029099785,0.650844119901403
E05009329,St Dunstan's,E09000030,Tower Hamlets,2.50229432004801,0.600366754626684
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3.04886845224559,0.672009463293351
E05009331,St Peter's,E09000030,Tower Hamlets,2.71559995730766,0.631757248592891
E05009332,Shadwell,E09000030,Tower Hamlets,2.71254492196931,0.631342510901533
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3.28461276938377,0.695550108883121
E05009334,Stepney Green,E09000030,Tower Hamlets,2.65275937405534,0.623034034002385
E05009335,Weavers,E09000030,Tower Hamlets,2.74038986923233,0.635088418904376
E05009336,Whitechapel,E09000030,Tower Hamlets,3.37755778185056,0.703928085146747
E05009367,Brownswood,E09000012,Hackney,2.66537540922928,0.624818328953833
E05009368,Cazenove,E09000012,Hackney,2.26663894049607,0.558818132816009
E05009369,Clissold,E09000012,Hackney,2.19567185119752,0.544558537080758
E05009370,Dalston,E09000012,Hackney,2.77541381786331,0.639693369844982
E05009371,De Beauvoir,E09000012,Hackney,2.65592506338327,0.623483352829939
E05009372,Hackney Central,E09000012,Hackney,2.64710307275597,0.622228537191461
E05009373,Hackney Downs,E09000012,Hackney,2.50350306885836,0.600559706740835
E05009374,Hackney Wick,E09000012,Hackney,2.22888568885468,0.551345317976422
E05009375,Haggerston,E09000012,Hackney,2.99425992449421,0.666027657846397
E05009376,Homerton,E09000012,Hackney,2.64523359063011,0.621961552453372
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,3.56759405244857,0.719699050593029
E05009378,Hoxton West,E09000012,Hackney,3.54482133467401,0.71789833518028
E05009379,King's Park,E09000012,Hackney,2.5036736811786,0.600586926516217
E05009380,Lea Bridge,E09000012,Hackney,2.36072467772085,0.576401259563463
E05009381,London Fields,E09000012,Hackney,2.58378928519971,0.612971535361598
E05009382,Shacklewell,E09000012,Hackney,2.80076400942611,0.642954566455991
E05009383,Springfield,E09000012,Hackney,2.17236740531368,0.539672710263481
E05009384,Stamford Hill West,E09000012,Hackney,2.00791663610243,0.501971355772469
E05009385,Stoke Newington,E09000012,Hackney,2.29297887002983,0.56388608152024
E05009386,Victoria,E09000012,Hackney,2.34090864316116,0.572815452272584
E05009387,Woodberry Down,E09000012,Hackney,3.06690478841807,0.673938361641866
E05009388,Abingdon,E09000020,Kensington and Chelsea,4.44123279596927,0.774837292720262
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,4.22528525236731,0.763329588353892
E05009390,Campden,E09000020,Kensington and Chelsea,4.00896064932574,0.750558788805226
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,3.10526138457348,0.677965917791054
E05009392,Colville,E09000020,Kensington and Chelsea,3.14964464947262,0.682503865898827
E05009393,Courtfield,E09000020,Kensington and Chelsea,4.50751528281896,0.778148284086436
E05009394,Dalgarno,E09000020,Kensington and Chelsea,2.55380798564318,0.608427882745402
E05009395,Earl's Court,E09000020,Kensington and Chelsea,4.52652715462368,0.77908008372853
E05009396,Golborne,E09000020,Kensington and Chelsea,3.06625729086586,0.673869507631039
E05009397,Holland,E09000020,Kensington and Chelsea,4.35849326420479,0.770562912598088
E05009398,Norland,E09000020,Kensington and Chelsea,2.86743328356873,0.65125605337348
E05009399,Notting Dale,E09000020,Kensington and Chelsea,2.73443541016903,0.634293793782394
E05009400,Pembridge,E09000020,Kensington and Chelsea,3.91607042011442,0.744641977104492
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,4.58716145362374,0.782000260921702
