gss_code_ward,ward_name,lad22cd,lad22nm,Simpson's 2021,Simpson's standardised 2021
E05009317,Bethnal Green,E09000030,Tower Hamlets,4.54888360396778,0.780165841322529
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,7.22448172743902,0.861581766315231
E05009319,Bow East,E09000030,Tower Hamlets,4.68416605618325,0.786514827184667
E05009320,Bow West,E09000030,Tower Hamlets,4.02681533914566,0.751664798164755
E05009321,Bromley North,E09000030,Tower Hamlets,4.17245387842726,0.760332881048661
E05009322,Bromley South,E09000030,Tower Hamlets,4.17807388752032,0.760655261988797
E05009323,Canary Wharf,E09000030,Tower Hamlets,7.23995828946857,0.861877657298851
E05009324,Island Gardens,E09000030,Tower Hamlets,5.9606719982932,0.832233680986583
E05009325,Lansbury,E09000030,Tower Hamlets,4.5963051302892,0.782433939511523
E05009326,Limehouse,E09000030,Tower Hamlets,5.36736962507064,0.813689000412965
E05009327,Mile End,E09000030,Tower Hamlets,4.23010997282222,0.763599526625823
E05009328,Poplar,E09000030,Tower Hamlets,3.79809503103948,0.736710116037745
E05009329,St Dunstan's,E09000030,Tower Hamlets,3.21705215309162,0.689156422584262
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,4.61631441737982,0.783376973579804
E05009331,St Peter's,E09000030,Tower Hamlets,4.35576286612361,0.770419090585171
E05009332,Shadwell,E09000030,Tower Hamlets,3.13041968727933,0.680554015148969
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,4.21842462538157,0.762944679873343
E05009334,Stepney Green,E09000030,Tower Hamlets,3.21774821270837,0.689223663911757
E05009335,Weavers,E09000030,Tower Hamlets,4.6874181784564,0.786662942812304
E05009336,Whitechapel,E09000030,Tower Hamlets,4.83559089862668,0.793200040912476
E05009367,Brownswood,E09000012,Hackney,4.96848076849742,0.798731232625376
E05009368,Cazenove,E09000012,Hackney,4.66691478809,0.785725678439211
E05009369,Clissold,E09000012,Hackney,4.27366924591628,0.766009032880691
E05009370,Dalston,E09000012,Hackney,5.31365982660417,0.811805792498562
E05009371,De Beauvoir,E09000012,Hackney,4.93858674669689,0.797512921957109
E05009372,Hackney Central,E09000012,Hackney,6.79666996299982,0.852869124814965
E05009373,Hackney Downs,E09000012,Hackney,6.61630357246506,0.848858204729045
