gss_code_ward,ward_name,lad22cd,lad22nm,Simpson's 2021,Simpson's standardised 2021
E05009317,Bethnal Green,E09000030,Tower Hamlets,3.41089328362519,0.706821669032937
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,4.16267345318494,0.75976977025789
E05009319,Bow East,E09000030,Tower Hamlets,3.46334873546407,0.711262111793658
E05009320,Bow West,E09000030,Tower Hamlets,3.52045851431959,0.71594609170014
E05009321,Bromley North,E09000030,Tower Hamlets,3.08207860986562,0.675543642268229
E05009322,Bromley South,E09000030,Tower Hamlets,2.99982658365773,0.666647397070304
E05009323,Canary Wharf,E09000030,Tower Hamlets,4.12903917089235,0.757812905469753
E05009324,Island Gardens,E09000030,Tower Hamlets,3.9684144991207,0.748010193939778
E05009325,Lansbury,E09000030,Tower Hamlets,3.09071425619735,0.676450193350987
E05009326,Limehouse,E09000030,Tower Hamlets,3.86382123482121,0.741188854445986
E05009327,Mile End,E09000030,Tower Hamlets,3.11002001409522,0.678458660887131
E05009328,Poplar,E09000030,Tower Hamlets,2.7718700097826,0.639232721422449
E05009329,St Dunstan's,E09000030,Tower Hamlets,2.6044127396223,0.616036281505434
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3.60466910712543,0.722582026177305
E05009331,St Peter's,E09000030,Tower Hamlets,3.29921306622706,0.696897417679184
E05009332,Shadwell,E09000030,Tower Hamlets,2.42889595014404,0.588290309454921
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3.25086283849655,0.692389359477721
E05009334,Stepney Green,E09000030,Tower Hamlets,2.62219782825016,0.618640520090996
E05009335,Weavers,E09000030,Tower Hamlets,3.41880151051498,0.707499836733906
E05009336,Whitechapel,E09000030,Tower Hamlets,3.37530651956556,0.703730611070929
E05009367,Brownswood,E09000012,Hackney,3.29867765964801,0.696848221263697
E05009368,Cazenove,E09000012,Hackney,5.14508871767526,0.805639891773948
E05009369,Clissold,E09000012,Hackney,3.0197088564469,0.668842246872555
E05009370,Dalston,E09000012,Hackney,3.08002375993722,0.675327179936955
E05009371,De Beauvoir,E09000012,Hackney,3.15706934654411,0.683250543389346
E05009372,Hackney Central,E09000012,Hackney,3.41417224688543,0.707103236835151
E05009373,Hackney Downs,E09000012,Hackney,3.61791933094247,0.723598038395317
E05009374,Hackney Wick,E09000012,Hackney,3.28984746246309,0.696034539166353
E05009375,Haggerston,E09000012,Hackney,3.42774220489543,0.708262774670797
E05009376,Homerton,E09000012,Hackney,3.47005744118998,0.711820332387042
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,3.30071337701098,0.697035190342529
E05009378,Hoxton West,E09000012,Hackney,3.4272419126871,0.708220188280798
E05009379,King's Park,E09000012,Hackney,3.43860350909505,0.709184266998211
E05009380,Lea Bridge,E09000012,Hackney,3.80358831431886,0.737090369050869
E05009381,London Fields,E09000012,Hackney,3.28941200993707,0.695994300203478
E05009382,Shacklewell,E09000012,Hackney,3.61788547084237,0.723595451525676
E05009383,Springfield,E09000012,Hackney,4.36246036250817,0.770771556208466
E05009384,Stamford Hill West,E09000012,Hackney,4.03106993103637,0.751926903500058
E05009385,Stoke Newington,E09000012,Hackney,3.13000804154819,0.680512002932308
E05009386,Victoria,E09000012,Hackney,3.20604859330084,0.688089568545674
E05009387,Woodberry Down,E09000012,Hackney,4.47584916507167,0.77657870872778
E05009388,Abingdon,E09000020,Kensington and Chelsea,3.11576393070144,0.679051422944333
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,3.26204481767784,0.693443819477664
E05009390,Campden,E09000020,Kensington and Chelsea,3.11520921467615,0.678994272587256
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,2.98929867214497,0.665473373631666
E05009392,Colville,E09000020,Kensington and Chelsea,3.16129576799068,0.683674014268017
E05009393,Courtfield,E09000020,Kensington and Chelsea,3.13923711604849,0.681451268880655
E05009394,Dalgarno,E09000020,Kensington and Chelsea,3.0152191438159,0.668349147341094
E05009395,Earl's Court,E09000020,Kensington and Chelsea,3.10838612405651,0.67828964610903
E05009396,Golborne,E09000020,Kensington and Chelsea,3.54889326840572,0.718222013352001
E05009397,Holland,E09000020,Kensington and Chelsea,3.26253534075876,0.693489910283261
E05009398,Norland,E09000020,Kensington and Chelsea,2.82278356372402,0.645739753890048
E05009399,Notting Dale,E09000020,Kensington and Chelsea,3.23671673471956,0.691044944009707
E05009400,Pembridge,E09000020,Kensington and Chelsea,3.19980941111408,0.687481386695519
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,3.11120289208771,0.678580910765041
E05009402,Redcliffe,E09000020,Kensington and Chelsea,2.72064103015601,0.632439565192231
E05009403,Royal Hospital,E09000020,Kensington and Chelsea,2.37264522531356,0.578529487117973
E05009404,St Helen's,E09000020,Kensington and Chelsea,2.96086739180933,0.662261132407919
E05009405,Stanley,E09000020,Kensington and Chelsea,2.92699198705829,0.658352327433247
E05011095,Borough & Bankside,E09000028,Southwark,3.13449524950644,0.680969368143895
E05011096,Camberwell Green,E09000028,Southwark,2.91945488291053,0.65747030178351
E05011097,Champion Hill,E09000028,Southwark,2.93428173454177,0.659201095713407
E05011098,Chaucer,E09000028,Southwark,3.49503375435262,0.713879730416158
E05011099,Dulwich Hill,E09000028,Southwark,2.53290747932171,0.605196791369658
E05011100,Dulwich Village,E09000028,Southwark,2.59507091814231,0.614654076307151
E05011101,Dulwich Wood,E09000028,Southwark,2.95253204391695,0.661307655556091
E05011102,Faraday,E09000028,Southwark,2.82283336439019,0.645746003779423
E05011103,Goose Green,E09000028,Southwark,2.56861093514923,0.610684519669422
E05011104,London Bridge & West Bermondsey,E09000028,Southwark,3.12422097850987,0.679920208308389
E05011105,Newington,E09000028,Southwark,2.97535379777922,0.66390551579231
E05011106,North Bermondsey,E09000028,Southwark,2.950549544854,0.66108008532035
E05011107,North Walworth,E09000028,Southwark,3.13558014444921,0.681079751136242
E05011108,Nunhead & Queen's Road,E09000028,Southwark,2.88924572900572,0.653888906034957
E05011109,Old Kent Road,E09000028,Southwark,2.80187880605793,0.643096625793412
E05011110,Peckham,E09000028,Southwark,2.87083070064934,0.651668766195856
E05011111,Peckham Rye,E09000028,Southwark,2.65017660615447,0.622666656373875
E05011112,Rotherhithe,E09000028,Southwark,3.00008606141578,0.666676228771889
E05011113,Rye Lane,E09000028,Southwark,2.8243054679055,0.645930650432937
E05011114,St George's,E09000028,Southwark,3.26518994506052,0.693739103443961
E05011115,St Giles,E09000028,Southwark,2.94152549189165,0.660040342075392
E05011116,South Bermondsey,E09000028,Southwark,2.90945694237502,0.656293246538411
E05011117,Surrey Docks,E09000028,Southwark,2.93540068705875,0.659331005675415
E05011217,Barnehurst,E09000004,Bexley,2.58556939498623,0.613237996265297
E05011218,Belvedere,E09000004,Bexley,2.87533384920449,0.652214298427757
E05011219,Bexleyheath,E09000004,Bexley,2.72341179135534,0.632813516055778
E05011220,Blackfen & Lamorbey,E09000004,Bexley,2.53100307431754,0.60489972922311
E05011221,Blendon & Penhill,E09000004,Bexley,2.55749900941712,0.608993005933594
E05011222,Crayford,E09000004,Bexley,2.5435161318544,0.606843460721072
E05011223,Crook Log,E09000004,Bexley,2.91405111629444,0.656835120561778
E05011224,East Wickham,E09000004,Bexley,3.02999824357063,0.66996680538614
E05011225,Erith,E09000004,Bexley,2.74131147132027,0.635211098606617
E05011226,Falconwood & Welling,E09000004,Bexley,2.90478629866719,0.655740595974708
E05011227,Longlands,E09000004,Bexley,2.47263107815006,0.595572502167138
E05011228,Northumberland Heath,E09000004,Bexley,2.74469878099466,0.635661294811518
E05011229,St Mary's & St James,E09000004,Bexley,2.42043169246231,0.586850559297256
E05011230,Sidcup,E09000004,Bexley,2.56720336163702,0.610471061644944
E05011231,Slade Green & Northend,E09000004,Bexley,2.5425174923905,0.606689038327997
E05011232,Thamesmead East,E09000004,Bexley,2.3733160167107,0.57864861107458
E05011233,West Heath,E09000004,Bexley,2.79471652646056,0.64218195636948
E05011234,Aldborough,E09000026,Redbridge,4.56404976706513,0.780896341837429
E05011235,Barkingside,E09000026,Redbridge,4.74884489279767,0.789422475870575
E05011236,Bridge,E09000026,Redbridge,3.2996149968296,0.696934339018086
E05011237,Chadwell,E09000026,Redbridge,3.89736995242882,0.743416711216546
E05011238,Churchfields,E09000026,Redbridge,3.63270790033688,0.724723256745398
E05011239,Clayhall,E09000026,Redbridge,4.49912358207644,0.777734489449503
E05011240,Clementswood,E09000026,Redbridge,3.0132415166301,0.668131480838495
E05011241,Cranbrook,E09000026,Redbridge,3.613291780971,0.72324404985327
E05011242,Fairlop,E09000026,Redbridge,4.28367868252761,0.766555786716957
E05011243,Fullwell,E09000026,Redbridge,4.75594408857035,0.789736804853692
E05011244,Goodmayes,E09000026,Redbridge,3.70685170783827,0.730229294609907
E05011245,Hainault,E09000026,Redbridge,3.44103680985064,0.709389914941536
E05011246,Ilford Town,E09000026,Redbridge,3.61323629309789,0.723239799757843
E05011247,Loxford,E09000026,Redbridge,3.13324877142572,0.680842450455994
E05011248,Mayfield,E09000026,Redbridge,3.26234438721443,0.693471969446532
E05011249,Monkhams,E09000026,Redbridge,3.42118750296496,0.707703831159984
E05011250,Newbury,E09000026,Redbridge,4.20584243100364,0.762235505394012
E05011251,Seven Kings,E09000026,Redbridge,3.93922031596775,0.746142657736997
E05011252,South Woodford,E09000026,Redbridge,3.86834339332939,0.741491409029402
E05011253,Valentines,E09000026,Redbridge,3.5512047663401,0.718405424131426
E05011254,Wanstead Park,E09000026,Redbridge,3.45942073931598,0.710934264619768
E05011255,Wanstead Village,E09000026,Redbridge,3.39340440138285,0.705310690469875
E05011462,Addiscombe East,E09000008,Croydon,2.86525213637028,0.650990575207525
E05011463,Addiscombe West,E09000008,Croydon,3.28104061715236,0.695218646556132
E05011464,Bensham Manor,E09000008,Croydon,3.10333794508494,0.67776632203921
E05011465,Broad Green,E09000008,Croydon,3.5064671707852,0.714812672900037
E05011466,Coulsdon Town,E09000008,Croydon,2.95236345319785,0.661288314988166
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,2.83063572668335,0.646722469241318
E05011468,Fairfield,E09000008,Croydon,3.3717136157068,0.70341490589782
E05011469,Kenley,E09000008,Croydon,2.8435915671966,0.648332056004137
E05011470,New Addington North,E09000008,Croydon,2.72491625835185,0.63301624520203
E05011471,New Addington South,E09000008,Croydon,2.52494904742565,0.603952404101158
E05011472,Norbury & Pollards Hill,E09000008,Croydon,3.26093032337579,0.693339047194122
E05011473,Norbury Park,E09000008,Croydon,3.5183568764301,0.715776416343913
E05011474,Old Coulsdon,E09000008,Croydon,2.48327574174089,0.597306097268541
E05011475,Park Hill & Whitgift,E09000008,Croydon,4.06614111587445,0.754066577744697
E05011476,Purley & Woodcote,E09000008,Croydon,3.19929080101385,0.687430726933888
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,3.06099154790488,0.673308473953658
E05011478,Sanderstead,E09000008,Croydon,2.77585342554266,0.63975043105725
E05011479,Selhurst,E09000008,Croydon,3.04114362275703,0.671176332312308
E05011480,Selsdon & Addington Village,E09000008,Croydon,2.86751797850778,0.651266353865936
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,2.73470118005196,0.634329334665735
E05011482,Shirley North,E09000008,Croydon,2.85549743622254,0.649798319790169
E05011483,Shirley South,E09000008,Croydon,2.84927835282826,0.649033939064825
E05011484,South Croydon,E09000008,Croydon,2.98439358582448,0.664923552727803
E05011485,South Norwood,E09000008,Croydon,2.69394081647064,0.628796596463426
E05011486,Thornton Heath,E09000008,Croydon,2.65020572419899,0.622670802168671
E05011487,Waddon,E09000008,Croydon,3.11110343694455,0.678570635702774
E05011488,West Thornton,E09000008,Croydon,3.63745727723306,0.725082681724119
