ward_gss_code,ward_name,lad22cd,lad22nm,Simpson's 2011,Simpson's standardised 2011
E05009317,Bethnal Green,E09000030,Tower Hamlets,1.62084012160329,0.383036002952082
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,2.52250528803262,0.603568720056111
E05009319,Bow East,E09000030,Tower Hamlets,1.51045706740454,0.337948743079254
E05009320,Bow West,E09000030,Tower Hamlets,1.4993299251624,0.333035389197821
E05009321,Bromley North,E09000030,Tower Hamlets,1.54888718822496,0.354375187810798
E05009322,Bromley South,E09000030,Tower Hamlets,1.57379867960092,0.364594714075132
E05009323,Canary Wharf,E09000030,Tower Hamlets,2.81153430113445,0.644322319099396
E05009324,Island Gardens,E09000030,Tower Hamlets,2.35119054243457,0.574683556286962
E05009325,Lansbury,E09000030,Tower Hamlets,1.52719051669452,0.345202848584722
E05009326,Limehouse,E09000030,Tower Hamlets,2.14352213153727,0.533478108162648
E05009327,Mile End,E09000030,Tower Hamlets,1.68653378631026,0.407067911643936
E05009328,Poplar,E09000030,Tower Hamlets,1.80677050865336,0.446526277017147
E05009329,St Dunstan's,E09000030,Tower Hamlets,1.57720709982481,0.365967855387489
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,1.94724877783294,0.486454935094178
E05009331,St Peter's,E09000030,Tower Hamlets,1.7098362871579,0.415148685572578
E05009332,Shadwell,E09000030,Tower Hamlets,1.63982239644917,0.390177861843225
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,1.94993821041619,0.487163236938384
E05009334,Stepney Green,E09000030,Tower Hamlets,1.59178438573224,0.371774212033127
E05009335,Weavers,E09000030,Tower Hamlets,1.70404825448851,0.413162158192425
E05009336,Whitechapel,E09000030,Tower Hamlets,1.9162333929276,0.478142900707824
E05009367,Brownswood,E09000012,Hackney,1.80314308757724,0.445412842225609
E05009368,Cazenove,E09000012,Hackney,1.61785658465832,0.381898241486471
E05009369,Clissold,E09000012,Hackney,1.48429275099757,0.326278458661259
E05009370,Dalston,E09000012,Hackney,1.74119623366531,0.42568219442162
E05009371,De Beauvoir,E09000012,Hackney,1.63977760618766,0.390161204649627
E05009372,Hackney Central,E09000012,Hackney,1.6171047272219,0.381610860962637
E05009373,Hackney Downs,E09000012,Hackney,1.60940680900697,0.378653057509421
E05009374,Hackney Wick,E09000012,Hackney,1.55227471175946,0.35578413252218
E05009375,Haggerston,E09000012,Hackney,1.68255671991653,0.405666395573512
E05009376,Homerton,E09000012,Hackney,1.67634355990926,0.403463571599767
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,2.02975024832218,0.507328549004187
E05009378,Hoxton West,E09000012,Hackney,1.91904417543076,0.478907253515655
E05009379,King's Park,E09000012,Hackney,1.62585731439708,0.3849398768607
E05009380,Lea Bridge,E09000012,Hackney,1.71203582951208,0.415900074775306
E05009381,London Fields,E09000012,Hackney,1.62051082306869,0.382910631780697
E05009382,Shacklewell,E09000012,Hackney,1.69143466436312,0.408785913479825
E05009383,Springfield,E09000012,Hackney,1.70130730259745,0.412216712128808
E05009384,Stamford Hill West,E09000012,Hackney,1.5131728001734,0.339136944646766
E05009385,Stoke Newington,E09000012,Hackney,1.5650976215244,0.361062219859485
E05009386,Victoria,E09000012,Hackney,1.53678730980264,0.349291867767684
E05009387,Woodberry Down,E09000012,Hackney,1.77053290163421,0.435198295904586
E05009388,Abingdon,E09000020,Kensington and Chelsea,3.11457917317247,0.678929337030976
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,3.37895642146142,0.704050637158708
E05009390,Campden,E09000020,Kensington and Chelsea,2.93312618756152,0.659066833114548
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,1.86426898173458,0.463596718178745
E05009392,Colville,E09000020,Kensington and Chelsea,1.97164809089875,0.492810099015103
E05009393,Courtfield,E09000020,Kensington and Chelsea,3.78110769528213,0.735527236833865
E05009394,Dalgarno,E09000020,Kensington and Chelsea,1.54814638493686,0.354066249981403
E05009395,Earl's Court,E09000020,Kensington and Chelsea,3.21755526543255,0.689205027573765
E05009396,Golborne,E09000020,Kensington and Chelsea,1.66666322637178,0.399998761491285
E05009397,Holland,E09000020,Kensington and Chelsea,2.5293424010759,0.604640320909248
E05009398,Norland,E09000020,Kensington and Chelsea,1.98526043163972,0.496287749424365
E05009399,Notting Dale,E09000020,Kensington and Chelsea,1.60348278374613,0.37635750746026
E05009400,Pembridge,E09000020,Kensington and Chelsea,2.7744672979679,0.639570449890533
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,3.80460942069827,0.73716093048614
E05009402,Redcliffe,E09000020,Kensington and Chelsea,3.04085020941351,0.671144603932047
E05009403,Royal Hospital,E09000020,Kensington and Chelsea,2.37755386137009,0.579399644210903
E05009404,St Helen's,E09000020,Kensington and Chelsea,1.74131399352135,0.425721033816675
E05009405,Stanley,E09000020,Kensington and Chelsea,2.45579323006312,0.592799594135904
E05011095,Borough & Bankside,E09000028,Southwark,1.86431392538542,0.463609649435374
E05011096,Camberwell Green,E09000028,Southwark,1.9542722284176,0.488300562501616
