ward22cd,ward_name,lad22cd,lad22nm,Simpson's 2011,Simpson's standardised 2011,Simpson's 2021,Simpson's standardised 2021,Simpson's change,Simpson's standardised change
E05009317,Bethnal Green,E09000030,Tower Hamlets,3.51821589065029,0.715765026626844,3.41089328362519,0.706821669032937,-0.107322607025096,-0.0089433575939073
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,3.96042925070738,0.747502117397656,4.16267345318494,0.75976977025789,0.202244202477556,0.0122676528602339
E05009319,Bow East,E09000030,Tower Hamlets,3.42973218383385,0.708432044719546,3.46334873546407,0.711262111793658,0.0336165516302209,0.00283006707411215
E05009320,Bow West,E09000030,Tower Hamlets,3.59562813701129,0.721884476955059,3.52045851431959,0.71594609170014,-0.0751696226916998,-0.00593838525491952
E05009321,Bromley North,E09000030,Tower Hamlets,2.94000096458073,0.659864057172985,3.08207860986562,0.675543642268229,0.142077645284889,0.0156795850952436
E05009322,Bromley South,E09000030,Tower Hamlets,2.80932739929526,0.644042912103852,2.99982658365773,0.666647397070304,0.190499184362468,0.0226044849664524
E05009323,Canary Wharf,E09000030,Tower Hamlets,4.18841463784852,0.761246178694077,4.12903917089235,0.757812905469753,-0.0593754669561681,-0.0034332732243243
E05009324,Island Gardens,E09000030,Tower Hamlets,3.63906451181144,0.725204102110786,3.9684144991207,0.748010193939778,0.329349987309261,0.0228060918289916
E05009325,Lansbury,E09000030,Tower Hamlets,2.93763391454883,0.659589986673481,3.09071425619735,0.676450193350987,0.15308034164852,0.0168602066775062
E05009326,Limehouse,E09000030,Tower Hamlets,3.6414994720169,0.725387849789764,3.86382123482121,0.741188854445986,0.222321762804305,0.0158010046562223
E05009327,Mile End,E09000030,Tower Hamlets,3.00189149197656,0.666876700016374,3.11002001409522,0.678458660887131,0.108128522118655,0.0115819608707567
E05009328,Poplar,E09000030,Tower Hamlets,3.03267012995284,0.670257575948245,2.7718700097826,0.639232721422449,-0.260800120170236,-0.0310248545257961
E05009329,St Dunstan's,E09000030,Tower Hamlets,2.62829560387221,0.619525292921115,2.6044127396223,0.616036281505434,-0.0238828642499076,-0.00348901141568136
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3.21744812987039,0.689194678628655,3.60466910712543,0.722582026177305,0.387220977255042,0.0333873475486501
E05009331,St Peter's,E09000030,Tower Hamlets,3.50417601661556,0.714626207342795,3.29921306622706,0.696897417679184,-0.204962950388496,-0.0177287896636108
E05009332,Shadwell,E09000030,Tower Hamlets,2.40617872087798,0.584403273404764,2.42889595014404,0.588290309454921,0.0227172292660631,0.00388703605015683
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3.21597590479983,0.689052396658972,3.25086283849655,0.692389359477721,0.0348869336967219,0.00333696281874851
E05009334,Stepney Green,E09000030,Tower Hamlets,2.72670065373983,0.633256405088531,2.62219782825016,0.618640520090996,-0.104502825489673,-0.0146158849975351
E05009335,Weavers,E09000030,Tower Hamlets,3.66312063345114,0.727008717412107,3.41880151051498,0.707499836733906,-0.244319122936164,-0.0195088806782012
E05009336,Whitechapel,E09000030,Tower Hamlets,3.31905966021558,0.69870984484351,3.37530651956556,0.703730611070929,0.0562468593499825,0.00502076622741865
E05009367,Brownswood,E09000012,Hackney,3.36865489184302,0.70314560793347,3.29867765964801,0.696848221263697,-0.0699772321950096,-0.0062973866697732
E05009368,Cazenove,E09000012,Hackney,4.78890396818991,0.791183952185624,5.14508871767526,0.805639891773948,0.35618474948535,0.0144559395883245
E05009369,Clissold,E09000012,Hackney,3.37848568716196,0.704009401667753,3.0197088564469,0.668842246872555,-0.358776830715061,-0.0351671547951976
E05009370,Dalston,E09000012,Hackney,3.18521547382769,0.68604949705387,3.08002375993722,0.675327179936955,-0.105191713890471,-0.0107223171169151
E05009371,De Beauvoir,E09000012,Hackney,3.17717630288554,0.685255111876609,3.15706934654411,0.683250543389346,-0.0201069563414271,-0.00200456848726294
E05009372,Hackney Central,E09000012,Hackney,3.40673612146274,0.706463910221895,3.41417224688543,0.707103236835151,0.0074361254226849,0.000639326613256164
E05009373,Hackney Downs,E09000012,Hackney,3.64309195570924,0.725507889408924,3.61791933094247,0.723598038395317,-0.0251726247667734,-0.00190985101360697
E05009374,Hackney Wick,E09000012,Hackney,2.9454351317948,0.660491589441098,3.28984746246309,0.696034539166353,0.344412330668293,0.0355429497252545
E05009375,Haggerston,E09000012,Hackney,3.41245559919324,0.706955894096786,3.42774220489543,0.708262774670797,0.0152866057021939,0.00130688057401052
E05009376,Homerton,E09000012,Hackney,3.24452433308224,0.691788411076573,3.47005744118998,0.711820332387042,0.225533108107736,0.0200319213104687
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,3.30606238154864,0.697525368673904,3.30071337701098,0.697035190342529,-0.00534900453766163,-0.000490178331375213
E05009378,Hoxton West,E09000012,Hackney,3.39068504137111,0.705074346983398,3.4272419126871,0.708220188280798,0.0365568713159905,0.00314584129739992
E05009379,King's Park,E09000012,Hackney,3.17728838161584,0.685266214490911,3.43860350909505,0.709184266998211,0.26131512747921,0.0239180525073003
E05009380,Lea Bridge,E09000012,Hackney,3.78724519559313,0.735955833764445,3.80358831431886,0.737090369050869,0.0163431187257346,0.00113453528642404
E05009381,London Fields,E09000012,Hackney,3.38853256798508,0.704887003463381,3.28941200993707,0.695994300203478,-0.099120558048015,-0.00889270325990255
E05009382,Shacklewell,E09000012,Hackney,3.57765966828364,0.720487667157077,3.61788547084237,0.723595451525676,0.0402258025587248,0.00310778436859926
E05009383,Springfield,E09000012,Hackney,4.28077862661621,0.766397637620784,4.36246036250817,0.770771556208466,0.0816817358919568,0.00437391858768166
E05009384,Stamford Hill West,E09000012,Hackney,4.00863749795613,0.750538680409524,4.03106993103637,0.751926903500058,0.0224324330802386,0.00138822309053388
E05009385,Stoke Newington,E09000012,Hackney,3.43711854348406,0.70905862356835,3.13000804154819,0.680512002932308,-0.307110501935868,-0.0285466206360416
E05009386,Victoria,E09000012,Hackney,3.18175275138948,0.685707822657403,3.20604859330084,0.688089568545674,0.0242958419113641,0.00238174588827134
E05009387,Woodberry Down,E09000012,Hackney,3.80153218924524,0.736948169785578,4.47584916507167,0.77657870872778,0.674316975826432,0.0396305389422023
E05009388,Abingdon,E09000020,Kensington and Chelsea,2.93431208058721,0.659204620184817,3.11576393070144,0.679051422944333,0.181451850114231,0.0198468027595159
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,2.75873039223329,0.637514415031161,3.26204481767784,0.693443819477664,0.503314425444554,0.055929404446503
E05009390,Campden,E09000020,Kensington and Chelsea,2.73864214150351,0.63485554215163,3.11520921467615,0.678994272587256,0.376567073172635,0.0441387304356257
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,2.65552233010222,0.623426250773984,2.98929867214497,0.665473373631666,0.333776342042754,0.0420471228576816
E05009392,Colville,E09000020,Kensington and Chelsea,3.08574183756243,0.67592881950554,3.16129576799068,0.683674014268017,0.075553930428252,0.0077451947624767
E05009393,Courtfield,E09000020,Kensington and Chelsea,2.68204701198841,0.62715045801579,3.13923711604849,0.681451268880655,0.457190104060079,0.0543008108648645
E05009394,Dalgarno,E09000020,Kensington and Chelsea,2.86538915924966,0.651007264834538,3.0152191438159,0.668349147341094,0.149829984566245,0.0173418825065564
E05009395,Earl's Court,E09000020,Kensington and Chelsea,3.04710064233849,0.671819175873183,3.10838612405651,0.67828964610903,0.0612854817180204,0.00647047023584724
E05009396,Golborne,E09000020,Kensington and Chelsea,3.14686422038122,0.682223340453228,3.54889326840572,0.718222013352001,0.402029048024495,0.0359986728987728
E05009397,Holland,E09000020,Kensington and Chelsea,3.2276868344281,0.690180599513712,3.26253534075876,0.693489910283261,0.0348485063306643,0.0033093107695491
E05009398,Norland,E09000020,Kensington and Chelsea,2.501267803145,0.600202745686553,2.82278356372402,0.645739753890048,0.321515760579022,0.0455370082034948
E05009399,Notting Dale,E09000020,Kensington and Chelsea,2.88086879558567,0.652882491027606,3.23671673471956,0.691044944009707,0.355847939133891,0.0381624529821011
E05009400,Pembridge,E09000020,Kensington and Chelsea,2.93253279323888,0.658997845717,3.19980941111408,0.687481386695519,0.267276617875195,0.0284835409785185
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,2.85739124535871,0.650030424911425,3.11120289208771,0.678580910765041,0.253811646728996,0.0285504858536163
E05009402,Redcliffe,E09000020,Kensington and Chelsea,2.42178968815041,0.587082228942956,2.72064103015601,0.632439565192231,0.298851342005602,0.045357336249275
E05009403,Royal Hospital,E09000020,Kensington and Chelsea,2.20776809978021,0.547053877579102,2.37264522531356,0.578529487117973,0.164877125533352,0.031475609538871
E05009404,St Helen's,E09000020,Kensington and Chelsea,2.84333542880941,0.648300376428422,2.96086739180933,0.662261132407919,0.117531962999915,0.0139607559794971
E05009405,Stanley,E09000020,Kensington and Chelsea,2.38305109472988,0.580369887069774,2.92699198705829,0.658352327433247,0.543940892328405,0.0779824403634726
E05011095,Borough & Bankside,E09000028,Southwark,2.9627419945245,0.66247482843659,3.13449524950644,0.680969368143895,0.171753254981939,0.0184945397073046
E05011096,Camberwell Green,E09000028,Southwark,2.64003812405617,0.621217591182511,2.91945488291053,0.65747030178351,0.279416758854356,0.0362527106009992
E05011097,Champion Hill,E09000028,Southwark,2.7774378223454,0.639955936383284,2.93428173454177,0.659201095713407,0.156843912196374,0.0192451593301232
E05011098,Chaucer,E09000028,Southwark,3.20599592805497,0.688084444758891,3.49503375435262,0.713879730416158,0.289037826297649,0.0257952856572666
E05011099,Dulwich Hill,E09000028,Southwark,2.66883489793898,0.625304659807823,2.53290747932171,0.605196791369658,-0.135927418617275,-0.0201078684381647
E05011100,Dulwich Village,E09000028,Southwark,2.62406148382005,0.618911368439347,2.59507091814231,0.614654076307151,-0.0289905656777361,-0.00425729213219617
E05011101,Dulwich Wood,E09000028,Southwark,2.75215252870603,0.636648045640781,2.95253204391695,0.661307655556091,0.200379515210924,0.0246596099153099
E05011102,Faraday,E09000028,Southwark,2.62622392393375,0.619225157882909,2.82283336439019,0.645746003779423,0.196609440456435,0.0265208458965137
E05011103,Goose Green,E09000028,Southwark,2.76897341922885,0.638855327011951,2.56861093514923,0.610684519669422,-0.200362484079617,-0.0281708073425295
E05011104,London Bridge & West Bermondsey,E09000028,Southwark,2.8651439538774,0.650977397262466,3.12422097850987,0.679920208308389,0.259077024632469,0.0289428110459231
E05011105,Newington,E09000028,Southwark,2.68591846300506,0.62768787892348,2.97535379777922,0.66390551579231,0.28943533477416,0.0362176368688295
E05011106,North Bermondsey,E09000028,Southwark,2.66044560869927,0.62412311804829,2.950549544854,0.66108008532035,0.290103936154734,0.0369569672720598
E05011107,North Walworth,E09000028,Southwark,2.8622130067362,0.650619993114941,3.13558014444921,0.681079751136242,0.273367137713012,0.0304597580213013
E05011108,Nunhead & Queen's Road,E09000028,Southwark,2.61637690715505,0.61779207068168,2.88924572900572,0.653888906034957,0.272868821850675,0.0360968353532769
E05011109,Old Kent Road,E09000028,Southwark,2.46115602733992,0.593686873610843,2.80187880605793,0.643096625793412,0.340722778718009,0.0494097521825693
E05011110,Peckham,E09000028,Southwark,2.46055171862314,0.593587083566944,2.87083070064934,0.651668766195856,0.410278982026201,0.058081682628912
E05011111,Peckham Rye,E09000028,Southwark,2.69437496380901,0.628856408839878,2.65017660615447,0.622666656373875,-0.0441983576545439,-0.00618975246600262
E05011112,Rotherhithe,E09000028,Southwark,2.77844988201096,0.640087083638079,3.00008606141578,0.666676228771889,0.221636179404824,0.0265891451338098
E05011113,Rye Lane,E09000028,Southwark,2.72420161225727,0.63291997350688,2.8243054679055,0.645930650432937,0.100103855648231,0.0130106769260571
E05011114,St George's,E09000028,Southwark,3.06899568408794,0.674160506257869,3.26518994506052,0.693739103443961,0.196194260972581,0.0195785971860916
E05011115,St Giles,E09000028,Southwark,2.83494113871536,0.64725899019789,2.94152549189165,0.660040342075392,0.106584353176289,0.0127813518775017
E05011116,South Bermondsey,E09000028,Southwark,2.52530438560835,0.604008132366546,2.90945694237502,0.656293246538411,0.384152556766673,0.0522851141718652
