lad22cd,lad22nm,category,count_21
E09000001,City of London,Aged under 1 year,44
E09000001,City of London,Aged 1 year,57
E09000001,City of London,Aged 2 years,34
E09000001,City of London,Aged 3 years,39
E09000001,City of London,Aged 4 years,40
E09000001,City of London,Aged 5 years,27
E09000001,City of London,Aged 6 years,28
E09000001,City of London,Aged 7 years,42
E09000001,City of London,Aged 8 years,30
E09000001,City of London,Aged 9 years,33
E09000001,City of London,Aged 10 years,50
E09000001,City of London,Aged 11 years,42
E09000001,City of London,Aged 12 years,34
E09000001,City of London,Aged 13 years,22
E09000001,City of London,Aged 14 years,26
E09000001,City of London,Aged 15 years,32
E09000001,City of London,Aged 16 years,36
E09000001,City of London,Aged 17 years,37
E09000001,City of London,Aged 18 years,60
E09000001,City of London,Aged 19 years,52
E09000001,City of London,Aged 20 years,113
E09000001,City of London,Aged 21 years,131
E09000001,City of London,Aged 22 years,193
E09000001,City of London,Aged 23 years,307
E09000001,City of London,Aged 24 years,221
E09000001,City of London,Aged 25 years,245
E09000001,City of London,Aged 26 years,262
E09000001,City of London,Aged 27 years,240
E09000001,City of London,Aged 28 years,227
E09000001,City of London,Aged 29 years,239
E09000001,City of London,Aged 30 years,243
E09000001,City of London,Aged 31 years,201
E09000001,City of London,Aged 32 years,211
E09000001,City of London,Aged 33 years,186
E09000001,City of London,Aged 34 years,159
E09000001,City of London,Aged 35 years,174
E09000001,City of London,Aged 36 years,152
E09000001,City of London,Aged 37 years,129
E09000001,City of London,Aged 38 years,134
E09000001,City of London,Aged 39 years,135
E09000001,City of London,Aged 40 years,113
E09000001,City of London,Aged 41 years,108
E09000001,City of London,Aged 42 years,103
E09000001,City of London,Aged 43 years,117
E09000001,City of London,Aged 44 years,106
E09000001,City of London,Aged 45 years,108
E09000001,City of London,Aged 46 years,96
E09000001,City of London,Aged 47 years,107
E09000001,City of London,Aged 48 years,100
E09000001,City of London,Aged 49 years,133
E09000001,City of London,Aged 50 years,123
E09000001,City of London,Aged 51 years,138
E09000001,City of London,Aged 52 years,142
E09000001,City of London,Aged 53 years,141
E09000001,City of London,Aged 54 years,96
E09000001,City of London,Aged 55 years,113
E09000001,City of London,Aged 56 years,98
E09000001,City of London,Aged 57 years,111
E09000001,City of London,Aged 58 years,98
E09000001,City of London,Aged 59 years,98
E09000001,City of London,Aged 60 years,103
E09000001,City of London,Aged 61 years,95
E09000001,City of London,Aged 62 years,84
E09000001,City of London,Aged 63 years,100
E09000001,City of London,Aged 64 years,77
E09000001,City of London,Aged 65 years,87
E09000001,City of London,Aged 66 years,80
E09000001,City of London,Aged 67 years,67
E09000001,City of London,Aged 68 years,75
E09000001,City of London,Aged 69 years,82
E09000001,City of London,Aged 70 years,58
E09000001,City of London,Aged 71 years,62
E09000001,City of London,Aged 72 years,61
E09000001,City of London,Aged 73 years,76
E09000001,City of London,Aged 74 years,63
E09000001,City of London,Aged 75 years,49
E09000001,City of London,Aged 76 years,51
E09000001,City of London,Aged 77 years,46
E09000001,City of London,Aged 78 years,34
E09000001,City of London,Aged 79 years,28
E09000001,City of London,Aged 80 years,45
E09000001,City of London,Aged 81 years,42
E09000001,City of London,Aged 82 years,28
E09000001,City of London,Aged 83 years,27
E09000001,City of London,Aged 84 years,22
E09000001,City of London,Aged 85 years,21
E09000001,City of London,Aged 86 years,18
E09000001,City of London,Aged 87 years,14
E09000001,City of London,Aged 88 years,11
E09000001,City of London,Aged 89 years,17
E09000001,City of London,Aged 90 years,12
E09000001,City of London,Aged 91 years,4
E09000001,City of London,Aged 92 years,3
E09000001,City of London,Aged 93 years,8
E09000001,City of London,Aged 94 years,3
E09000001,City of London,Aged 95 years,3
E09000001,City of London,Aged 96 years,4
E09000001,City of London,Aged 97 years,0
E09000001,City of London,Aged 98 years,0
E09000001,City of London,Aged 99 years,0
E09000001,City of London,Aged 100 years and over,3
E09000002,Barking and Dagenham,Aged under 1 year,3156
E09000002,Barking and Dagenham,Aged 1 year,3427
E09000002,Barking and Dagenham,Aged 2 years,3387
E09000002,Barking and Dagenham,Aged 3 years,3617
E09000002,Barking and Dagenham,Aged 4 years,3664
E09000002,Barking and Dagenham,Aged 5 years,3700
E09000002,Barking and Dagenham,Aged 6 years,3527
E09000002,Barking and Dagenham,Aged 7 years,3592
E09000002,Barking and Dagenham,Aged 8 years,3734
E09000002,Barking and Dagenham,Aged 9 years,3778
E09000002,Barking and Dagenham,Aged 10 years,3714
E09000002,Barking and Dagenham,Aged 11 years,3600
E09000002,Barking and Dagenham,Aged 12 years,3689
E09000002,Barking and Dagenham,Aged 13 years,3639
E09000002,Barking and Dagenham,Aged 14 years,3590
E09000002,Barking and Dagenham,Aged 15 years,3313
E09000002,Barking and Dagenham,Aged 16 years,3321
E09000002,Barking and Dagenham,Aged 17 years,3061
E09000002,Barking and Dagenham,Aged 18 years,2956
E09000002,Barking and Dagenham,Aged 19 years,2472
E09000002,Barking and Dagenham,Aged 20 years,2393
E09000002,Barking and Dagenham,Aged 21 years,2405
E09000002,Barking and Dagenham,Aged 22 years,2702
E09000002,Barking and Dagenham,Aged 23 years,2846
E09000002,Barking and Dagenham,Aged 24 years,2894
E09000002,Barking and Dagenham,Aged 25 years,2919
E09000002,Barking and Dagenham,Aged 26 years,3001
E09000002,Barking and Dagenham,Aged 27 years,2969
E09000002,Barking and Dagenham,Aged 28 years,3163
E09000002,Barking and Dagenham,Aged 29 years,3164
E09000002,Barking and Dagenham,Aged 30 years,3252
E09000002,Barking and Dagenham,Aged 31 years,3550
E09000002,Barking and Dagenham,Aged 32 years,3748
E09000002,Barking and Dagenham,Aged 33 years,3768
E09000002,Barking and Dagenham,Aged 34 years,3737
E09000002,Barking and Dagenham,Aged 35 years,3772
E09000002,Barking and Dagenham,Aged 36 years,3869
E09000002,Barking and Dagenham,Aged 37 years,3667
E09000002,Barking and Dagenham,Aged 38 years,3758
E09000002,Barking and Dagenham,Aged 39 years,3572
E09000002,Barking and Dagenham,Aged 40 years,3770
E09000002,Barking and Dagenham,Aged 41 years,3487
E09000002,Barking and Dagenham,Aged 42 years,3524
E09000002,Barking and Dagenham,Aged 43 years,3141
E09000002,Barking and Dagenham,Aged 44 years,3151
E09000002,Barking and Dagenham,Aged 45 years,3101
E09000002,Barking and Dagenham,Aged 46 years,3109
E09000002,Barking and Dagenham,Aged 47 years,3031
E09000002,Barking and Dagenham,Aged 48 years,2807
E09000002,Barking and Dagenham,Aged 49 years,2882
E09000002,Barking and Dagenham,Aged 50 years,2897
E09000002,Barking and Dagenham,Aged 51 years,2860
E09000002,Barking and Dagenham,Aged 52 years,2805
E09000002,Barking and Dagenham,Aged 53 years,2800
E09000002,Barking and Dagenham,Aged 54 years,2473
E09000002,Barking and Dagenham,Aged 55 years,2510
E09000002,Barking and Dagenham,Aged 56 years,2410
E09000002,Barking and Dagenham,Aged 57 years,2205
E09000002,Barking and Dagenham,Aged 58 years,2254
E09000002,Barking and Dagenham,Aged 59 years,1947
E09000002,Barking and Dagenham,Aged 60 years,2029
E09000002,Barking and Dagenham,Aged 61 years,1777
E09000002,Barking and Dagenham,Aged 62 years,1719
E09000002,Barking and Dagenham,Aged 63 years,1524
E09000002,Barking and Dagenham,Aged 64 years,1537
E09000002,Barking and Dagenham,Aged 65 years,1374
E09000002,Barking and Dagenham,Aged 66 years,1296
E09000002,Barking and Dagenham,Aged 67 years,1154
E09000002,Barking and Dagenham,Aged 68 years,1126
E09000002,Barking and Dagenham,Aged 69 years,992
E09000002,Barking and Dagenham,Aged 70 years,976
E09000002,Barking and Dagenham,Aged 71 years,952
E09000002,Barking and Dagenham,Aged 72 years,910
E09000002,Barking and Dagenham,Aged 73 years,994
E09000002,Barking and Dagenham,Aged 74 years,946
E09000002,Barking and Dagenham,Aged 75 years,758
E09000002,Barking and Dagenham,Aged 76 years,668
E09000002,Barking and Dagenham,Aged 77 years,626
E09000002,Barking and Dagenham,Aged 78 years,673
E09000002,Barking and Dagenham,Aged 79 years,512
E09000002,Barking and Dagenham,Aged 80 years,546
E09000002,Barking and Dagenham,Aged 81 years,562
E09000002,Barking and Dagenham,Aged 82 years,528
E09000002,Barking and Dagenham,Aged 83 years,505
E09000002,Barking and Dagenham,Aged 84 years,441
E09000002,Barking and Dagenham,Aged 85 years,398
E09000002,Barking and Dagenham,Aged 86 years,351
E09000002,Barking and Dagenham,Aged 87 years,285
E09000002,Barking and Dagenham,Aged 88 years,269
E09000002,Barking and Dagenham,Aged 89 years,247
E09000002,Barking and Dagenham,Aged 90 years,222
E09000002,Barking and Dagenham,Aged 91 years,186
E09000002,Barking and Dagenham,Aged 92 years,131
E09000002,Barking and Dagenham,Aged 93 years,110
E09000002,Barking and Dagenham,Aged 94 years,75
E09000002,Barking and Dagenham,Aged 95 years,55
E09000002,Barking and Dagenham,Aged 96 years,58
E09000002,Barking and Dagenham,Aged 97 years,41
E09000002,Barking and Dagenham,Aged 98 years,21
E09000002,Barking and Dagenham,Aged 99 years,15
E09000002,Barking and Dagenham,Aged 100 years and over,24
E09000003,Barnet,Aged under 1 year,4611
E09000003,Barnet,Aged 1 year,4813
E09000003,Barnet,Aged 2 years,4818
E09000003,Barnet,Aged 3 years,4911
E09000003,Barnet,Aged 4 years,4953
E09000003,Barnet,Aged 5 years,4925
E09000003,Barnet,Aged 6 years,4957
E09000003,Barnet,Aged 7 years,4959
E09000003,Barnet,Aged 8 years,5242
E09000003,Barnet,Aged 9 years,5169
