lad22cd,lad22nm,category,count_21
E09000001,City of London,Born in the UK,4327
E09000001,City of London,Arrived in the UK: Aged 0 to 4 years,183
E09000001,City of London,Arrived in the UK: Aged 5 to 7 years,64
E09000001,City of London,Arrived in the UK: Aged 8 to 9 years,34
E09000001,City of London,Arrived in the UK: Aged 10 to 14 years,144
E09000001,City of London,Arrived in the UK: Aged 15 years,54
E09000001,City of London,Arrived in the UK: Aged 16 to 17 years,214
E09000001,City of London,Arrived in the UK: Aged 18 to 19 years,375
E09000001,City of London,Arrived in the UK: Aged 20 to 24 years,1021
E09000001,City of London,Arrived in the UK: Aged 25 to 29 years,978
E09000001,City of London,Arrived in the UK: Aged 30 to 44 years,893
E09000001,City of London,Arrived in the UK: Aged 45 to 59 years,247
E09000001,City of London,Arrived in the UK: Aged 60 to 64 years,21
E09000001,City of London,Arrived in the UK: Aged 65 to 74 years,23
E09000001,City of London,Arrived in the UK: Aged 75 to 84 years,2
E09000001,City of London,Arrived in the UK: Aged 85 to 89 years,1
E09000001,City of London,Arrived in the UK: Aged 90 years and over,1
E09000002,Barking and Dagenham,Born in the UK,128483
E09000002,Barking and Dagenham,Arrived in the UK: Aged 0 to 4 years,8173
E09000002,Barking and Dagenham,Arrived in the UK: Aged 5 to 7 years,4012
E09000002,Barking and Dagenham,Arrived in the UK: Aged 8 to 9 years,2591
E09000002,Barking and Dagenham,Arrived in the UK: Aged 10 to 14 years,6217
E09000002,Barking and Dagenham,Arrived in the UK: Aged 15 years,1363
E09000002,Barking and Dagenham,Arrived in the UK: Aged 16 to 17 years,3347
E09000002,Barking and Dagenham,Arrived in the UK: Aged 18 to 19 years,5238
E09000002,Barking and Dagenham,Arrived in the UK: Aged 20 to 24 years,16947
E09000002,Barking and Dagenham,Arrived in the UK: Aged 25 to 29 years,15902
E09000002,Barking and Dagenham,Arrived in the UK: Aged 30 to 44 years,21119
E09000002,Barking and Dagenham,Arrived in the UK: Aged 45 to 59 years,4388
E09000002,Barking and Dagenham,Arrived in the UK: Aged 60 to 64 years,492
E09000002,Barking and Dagenham,Arrived in the UK: Aged 65 to 74 years,468
E09000002,Barking and Dagenham,Arrived in the UK: Aged 75 to 84 years,112
E09000002,Barking and Dagenham,Arrived in the UK: Aged 85 to 89 years,13
E09000002,Barking and Dagenham,Arrived in the UK: Aged 90 years and over,4
E09000003,Barnet,Born in the UK,221293
E09000003,Barnet,Arrived in the UK: Aged 0 to 4 years,14741
E09000003,Barnet,Arrived in the UK: Aged 5 to 7 years,6278
E09000003,Barnet,Arrived in the UK: Aged 8 to 9 years,3926
E09000003,Barnet,Arrived in the UK: Aged 10 to 14 years,9956
E09000003,Barnet,Arrived in the UK: Aged 15 years,2519
E09000003,Barnet,Arrived in the UK: Aged 16 to 17 years,6969
E09000003,Barnet,Arrived in the UK: Aged 18 to 19 years,10911
E09000003,Barnet,Arrived in the UK: Aged 20 to 24 years,32861
