lad22cd,lad22nm,category,count_21
E09000001,City of London,Europe: United Kingdom: England,4044
E09000001,City of London,Europe: United Kingdom: Northern Ireland,38
E09000001,City of London,Europe: United Kingdom: Scotland,159
E09000001,City of London,Europe: United Kingdom: Wales,86
E09000001,City of London,Europe: United Kingdom: Great Britain not otherwise specified,0
E09000001,City of London,Europe: United Kingdom: United Kingdom not otherwise specified,0
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,100
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: France,207
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,153
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,250
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),53
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),129
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,293
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,24
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,131
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,50
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,177
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia,7
E09000001,City of London,Europe: Other Europe: Rest of Europe: Turkey,47
E09000001,City of London,Europe: Other Europe: Rest of Europe: Other Europe,302
E09000001,City of London,Africa: North Africa,83
E09000001,City of London,Africa: Central and Western Africa: Ghana,24
E09000001,City of London,Africa: Central and Western Africa: Nigeria,21
E09000001,City of London,Africa: Central and Western Africa: Other Central and Western Africa,17
E09000001,City of London,Africa: South and Eastern Africa: Kenya,28
E09000001,City of London,Africa: South and Eastern Africa: Somalia,16
E09000001,City of London,Africa: South and Eastern Africa: South Africa,68
E09000001,City of London,Africa: South and Eastern Africa: Zimbabwe,12
E09000001,City of London,Africa: South and Eastern Africa: Other South and Eastern Africa,43
E09000001,City of London,Africa: Africa not otherwise specified,0
E09000001,City of London,Middle East and Asia: Middle East: Iran,41
E09000001,City of London,Middle East and Asia: Middle East: Iraq,9
E09000001,City of London,Middle East and Asia: Middle East: Other Middle East,76
E09000001,City of London,Middle East and Asia: Eastern Asia: China,282
E09000001,City of London,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),105
E09000001,City of London,Middle East and Asia: Eastern Asia: Other Eastern Asia,117
E09000001,City of London,Middle East and Asia: Southern Asia: Afghanistan,2
E09000001,City of London,Middle East and Asia: Southern Asia: India,175
E09000001,City of London,Middle East and Asia: Southern Asia: Pakistan,16
E09000001,City of London,Middle East and Asia: Southern Asia: Bangladesh,117
E09000001,City of London,Middle East and Asia: Southern Asia: Sri Lanka,11
E09000001,City of London,Middle East and Asia: Southern Asia: Other Southern Asia,4
E09000001,City of London,Middle East and Asia: South-East Asia: Philippines,49
E09000001,City of London,Middle East and Asia: South-East Asia: Malaysia,58
E09000001,City of London,Middle East and Asia: South-East Asia: Singapore,47
E09000001,City of London,Middle East and Asia: South-East Asia: Other South-East Asia,43
