lad22cd,lad22nm,category,count_21
E09000001,City of London,One person household: Aged 66 years and over,494
E09000001,City of London,One person household: Other,2012
E09000001,City of London,Single family household: All aged 66 years and over,201
E09000001,City of London,Single family household: Married or civil partnership couple: No children,523
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,253
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,70
E09000001,City of London,Single family household: Cohabiting couple family: No children,598
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,57
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,10
E09000001,City of London,Single family household: Lone parent family: With dependent children,90
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,85
E09000001,City of London,Single family household: Other single family household: Other family composition,96
E09000001,City of London,Multiple-family household: With dependent children,31
E09000001,City of London,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",396
E09000002,Barking and Dagenham,One person household: Aged 66 years and over,5991
E09000002,Barking and Dagenham,One person household: Other,11512
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,2268
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,4224
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,14417
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,4228
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,2005
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,3401
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,610
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,9427
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,4689
E09000002,Barking and Dagenham,Single family household: Other single family household: Other family composition,1202
E09000002,Barking and Dagenham,Multiple-family household: With dependent children,6330
E09000002,Barking and Dagenham,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",3600
E09000003,Barnet,One person household: Aged 66 years and over,15208
E09000003,Barnet,One person household: Other,26450
E09000003,Barnet,Single family household: All aged 66 years and over,9264
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,11929
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,29036
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,9760
E09000003,Barnet,Single family household: Cohabiting couple family: No children,6717
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,3565
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,642
E09000003,Barnet,Single family household: Lone parent family: With dependent children,10476
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,7627
E09000003,Barnet,Single family household: Other single family household: Other family composition,2218
E09000003,Barnet,Multiple-family household: With dependent children,6468
E09000003,Barnet,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",9559
E09000004,Bexley,One person household: Aged 66 years and over,11968
E09000004,Bexley,One person household: Other,12785
E09000004,Bexley,Single family household: All aged 66 years and over,7730
E09000004,Bexley,Single family household: Married or civil partnership couple: No children,8115
E09000004,Bexley,Single family household: Married or civil partnership couple: Dependent children,16368
E09000004,Bexley,Single family household: Married or civil partnership couple: All children non-dependent,7319
E09000004,Bexley,Single family household: Cohabiting couple family: No children,4450
E09000004,Bexley,Single family household: Cohabiting couple family: With dependent children,4564
E09000004,Bexley,Single family household: Cohabiting couple family: All children non-dependent,885
E09000004,Bexley,Single family household: Lone parent family: With dependent children,7665
E09000004,Bexley,Single family household: Lone parent family: All children non-dependent,5016
E09000004,Bexley,Single family household: Other single family household: Other family composition,792
E09000004,Bexley,Multiple-family household: With dependent children,3929
