lad22cd,lad22nm,category,count_21
E09000001,City of London,Household is not deprived in any dimension,2937
E09000001,City of London,Household is deprived in one dimension,1547
E09000001,City of London,Household is deprived in two dimensions,347
E09000001,City of London,Household is deprived in three dimensions,75
E09000001,City of London,Household is deprived in four dimensions,8
E09000002,Barking and Dagenham,Household is not deprived in any dimension,27781
E09000002,Barking and Dagenham,Household is deprived in one dimension,27396
E09000002,Barking and Dagenham,Household is deprived in two dimensions,14090
E09000002,Barking and Dagenham,Household is deprived in three dimensions,4348
E09000002,Barking and Dagenham,Household is deprived in four dimensions,287
E09000003,Barnet,Household is not deprived in any dimension,73825
E09000003,Barnet,Household is deprived in one dimension,49136
E09000003,Barnet,Household is deprived in two dimensions,19877
E09000003,Barnet,Household is deprived in three dimensions,5415
E09000003,Barnet,Household is deprived in four dimensions,668
E09000004,Bexley,Household is not deprived in any dimension,46238
E09000004,Bexley,Household is deprived in one dimension,32625
E09000004,Bexley,Household is deprived in two dimensions,13232
E09000004,Bexley,Household is deprived in three dimensions,2998
E09000004,Bexley,Household is deprived in four dimensions,206
E09000005,Brent,Household is not deprived in any dimension,47376
E09000005,Brent,Household is deprived in one dimension,43300
E09000005,Brent,Household is deprived in two dimensions,21017
E09000005,Brent,Household is deprived in three dimensions,6328
E09000005,Brent,Household is deprived in four dimensions,591
E09000006,Bromley,Household is not deprived in any dimension,74219
E09000006,Bromley,Household is deprived in one dimension,42434
E09000006,Bromley,Household is deprived in two dimensions,15360
E09000006,Bromley,Household is deprived in three dimensions,3586
E09000006,Bromley,Household is deprived in four dimensions,228
E09000007,Camden,Household is not deprived in any dimension,44082
E09000007,Camden,Household is deprived in one dimension,29601
E09000007,Camden,Household is deprived in two dimensions,13535
E09000007,Camden,Household is deprived in three dimensions,4938
E09000007,Camden,Household is deprived in four dimensions,603
E09000008,Croydon,Household is not deprived in any dimension,73406
E09000008,Croydon,Household is deprived in one dimension,51772
E09000008,Croydon,Household is deprived in two dimensions,21635
E09000008,Croydon,Household is deprived in three dimensions,5581
E09000008,Croydon,Household is deprived in four dimensions,552
E09000009,Ealing,Household is not deprived in any dimension,61527
E09000009,Ealing,Household is deprived in one dimension,45652
E09000009,Ealing,Household is deprived in two dimensions,20275
E09000009,Ealing,Household is deprived in three dimensions,5686
E09000009,Ealing,Household is deprived in four dimensions,518
E09000010,Enfield,Household is not deprived in any dimension,51013
E09000010,Enfield,Household is deprived in one dimension,43120
E09000010,Enfield,Household is deprived in two dimensions,20209
E09000010,Enfield,Household is deprived in three dimensions,6012
E09000010,Enfield,Household is deprived in four dimensions,566
E09000011,Greenwich,Household is not deprived in any dimension,55022
E09000011,Greenwich,Household is deprived in one dimension,36619
E09000011,Greenwich,Household is deprived in two dimensions,16601
E09000011,Greenwich,Household is deprived in three dimensions,5382
E09000011,Greenwich,Household is deprived in four dimensions,428
E09000012,Hackney,Household is not deprived in any dimension,47686
E09000012,Hackney,Household is deprived in one dimension,34486
E09000012,Hackney,Household is deprived in two dimensions,16971
E09000012,Hackney,Household is deprived in three dimensions,6333
E09000012,Hackney,Household is deprived in four dimensions,605
E09000013,Hammersmith and Fulham,Household is not deprived in any dimension,41748
E09000013,Hammersmith and Fulham,Household is deprived in one dimension,25243
E09000013,Hammersmith and Fulham,Household is deprived in two dimensions,10555
E09000013,Hammersmith and Fulham,Household is deprived in three dimensions,3319
E09000013,Hammersmith and Fulham,Household is deprived in four dimensions,379
E09000014,Haringey,Household is not deprived in any dimension,45524
E09000014,Haringey,Household is deprived in one dimension,35580
E09000014,Haringey,Household is deprived in two dimensions,17629
E09000014,Haringey,Household is deprived in three dimensions,5755
E09000014,Haringey,Household is deprived in four dimensions,607
E09000015,Harrow,Household is not deprived in any dimension,43681
E09000015,Harrow,Household is deprived in one dimension,30953
E09000015,Harrow,Household is deprived in two dimensions,12012
E09000015,Harrow,Household is deprived in three dimensions,2763
E09000015,Harrow,Household is deprived in four dimensions,233
E09000016,Havering,Household is not deprived in any dimension,47903
E09000016,Havering,Household is deprived in one dimension,34966
E09000016,Havering,Household is deprived in two dimensions,14859
E09000016,Havering,Household is deprived in three dimensions,3337
E09000016,Havering,Household is deprived in four dimensions,212
E09000017,Hillingdon,Household is not deprived in any dimension,50136
E09000017,Hillingdon,Household is deprived in one dimension,38207
E09000017,Hillingdon,Household is deprived in two dimensions,16448
E09000017,Hillingdon,Household is deprived in three dimensions,4110
E09000017,Hillingdon,Household is deprived in four dimensions,327
E09000018,Hounslow,Household is not deprived in any dimension,45406
E09000018,Hounslow,Household is deprived in one dimension,36270
E09000018,Hounslow,Household is deprived in two dimensions,16488
E09000018,Hounslow,Household is deprived in three dimensions,4377
E09000018,Hounslow,Household is deprived in four dimensions,420
E09000019,Islington,Household is not deprived in any dimension,46657
E09000019,Islington,Household is deprived in one dimension,29403
E09000019,Islington,Household is deprived in two dimensions,14577
E09000019,Islington,Household is deprived in three dimensions,5409
E09000019,Islington,Household is deprived in four dimensions,450
E09000020,Kensington and Chelsea,Household is not deprived in any dimension,35174
E09000020,Kensington and Chelsea,Household is deprived in one dimension,20245
E09000020,Kensington and Chelsea,Household is deprived in two dimensions,8121
E09000020,Kensington and Chelsea,Household is deprived in three dimensions,2918
E09000020,Kensington and Chelsea,Household is deprived in four dimensions,426
E09000021,Kingston upon Thames,Household is not deprived in any dimension,36639
E09000021,Kingston upon Thames,Household is deprived in one dimension,20274
E09000021,Kingston upon Thames,Household is deprived in two dimensions,7045
E09000021,Kingston upon Thames,Household is deprived in three dimensions,1552
E09000021,Kingston upon Thames,Household is deprived in four dimensions,116
E09000022,Lambeth,Household is not deprived in any dimension,67366
E09000022,Lambeth,Household is deprived in one dimension,42725
E09000022,Lambeth,Household is deprived in two dimensions,18625
E09000022,Lambeth,Household is deprived in three dimensions,5499
E09000022,Lambeth,Household is deprived in four dimensions,473
E09000023,Lewisham,Household is not deprived in any dimension,57783
E09000023,Lewisham,Household is deprived in one dimension,39762
E09000023,Lewisham,Household is deprived in two dimensions,18556
E09000023,Lewisham,Household is deprived in three dimensions,5755
E09000023,Lewisham,Household is deprived in four dimensions,536
E09000024,Merton,Household is not deprived in any dimension,44057
E09000024,Merton,Household is deprived in one dimension,25596
E09000024,Merton,Household is deprived in two dimensions,9632
E09000024,Merton,Household is deprived in three dimensions,2276
E09000024,Merton,Household is deprived in four dimensions,168
E09000025,Newham,Household is not deprived in any dimension,45399
E09000025,Newham,Household is deprived in one dimension,41296
E09000025,Newham,Household is deprived in two dimensions,21230
E09000025,Newham,Household is deprived in three dimensions,7081
E09000025,Newham,Household is deprived in four dimensions,501
E09000026,Redbridge,Household is not deprived in any dimension,47994
E09000026,Redbridge,Household is deprived in one dimension,36254
E09000026,Redbridge,Household is deprived in two dimensions,15319
E09000026,Redbridge,Household is deprived in three dimensions,3869
E09000026,Redbridge,Household is deprived in four dimensions,277
E09000027,Richmond upon Thames,Household is not deprived in any dimension,49261
E09000027,Richmond upon Thames,Household is deprived in one dimension,22644
E09000027,Richmond upon Thames,Household is deprived in two dimensions,6992
E09000027,Richmond upon Thames,Household is deprived in three dimensions,1678
E09000027,Richmond upon Thames,Household is deprived in four dimensions,130
E09000028,Southwark,Household is not deprived in any dimension,63507
E09000028,Southwark,Household is deprived in one dimension,41817
E09000028,Southwark,Household is deprived in two dimensions,19018
E09000028,Southwark,Household is deprived in three dimensions,6066
E09000028,Southwark,Household is deprived in four dimensions,410
E09000029,Sutton,Household is not deprived in any dimension,41892
E09000029,Sutton,Household is deprived in one dimension,27257
E09000029,Sutton,Household is deprived in two dimensions,10463
E09000029,Sutton,Household is deprived in three dimensions,2549
E09000029,Sutton,Household is deprived in four dimensions,187
E09000030,Tower Hamlets,Household is not deprived in any dimension,55936
E09000030,Tower Hamlets,Household is deprived in one dimension,38337
E09000030,Tower Hamlets,Household is deprived in two dimensions,18685
E09000030,Tower Hamlets,Household is deprived in three dimensions,7054
E09000030,Tower Hamlets,Household is deprived in four dimensions,527
E09000031,Waltham Forest,Household is not deprived in any dimension,46576
E09000031,Waltham Forest,Household is deprived in one dimension,34786
E09000031,Waltham Forest,Household is deprived in two dimensions,16559
E09000031,Waltham Forest,Household is deprived in three dimensions,4600
E09000031,Waltham Forest,Household is deprived in four dimensions,380
E09000032,Wandsworth,Household is not deprived in any dimension,80186
E09000032,Wandsworth,Household is deprived in one dimension,38272
