lad22cd,lad22nm,i.lad22nm,category,count_21
E09000001,City of London,City of London,Never married and never registered a civil partnership,4594
E09000001,City of London,City of London,Married: Opposite sex,2218
E09000001,City of London,City of London,Married: Same sex,104
E09000001,City of London,City of London,In a registered civil partnership: Opposite sex,17
E09000001,City of London,City of London,In a registered civil partnership: Same sex,96
E09000001,City of London,City of London,"Separated, but still married",166
E09000001,City of London,City of London,"Separated, but still in a registered civil partnership",6
E09000001,City of London,City of London,Divorced,537
E09000001,City of London,City of London,Formerly in a civil partnership now legally dissolved,22
E09000001,City of London,City of London,Widowed,242
E09000001,City of London,City of London,Surviving partner from civil partnership,1
E09000002,Barking and Dagenham,Barking and Dagenham,Never married and never registered a civil partnership,67654
E09000002,Barking and Dagenham,Barking and Dagenham,Married: Opposite sex,68681
E09000002,Barking and Dagenham,Barking and Dagenham,Married: Same sex,359
E09000002,Barking and Dagenham,Barking and Dagenham,In a registered civil partnership: Opposite sex,165
E09000002,Barking and Dagenham,Barking and Dagenham,In a registered civil partnership: Same sex,74
E09000002,Barking and Dagenham,Barking and Dagenham,"Separated, but still married",4645
E09000002,Barking and Dagenham,Barking and Dagenham,"Separated, but still in a registered civil partnership",22
E09000002,Barking and Dagenham,Barking and Dagenham,Divorced,13029
E09000002,Barking and Dagenham,Barking and Dagenham,Formerly in a civil partnership now legally dissolved,24
E09000002,Barking and Dagenham,Barking and Dagenham,Widowed,7085
E09000002,Barking and Dagenham,Barking and Dagenham,Surviving partner from civil partnership,6
E09000003,Barnet,Barnet,Never married and never registered a civil partnership,118816
E09000003,Barnet,Barnet,Married: Opposite sex,144666
E09000003,Barnet,Barnet,Married: Same sex,649
E09000003,Barnet,Barnet,In a registered civil partnership: Opposite sex,275
E09000003,Barnet,Barnet,In a registered civil partnership: Same sex,407
E09000003,Barnet,Barnet,"Separated, but still married",6770
E09000003,Barnet,Barnet,"Separated, but still in a registered civil partnership",38
E09000003,Barnet,Barnet,Divorced,22794
E09000003,Barnet,Barnet,Formerly in a civil partnership now legally dissolved,54
E09000003,Barnet,Barnet,Widowed,14859
E09000003,Barnet,Barnet,Surviving partner from civil partnership,25
E09000004,Bexley,Bexley,Never married and never registered a civil partnership,73043
E09000004,Bexley,Bexley,Married: Opposite sex,89614
E09000004,Bexley,Bexley,Married: Same sex,380
E09000004,Bexley,Bexley,In a registered civil partnership: Opposite sex,118
E09000004,Bexley,Bexley,In a registered civil partnership: Same sex,140
E09000004,Bexley,Bexley,"Separated, but still married",4584
E09000004,Bexley,Bexley,"Separated, but still in a registered civil partnership",19
E09000004,Bexley,Bexley,Divorced,15992
E09000004,Bexley,Bexley,Formerly in a civil partnership now legally dissolved,28
E09000004,Bexley,Bexley,Widowed,11905
E09000004,Bexley,Bexley,Surviving partner from civil partnership,4
E09000005,Brent,Brent,Never married and never registered a civil partnership,119655
E09000005,Brent,Brent,Married: Opposite sex,117697
E09000005,Brent,Brent,Married: Same sex,955
E09000005,Brent,Brent,In a registered civil partnership: Opposite sex,266
E09000005,Brent,Brent,In a registered civil partnership: Same sex,272
E09000005,Brent,Brent,"Separated, but still married",6586
E09000005,Brent,Brent,"Separated, but still in a registered civil partnership",44
E09000005,Brent,Brent,Divorced,17734
E09000005,Brent,Brent,Formerly in a civil partnership now legally dissolved,52
E09000005,Brent,Brent,Widowed,11862
E09000005,Brent,Brent,Surviving partner from civil partnership,20
E09000006,Bromley,Bromley,Never married and never registered a civil partnership,96698
E09000006,Bromley,Bromley,Married: Opposite sex,125080
E09000006,Bromley,Bromley,Married: Same sex,896
E09000006,Bromley,Bromley,In a registered civil partnership: Opposite sex,178
E09000006,Bromley,Bromley,In a registered civil partnership: Same sex,428
E09000006,Bromley,Bromley,"Separated, but still married",5425
E09000006,Bromley,Bromley,"Separated, but still in a registered civil partnership",33
E09000006,Bromley,Bromley,Divorced,21148
E09000006,Bromley,Bromley,Formerly in a civil partnership now legally dissolved,56
E09000006,Bromley,Bromley,Widowed,15131
E09000006,Bromley,Bromley,Surviving partner from civil partnership,14
