lad22cd,lad22nm,category,count_21
E09000001,City of London,Living in an opposite-sex couple: Married or in a civil partnership,1983
E09000001,City of London,Living in a same-sex couple: Married or in a civil partnership,174
E09000001,City of London,"Living in a couple: Separated, but still married or in a civil partnership",5
E09000001,City of London,Living in an opposite-sex couple: Cohabiting,1256
E09000001,City of London,Living in a same-sex couple: Cohabiting,214
E09000001,City of London,Not living in a couple: Single (never married and never registered a same-sex civil partnership),3155
E09000001,City of London,Not living in a couple: Married or in a registered civil partnership,223
E09000001,City of London,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),139
E09000001,City of London,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,435
E09000001,City of London,Not living in a couple: Widowed or surviving partner from a civil partnership,237
E09000002,Barking and Dagenham,Living in an opposite-sex couple: Married or in a civil partnership,61733
E09000002,Barking and Dagenham,Living in a same-sex couple: Married or in a civil partnership,250
E09000002,Barking and Dagenham,"Living in a couple: Separated, but still married or in a civil partnership",309
E09000002,Barking and Dagenham,Living in an opposite-sex couple: Cohabiting,15572
E09000002,Barking and Dagenham,Living in a same-sex couple: Cohabiting,722
E09000002,Barking and Dagenham,Not living in a couple: Single (never married and never registered a same-sex civil partnership),55421
E09000002,Barking and Dagenham,Not living in a couple: Married or in a registered civil partnership,5733
E09000002,Barking and Dagenham,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),3867
E09000002,Barking and Dagenham,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,10636
E09000002,Barking and Dagenham,Not living in a couple: Widowed or surviving partner from a civil partnership,6629
E09000003,Barnet,Living in an opposite-sex couple: Married or in a civil partnership,134688
E09000003,Barnet,Living in a same-sex couple: Married or in a civil partnership,776
E09000003,Barnet,"Living in a couple: Separated, but still married or in a civil partnership",504
E09000003,Barnet,Living in an opposite-sex couple: Cohabiting,26403
E09000003,Barnet,Living in a same-sex couple: Cohabiting,1694
E09000003,Barnet,Not living in a couple: Single (never married and never registered a same-sex civil partnership),94801
E09000003,Barnet,Not living in a couple: Married or in a registered civil partnership,8622
E09000003,Barnet,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),5791
E09000003,Barnet,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,18900
E09000003,Barnet,Not living in a couple: Widowed or surviving partner from a civil partnership,13859
E09000004,Bexley,Living in an opposite-sex couple: Married or in a civil partnership,85744
