lad22cd,lad22nm,category,count_21
E09000001,City of London,Europe: United Kingdom,5465
E09000001,City of London,Europe: Ireland,129
E09000001,City of London,Europe: Other Europe: EU Member countries: France,201
E09000001,City of London,Europe: Other Europe: EU Member countries: Germany,128
E09000001,City of London,Europe: Other Europe: EU Member countries: Italy,257
E09000001,City of London,Europe: Other Europe: EU Member countries: Portugal,71
E09000001,City of London,Europe: Other Europe: EU Member countries: Spain,168
E09000001,City of London,Europe: Other Europe: EU Member countries: Lithuania,23
E09000001,City of London,Europe: Other Europe: EU Member countries: Poland,112
E09000001,City of London,Europe: Other Europe: EU Member countries: Romania,47
E09000001,City of London,Europe: Other Europe: EU Member countries: Other EU countries,438
E09000001,City of London,Europe: Other Europe: Rest of Europe: Turkey,28
E09000001,City of London,Europe: Other Europe: Rest of Europe: Other Europe,153
E09000001,City of London,Africa: North Africa,28
E09000001,City of London,Africa: Central and Western Africa: Ghana,3
E09000001,City of London,Africa: Central and Western Africa: Nigeria,7
E09000001,City of London,Africa: Central and Western Africa: Other Central and Western Africa,4
E09000001,City of London,Africa: South and Eastern Africa: Kenya,3
E09000001,City of London,Africa: South and Eastern Africa: Somalia,0
E09000001,City of London,Africa: South and Eastern Africa: South Africa,15
E09000001,City of London,Africa: South and Eastern Africa: Zimbabwe,3
E09000001,City of London,Africa: South and Eastern Africa: Other South and Eastern Africa,6
E09000001,City of London,Middle East and Asia: Middle East: Iran,11
E09000001,City of London,Middle East and Asia: Middle East: Iraq,1
E09000001,City of London,Middle East and Asia: Middle East: Other Middle East,28
E09000001,City of London,Middle East and Asia: Eastern Asia: China,232
E09000001,City of London,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),21
E09000001,City of London,Middle East and Asia: Eastern Asia: Japan,60
E09000001,City of London,Middle East and Asia: Eastern Asia: Other Eastern Asia,29
E09000001,City of London,Middle East and Asia: Southern Asia: Afghanistan,0
E09000001,City of London,Middle East and Asia: Southern Asia: Bangladesh,23
E09000001,City of London,Middle East and Asia: Southern Asia: India,113
E09000001,City of London,Middle East and Asia: Southern Asia: Pakistan,5
E09000001,City of London,Middle East and Asia: Southern Asia: Sri Lanka,0
E09000001,City of London,Middle East and Asia: Southern Asia: Other Southern Asia,3
E09000001,City of London,Middle East and Asia: South-East Asia: Malaysia,36
E09000001,City of London,Middle East and Asia: South-East Asia: Philippines,9
E09000001,City of London,Middle East and Asia: South-East Asia: Singapore,46
E09000001,City of London,Middle East and Asia: South-East Asia: Other South-East Asia,14
E09000001,City of London,Middle East and Asia: Central Asia,8
E09000001,City of London,The Americas and the Caribbean: North America: Canada,59
E09000001,City of London,The Americas and the Caribbean: North America: United States,171
E09000001,City of London,The Americas and the Caribbean: Central America,11
E09000001,City of London,The Americas and the Caribbean: South America,74
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Jamaica,0
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Other Caribbean,5
E09000001,City of London,Antarctica and Oceania: Australasia: Australia,114
E09000001,City of London,Antarctica and Oceania: Australasia: New Zealand,23
E09000001,City of London,Antarctica and Oceania: Other Antarctica and Oceania,0
E09000001,City of London,British Overseas Territories,1
E09000001,City of London,No passport held,196
E09000002,Barking and Dagenham,Europe: United Kingdom,141959
E09000002,Barking and Dagenham,Europe: Ireland,1182
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: France,929
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Germany,682
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Italy,3562
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Portugal,2711
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Spain,1131
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Lithuania,6408
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Poland,2365
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Romania,11256
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Other EU countries,6515
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Turkey,187
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Other Europe,1353
E09000002,Barking and Dagenham,Africa: North Africa,249
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Ghana,1202
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Nigeria,3510
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Other Central and Western Africa,577
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Kenya,170
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Somalia,12
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: South Africa,61
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Zimbabwe,211
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Other South and Eastern Africa,499
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Iran,36
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Iraq,10
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Other Middle East,41
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: China,229
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),22
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Japan,24
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Other Eastern Asia,30
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Afghanistan,73
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Bangladesh,2380
