lad22cd,lad22nm,category,count_21
E09000001,City of London,Born in the UK,4327
E09000001,City of London,10 years or more,1690
E09000001,City of London,"5 years or more, but less than 10 years",745
E09000001,City of London,"2 years or more, but less than 5 years",838
E09000001,City of London,Less than 2 years,983
E09000002,Barking and Dagenham,Born in the UK,128483
E09000002,Barking and Dagenham,10 years or more,54916
E09000002,Barking and Dagenham,"5 years or more, but less than 10 years",17197
E09000002,Barking and Dagenham,"2 years or more, but less than 5 years",10893
E09000002,Barking and Dagenham,Less than 2 years,7382
E09000003,Barnet,Born in the UK,221293
E09000003,Barnet,10 years or more,104882
E09000003,Barnet,"5 years or more, but less than 10 years",27670
E09000003,Barnet,"2 years or more, but less than 5 years",20652
E09000003,Barnet,Less than 2 years,14847
E09000004,Bexley,Born in the UK,194714
E09000004,Bexley,10 years or more,36134
E09000004,Bexley,"5 years or more, but less than 10 years",8099
E09000004,Bexley,"2 years or more, but less than 5 years",4441
E09000004,Bexley,Less than 2 years,3085
E09000005,Brent,Born in the UK,149239
E09000005,Brent,10 years or more,114217
E09000005,Brent,"5 years or more, but less than 10 years",33145
E09000005,Brent,"2 years or more, but less than 5 years",24671
E09000005,Brent,Less than 2 years,18544
E09000006,Bromley,Born in the UK,263052
E09000006,Bromley,10 years or more,45400
E09000006,Bromley,"5 years or more, but less than 10 years",10349
E09000006,Bromley,"2 years or more, but less than 5 years",6656
E09000006,Bromley,Less than 2 years,4534
E09000007,Camden,Born in the UK,114647
E09000007,Camden,10 years or more,50482
E09000007,Camden,"5 years or more, but less than 10 years",14085
E09000007,Camden,"2 years or more, but less than 5 years",14132
E09000007,Camden,Less than 2 years,16790
E09000008,Croydon,Born in the UK,254536
E09000008,Croydon,10 years or more,92122
E09000008,Croydon,"5 years or more, but less than 10 years",21030
E09000008,Croydon,"2 years or more, but less than 5 years",13550
E09000008,Croydon,Less than 2 years,9481
E09000009,Ealing,Born in the UK,180561
E09000009,Ealing,10 years or more,114277
E09000009,Ealing,"5 years or more, but less than 10 years",31490
E09000009,Ealing,"2 years or more, but less than 5 years",23673
E09000009,Ealing,Less than 2 years,17114
E09000010,Enfield,Born in the UK,196824
E09000010,Enfield,10 years or more,91954
E09000010,Enfield,"5 years or more, but less than 10 years",19515
E09000010,Enfield,"2 years or more, but less than 5 years",13189
E09000010,Enfield,Less than 2 years,8502
E09000011,Greenwich,Born in the UK,180578
E09000011,Greenwich,10 years or more,64103
E09000011,Greenwich,"5 years or more, but less than 10 years",20497
E09000011,Greenwich,"2 years or more, but less than 5 years",13601
E09000011,Greenwich,Less than 2 years,10289
E09000012,Hackney,Born in the UK,156219
E09000012,Hackney,10 years or more,62759
E09000012,Hackney,"5 years or more, but less than 10 years",16947
E09000012,Hackney,"2 years or more, but less than 5 years",13065
E09000012,Hackney,Less than 2 years,10156
E09000013,Hammersmith and Fulham,Born in the UK,99818
E09000013,Hammersmith and Fulham,10 years or more,44057
E09000013,Hammersmith and Fulham,"5 years or more, but less than 10 years",14372
E09000013,Hammersmith and Fulham,"2 years or more, but less than 5 years",13213
E09000013,Hammersmith and Fulham,Less than 2 years,11697
E09000014,Haringey,Born in the UK,143117
E09000014,Haringey,10 years or more,72112
E09000014,Haringey,"5 years or more, but less than 10 years",21941
E09000014,Haringey,"2 years or more, but less than 5 years",16308
E09000014,Haringey,Less than 2 years,10760
E09000015,Harrow,Born in the UK,127612
E09000015,Harrow,10 years or more,86751
E09000015,Harrow,"5 years or more, but less than 10 years",20690
E09000015,Harrow,"2 years or more, but less than 5 years",14959
E09000015,Harrow,Less than 2 years,11191
E09000016,Havering,Born in the UK,211166
E09000016,Havering,10 years or more,32710
E09000016,Havering,"5 years or more, but less than 10 years",9085
E09000016,Havering,"2 years or more, but less than 5 years",5357
E09000016,Havering,Less than 2 years,3735
E09000017,Hillingdon,Born in the UK,188260
E09000017,Hillingdon,10 years or more,73764
E09000017,Hillingdon,"5 years or more, but less than 10 years",18355
