lad22cd,lad22nm,category,count_21
E09000001,City of London,Lives in a household,8373
E09000001,City of London,Lives in a communal establishment,210
E09000002,Barking and Dagenham,Lives in a household,217949
E09000002,Barking and Dagenham,Lives in a communal establishment,920
E09000003,Barnet,Lives in a household,385950
E09000003,Barnet,Lives in a communal establishment,3394
E09000004,Bexley,Lives in a household,245266
E09000004,Bexley,Lives in a communal establishment,1206
E09000005,Brent,Lives in a household,335806
E09000005,Brent,Lives in a communal establishment,4010
E09000006,Bromley,Lives in a household,328202
E09000006,Bromley,Lives in a communal establishment,1790
E09000007,Camden,Lives in a household,202702
E09000007,Camden,Lives in a communal establishment,7434
E09000008,Croydon,Lives in a household,387377
E09000008,Croydon,Lives in a communal establishment,3342
E09000009,Ealing,Lives in a household,362907
E09000009,Ealing,Lives in a communal establishment,4208
E09000010,Enfield,Lives in a household,328106
E09000010,Enfield,Lives in a communal establishment,1878
E09000011,Greenwich,Lives in a household,284650
E09000011,Greenwich,Lives in a communal establishment,4418
E09000012,Hackney,Lives in a household,256633
E09000012,Hackney,Lives in a communal establishment,2513
E09000013,Hammersmith and Fulham,Lives in a household,180589
E09000013,Hammersmith and Fulham,Lives in a communal establishment,2568
E09000014,Haringey,Lives in a household,262070
E09000014,Haringey,Lives in a communal establishment,2168
E09000015,Harrow,Lives in a household,259007
E09000015,Harrow,Lives in a communal establishment,2196
E09000016,Havering,Lives in a household,260555
E09000016,Havering,Lives in a communal establishment,1497
E09000017,Hillingdon,Lives in a household,300420
E09000017,Hillingdon,Lives in a communal establishment,5489
E09000018,Hounslow,Lives in a household,286381
E09000018,Hounslow,Lives in a communal establishment,1800
E09000019,Islington,Lives in a household,211332
E09000019,Islington,Lives in a communal establishment,5257
E09000020,Kensington and Chelsea,Lives in a household,141067
E09000020,Kensington and Chelsea,Lives in a communal establishment,2308
E09000021,Kingston upon Thames,Lives in a household,164689
E09000021,Kingston upon Thames,Lives in a communal establishment,3374
E09000022,Lambeth,Lives in a household,313264
E09000022,Lambeth,Lives in a communal establishment,4390
E09000023,Lewisham,Lives in a household,297876
E09000023,Lewisham,Lives in a communal establishment,2677
E09000024,Merton,Lives in a household,214115
E09000024,Merton,Lives in a communal establishment,1071
E09000025,Newham,Lives in a household,348410
E09000025,Newham,Lives in a communal establishment,2626
E09000026,Redbridge,Lives in a household,308491
E09000026,Redbridge,Lives in a communal establishment,1769
E09000027,Richmond upon Thames,Lives in a household,193417
E09000027,Richmond upon Thames,Lives in a communal establishment,1861
E09000028,Southwark,Lives in a household,302498
E09000028,Southwark,Lives in a communal establishment,5139
E09000029,Sutton,Lives in a household,208425
E09000029,Sutton,Lives in a communal establishment,1214
E09000030,Tower Hamlets,Lives in a household,303679
E09000030,Tower Hamlets,Lives in a communal establishment,6627
E09000031,Waltham Forest,Lives in a household,276688
E09000031,Waltham Forest,Lives in a communal establishment,1738
E09000032,Wandsworth,Lives in a household,322998
E09000032,Wandsworth,Lives in a communal establishment,4508
E09000033,Westminster,Lives in a household,199943
E09000033,Westminster,Lives in a communal establishment,4293
