lad22cd,lad22nm,category,count_21
E09000001,City of London,Female,3861
E09000001,City of London,Male,4722
E09000002,Barking and Dagenham,Female,112288
E09000002,Barking and Dagenham,Male,106581
E09000003,Barnet,Female,200799
E09000003,Barnet,Male,188545
E09000004,Bexley,Female,127970
E09000004,Bexley,Male,118502
E09000005,Brent,Female,173121
E09000005,Brent,Male,166695
E09000006,Bromley,Female,171733
E09000006,Bromley,Male,158258
E09000007,Camden,Female,110652
E09000007,Camden,Male,99484
E09000008,Croydon,Female,203086
E09000008,Croydon,Male,187633
E09000009,Ealing,Female,186205
E09000009,Ealing,Male,180910
E09000010,Enfield,Female,172473
E09000010,Enfield,Male,157511
E09000011,Greenwich,Female,148570
E09000011,Greenwich,Male,140498
E09000012,Hackney,Female,135303
E09000012,Hackney,Male,123843
E09000013,Hammersmith and Fulham,Female,97214
E09000013,Hammersmith and Fulham,Male,85943
E09000014,Haringey,Female,136994
E09000014,Haringey,Male,127244
E09000015,Harrow,Female,132406
E09000015,Harrow,Male,128797
E09000016,Havering,Female,135668
E09000016,Havering,Male,126384
E09000017,Hillingdon,Female,154860
E09000017,Hillingdon,Male,151049
E09000018,Hounslow,Female,144979
E09000018,Hounslow,Male,143202
E09000019,Islington,Female,113291
E09000019,Islington,Male,103298
E09000020,Kensington and Chelsea,Female,76312
E09000020,Kensington and Chelsea,Male,67063
E09000021,Kingston upon Thames,Female,87047
E09000021,Kingston upon Thames,Male,81016
E09000022,Lambeth,Female,163713
E09000022,Lambeth,Male,153941
E09000023,Lewisham,Female,157820
E09000023,Lewisham,Male,142733
E09000024,Merton,Female,110531
E09000024,Merton,Male,104656
E09000025,Newham,Female,175723
E09000025,Newham,Male,175313
E09000026,Redbridge,Female,156929
E09000026,Redbridge,Male,153331
E09000027,Richmond upon Thames,Female,101317
E09000027,Richmond upon Thames,Male,93961
E09000028,Southwark,Female,158633
E09000028,Southwark,Male,149004
E09000029,Sutton,Female,108156
E09000029,Sutton,Male,101483
E09000030,Tower Hamlets,Female,154437
E09000030,Tower Hamlets,Male,155869
E09000031,Waltham Forest,Female,141951
E09000031,Waltham Forest,Male,136474
E09000032,Wandsworth,Female,172253
E09000032,Wandsworth,Male,155253
E09000033,Westminster,Female,105327
E09000033,Westminster,Male,98909
