lad22cd,lad22nm,category,count_21
E09000001,City of London,Born in the UK,4327
E09000001,City of London,Arrived before 1951,16
E09000001,City of London,Arrived 1951 to 1960,36
E09000001,City of London,Arrived 1961 to 1970,97
E09000001,City of London,Arrived 1971 to 1980,145
E09000001,City of London,Arrived 1981 to 1990,194
E09000001,City of London,Arrived 1991 to 2000,451
E09000001,City of London,Arrived 2001 to 2010,736
E09000001,City of London,Arrived 2011 to 2013,370
E09000001,City of London,Arrived 2014 to 2016,615
E09000001,City of London,Arrived 2017 to 2019,896
E09000001,City of London,Arrived 2020 to 2021,702
E09000002,Barking and Dagenham,Born in the UK,128483
E09000002,Barking and Dagenham,Arrived before 1951,132
E09000002,Barking and Dagenham,Arrived 1951 to 1960,635
E09000002,Barking and Dagenham,Arrived 1961 to 1970,1787
E09000002,Barking and Dagenham,Arrived 1971 to 1980,2453
E09000002,Barking and Dagenham,Arrived 1981 to 1990,5151
E09000002,Barking and Dagenham,Arrived 1991 to 2000,12958
E09000002,Barking and Dagenham,Arrived 2001 to 2010,30932
E09000002,Barking and Dagenham,Arrived 2011 to 2013,9121
E09000002,Barking and Dagenham,Arrived 2014 to 2016,11821
E09000002,Barking and Dagenham,Arrived 2017 to 2019,11140
E09000002,Barking and Dagenham,Arrived 2020 to 2021,4256
E09000003,Barnet,Born in the UK,221293
E09000003,Barnet,Arrived before 1951,1085
E09000003,Barnet,Arrived 1951 to 1960,3643
E09000003,Barnet,Arrived 1961 to 1970,9170
E09000003,Barnet,Arrived 1971 to 1980,12696
E09000003,Barnet,Arrived 1981 to 1990,11826
E09000003,Barnet,Arrived 1991 to 2000,23371
E09000003,Barnet,Arrived 2001 to 2010,42047
E09000003,Barnet,Arrived 2011 to 2013,14255
E09000003,Barnet,Arrived 2014 to 2016,19706
E09000003,Barnet,Arrived 2017 to 2019,21921
E09000003,Barnet,Arrived 2020 to 2021,8331
E09000004,Bexley,Born in the UK,194714
E09000004,Bexley,Arrived before 1951,318
E09000004,Bexley,Arrived 1951 to 1960,1099
E09000004,Bexley,Arrived 1961 to 1970,2696
E09000004,Bexley,Arrived 1971 to 1980,3022
E09000004,Bexley,Arrived 1981 to 1990,3432
E09000004,Bexley,Arrived 1991 to 2000,7132
E09000004,Bexley,Arrived 2001 to 2010,18000
E09000004,Bexley,Arrived 2011 to 2013,4555
E09000004,Bexley,Arrived 2014 to 2016,5187
E09000004,Bexley,Arrived 2017 to 2019,4606
E09000004,Bexley,Arrived 2020 to 2021,1711
E09000005,Brent,Born in the UK,149239
E09000005,Brent,Arrived before 1951,478
E09000005,Brent,Arrived 1951 to 1960,3797
E09000005,Brent,Arrived 1961 to 1970,12298
E09000005,Brent,Arrived 1971 to 1980,14700
E09000005,Brent,Arrived 1981 to 1990,12759
E09000005,Brent,Arrived 1991 to 2000,24225
E09000005,Brent,Arrived 2001 to 2010,44828
E09000005,Brent,Arrived 2011 to 2013,16407
E09000005,Brent,Arrived 2014 to 2016,24081
E09000005,Brent,Arrived 2017 to 2019,26518
E09000005,Brent,Arrived 2020 to 2021,10486
E09000006,Bromley,Born in the UK,263052
E09000006,Bromley,Arrived before 1951,591
E09000006,Bromley,Arrived 1951 to 1960,1949
E09000006,Bromley,Arrived 1961 to 1970,3824
E09000006,Bromley,Arrived 1971 to 1980,4214
E09000006,Bromley,Arrived 1981 to 1990,4694
E09000006,Bromley,Arrived 1991 to 2000,9496
E09000006,Bromley,Arrived 2001 to 2010,20159
E09000006,Bromley,Arrived 2011 to 2013,5660
E09000006,Bromley,Arrived 2014 to 2016,6868
E09000006,Bromley,Arrived 2017 to 2019,7015
E09000006,Bromley,Arrived 2020 to 2021,2469
E09000007,Camden,Born in the UK,114647
E09000007,Camden,Arrived before 1951,526
E09000007,Camden,Arrived 1951 to 1960,1438
E09000007,Camden,Arrived 1961 to 1970,3125
E09000007,Camden,Arrived 1971 to 1980,4703
E09000007,Camden,Arrived 1981 to 1990,7841
E09000007,Camden,Arrived 1991 to 2000,14735
E09000007,Camden,Arrived 2001 to 2010,17744
E09000007,Camden,Arrived 2011 to 2013,6738
E09000007,Camden,Arrived 2014 to 2016,10938
E09000007,Camden,Arrived 2017 to 2019,16628
E09000007,Camden,Arrived 2020 to 2021,11075
E09000008,Croydon,Born in the UK,254536
E09000008,Croydon,Arrived before 1951,511
E09000008,Croydon,Arrived 1951 to 1960,3415
E09000008,Croydon,Arrived 1961 to 1970,9858
E09000008,Croydon,Arrived 1971 to 1980,9298
E09000008,Croydon,Arrived 1981 to 1990,9840
E09000008,Croydon,Arrived 1991 to 2000,19490
E09000008,Croydon,Arrived 2001 to 2010,38733
E09000008,Croydon,Arrived 2011 to 2013,11573
E09000008,Croydon,Arrived 2014 to 2016,13790
E09000008,Croydon,Arrived 2017 to 2019,14451
E09000008,Croydon,Arrived 2020 to 2021,5224
E09000009,Ealing,Born in the UK,180561
E09000009,Ealing,Arrived before 1951,612
E09000009,Ealing,Arrived 1951 to 1960,3164
E09000009,Ealing,Arrived 1961 to 1970,11571
E09000009,Ealing,Arrived 1971 to 1980,12031
E09000009,Ealing,Arrived 1981 to 1990,11902
E09000009,Ealing,Arrived 1991 to 2000,25247
E09000009,Ealing,Arrived 2001 to 2010,48377
E09000009,Ealing,Arrived 2011 to 2013,15779
E09000009,Ealing,Arrived 2014 to 2016,23013
E09000009,Ealing,Arrived 2017 to 2019,25394
E09000009,Ealing,Arrived 2020 to 2021,9462
E09000010,Enfield,Born in the UK,196824
E09000010,Enfield,Arrived before 1951,555
E09000010,Enfield,Arrived 1951 to 1960,4845
E09000010,Enfield,Arrived 1961 to 1970,9858
E09000010,Enfield,Arrived 1971 to 1980,8724
E09000010,Enfield,Arrived 1981 to 1990,10168
E09000010,Enfield,Arrived 1991 to 2000,22355
E09000010,Enfield,Arrived 2001 to 2010,34694
E09000010,Enfield,Arrived 2011 to 2013,10065
E09000010,Enfield,Arrived 2014 to 2016,13675
E09000010,Enfield,Arrived 2017 to 2019,13530
E09000010,Enfield,Arrived 2020 to 2021,4689
E09000011,Greenwich,Born in the UK,180578
E09000011,Greenwich,Arrived before 1951,237
E09000011,Greenwich,Arrived 1951 to 1960,1181
E09000011,Greenwich,Arrived 1961 to 1970,3211
E09000011,Greenwich,Arrived 1971 to 1980,3757
E09000011,Greenwich,Arrived 1981 to 1990,5911
E09000011,Greenwich,Arrived 1991 to 2000,14364
E09000011,Greenwich,Arrived 2001 to 2010,34536
E09000011,Greenwich,Arrived 2011 to 2013,11024
E09000011,Greenwich,Arrived 2014 to 2016,13816
E09000011,Greenwich,Arrived 2017 to 2019,14729
E09000011,Greenwich,Arrived 2020 to 2021,5724
E09000012,Hackney,Born in the UK,156219
E09000012,Hackney,Arrived before 1951,199
E09000012,Hackney,Arrived 1951 to 1960,1984
E09000012,Hackney,Arrived 1961 to 1970,4521
E09000012,Hackney,Arrived 1971 to 1980,4440
E09000012,Hackney,Arrived 1981 to 1990,9242
E09000012,Hackney,Arrived 1991 to 2000,18128
E09000012,Hackney,Arrived 2001 to 2010,23652
E09000012,Hackney,Arrived 2011 to 2013,8760
E09000012,Hackney,Arrived 2014 to 2016,11892
E09000012,Hackney,Arrived 2017 to 2019,14266
E09000012,Hackney,Arrived 2020 to 2021,5842
E09000013,Hammersmith and Fulham,Born in the UK,99818
E09000013,Hammersmith and Fulham,Arrived before 1951,363
E09000013,Hammersmith and Fulham,Arrived 1951 to 1960,1449
E09000013,Hammersmith and Fulham,Arrived 1961 to 1970,3277
E09000013,Hammersmith and Fulham,Arrived 1971 to 1980,3274
E09000013,Hammersmith and Fulham,Arrived 1981 to 1990,5135
E09000013,Hammersmith and Fulham,Arrived 1991 to 2000,12040
