lad22cd,lad22nm,category,count_21
E09000001,City of London,Main language is English (English or Welsh in Wales),6624
E09000001,City of London,Main language is not English (English or Welsh in Wales): Can speak English very well,1305
E09000001,City of London,Main language is not English (English or Welsh in Wales): Can speak English well,386
E09000001,City of London,Main language is not English (English or Welsh in Wales): Cannot speak English well,116
E09000001,City of London,Main language is not English (English or Welsh in Wales): Cannot speak English,19
E09000002,Barking and Dagenham,Main language is English (English or Welsh in Wales),158652
E09000002,Barking and Dagenham,Main language is not English (English or Welsh in Wales): Can speak English very well,19341
E09000002,Barking and Dagenham,Main language is not English (English or Welsh in Wales): Can speak English well,20302
E09000002,Barking and Dagenham,Main language is not English (English or Welsh in Wales): Cannot speak English well,9296
E09000002,Barking and Dagenham,Main language is not English (English or Welsh in Wales): Cannot speak English,1309
E09000003,Barnet,Main language is English (English or Welsh in Wales),289057
E09000003,Barnet,Main language is not English (English or Welsh in Wales): Can speak English very well,38886
E09000003,Barnet,Main language is not English (English or Welsh in Wales): Can speak English well,31657
E09000003,Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English well,13502
E09000003,Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English,2000
E09000004,Bexley,Main language is English (English or Welsh in Wales),214970
E09000004,Bexley,Main language is not English (English or Welsh in Wales): Can speak English very well,11147
E09000004,Bexley,Main language is not English (English or Welsh in Wales): Can speak English well,7639
E09000004,Bexley,Main language is not English (English or Welsh in Wales): Cannot speak English well,3324
E09000004,Bexley,Main language is not English (English or Welsh in Wales): Cannot speak English,557
E09000005,Brent,Main language is English (English or Welsh in Wales),217371
E09000005,Brent,Main language is not English (English or Welsh in Wales): Can speak English very well,43039
E09000005,Brent,Main language is not English (English or Welsh in Wales): Can speak English well,42680
E09000005,Brent,Main language is not English (English or Welsh in Wales): Cannot speak English well,20618
E09000005,Brent,Main language is not English (English or Welsh in Wales): Cannot speak English,4063
E09000006,Bromley,Main language is English (English or Welsh in Wales),292904
E09000006,Bromley,Main language is not English (English or Welsh in Wales): Can speak English very well,14952
E09000006,Bromley,Main language is not English (English or Welsh in Wales): Can speak English well,7604
E09000006,Bromley,Main language is not English (English or Welsh in Wales): Cannot speak English well,2707
E09000006,Bromley,Main language is not English (English or Welsh in Wales): Cannot speak English,442
E09000007,Camden,Main language is English (English or Welsh in Wales),160655
E09000007,Camden,Main language is not English (English or Welsh in Wales): Can speak English very well,25430
E09000007,Camden,Main language is not English (English or Welsh in Wales): Can speak English well,11891
E09000007,Camden,Main language is not English (English or Welsh in Wales): Cannot speak English well,5198
E09000007,Camden,Main language is not English (English or Welsh in Wales): Cannot speak English,860
E09000008,Croydon,Main language is English (English or Welsh in Wales),315336
E09000008,Croydon,Main language is not English (English or Welsh in Wales): Can speak English very well,27514
E09000008,Croydon,Main language is not English (English or Welsh in Wales): Can speak English well,21728
E09000008,Croydon,Main language is not English (English or Welsh in Wales): Cannot speak English well,9490
