lad22cd,lad22nm,category,count_21
E09000001,City of London,"Asian, Asian British or Asian Welsh: Bangladeshi",287
E09000001,City of London,"Asian, Asian British or Asian Welsh: Chinese",545
E09000001,City of London,"Asian, Asian British or Asian Welsh: Indian",321
E09000001,City of London,"Asian, Asian British or Asian Welsh: Pakistani",33
E09000001,City of London,"Asian, Asian British or Asian Welsh: Other Asian",259
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: African",153
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",54
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: Other Black",25
E09000001,City of London,Mixed or Multiple ethnic groups: White and Asian,179
E09000001,City of London,Mixed or Multiple ethnic groups: White and Black African,49
E09000001,City of London,Mixed or Multiple ethnic groups: White and Black Caribbean,53
E09000001,City of London,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,189
E09000001,City of London,"White: English, Welsh, Scottish, Northern Irish or British",3649
E09000001,City of London,White: Irish,185
E09000001,City of London,White: Gypsy or Irish Traveller,0
E09000001,City of London,White: Roma,59
E09000001,City of London,White: Other White,2062
E09000001,City of London,Other ethnic group: Arab,114
E09000001,City of London,Other ethnic group: Any other ethnic group,368
E09000002,Barking and Dagenham,"Asian, Asian British or Asian Welsh: Bangladeshi",22393
E09000002,Barking and Dagenham,"Asian, Asian British or Asian Welsh: Chinese",1385
E09000002,Barking and Dagenham,"Asian, Asian British or Asian Welsh: Indian",11503
E09000002,Barking and Dagenham,"Asian, Asian British or Asian Welsh: Pakistani",15799
E09000002,Barking and Dagenham,"Asian, Asian British or Asian Welsh: Other Asian",5503
E09000002,Barking and Dagenham,"Black, Black British, Black Welsh, Caribbean or African: African",35101
E09000002,Barking and Dagenham,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5824
E09000002,Barking and Dagenham,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5882
E09000002,Barking and Dagenham,Mixed or Multiple ethnic groups: White and Asian,1550
E09000002,Barking and Dagenham,Mixed or Multiple ethnic groups: White and Black African,2376
E09000002,Barking and Dagenham,Mixed or Multiple ethnic groups: White and Black Caribbean,2974
E09000002,Barking and Dagenham,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2420
E09000002,Barking and Dagenham,"White: English, Welsh, Scottish, Northern Irish or British",67550
E09000002,Barking and Dagenham,White: Irish,1185
E09000002,Barking and Dagenham,White: Gypsy or Irish Traveller,184
E09000002,Barking and Dagenham,White: Roma,858
E09000002,Barking and Dagenham,White: Other White,28498
E09000002,Barking and Dagenham,Other ethnic group: Arab,1489
E09000002,Barking and Dagenham,Other ethnic group: Any other ethnic group,6397
E09000003,Barnet,"Asian, Asian British or Asian Welsh: Bangladeshi",2873
E09000003,Barnet,"Asian, Asian British or Asian Welsh: Chinese",9434
E09000003,Barnet,"Asian, Asian British or Asian Welsh: Indian",30389
E09000003,Barnet,"Asian, Asian British or Asian Welsh: Pakistani",6687
E09000003,Barnet,"Asian, Asian British or Asian Welsh: Other Asian",25589
E09000003,Barnet,"Black, Black British, Black Welsh, Caribbean or African: African",22670
E09000003,Barnet,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4951
E09000003,Barnet,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3030
E09000003,Barnet,Mixed or Multiple ethnic groups: White and Asian,6032
E09000003,Barnet,Mixed or Multiple ethnic groups: White and Black African,3747
E09000003,Barnet,Mixed or Multiple ethnic groups: White and Black Caribbean,3505
E09000003,Barnet,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7605
E09000003,Barnet,"White: English, Welsh, Scottish, Northern Irish or British",140777
E09000003,Barnet,White: Irish,7644
E09000003,Barnet,White: Gypsy or Irish Traveller,179
E09000003,Barnet,White: Roma,1554
E09000003,Barnet,White: Other White,74608
E09000003,Barnet,Other ethnic group: Arab,7383
E09000003,Barnet,Other ethnic group: Any other ethnic group,30687
E09000004,Bexley,"Asian, Asian British or Asian Welsh: Bangladeshi",1790
E09000004,Bexley,"Asian, Asian British or Asian Welsh: Chinese",3990
E09000004,Bexley,"Asian, Asian British or Asian Welsh: Indian",10925
E09000004,Bexley,"Asian, Asian British or Asian Welsh: Pakistani",1383
E09000004,Bexley,"Asian, Asian British or Asian Welsh: Other Asian",6346
E09000004,Bexley,"Black, Black British, Black Welsh, Caribbean or African: African",23262
E09000004,Bexley,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3230
E09000004,Bexley,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3583
E09000004,Bexley,Mixed or Multiple ethnic groups: White and Asian,2179
E09000004,Bexley,Mixed or Multiple ethnic groups: White and Black African,1726
E09000004,Bexley,Mixed or Multiple ethnic groups: White and Black Caribbean,2489
E09000004,Bexley,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2346
E09000004,Bexley,"White: English, Welsh, Scottish, Northern Irish or British",158842
E09000004,Bexley,White: Irish,2528
E09000004,Bexley,White: Gypsy or Irish Traveller,620
E09000004,Bexley,White: Roma,302
E09000004,Bexley,White: Other White,14872
E09000004,Bexley,Other ethnic group: Arab,527
E09000004,Bexley,Other ethnic group: Any other ethnic group,5535
E09000005,Brent,"Asian, Asian British or Asian Welsh: Bangladeshi",2186
E09000005,Brent,"Asian, Asian British or Asian Welsh: Chinese",3393
E09000005,Brent,"Asian, Asian British or Asian Welsh: Indian",66157
E09000005,Brent,"Asian, Asian British or Asian Welsh: Pakistani",15217
E09000005,Brent,"Asian, Asian British or Asian Welsh: Other Asian",24562
E09000005,Brent,"Black, Black British, Black Welsh, Caribbean or African: African",31070
E09000005,Brent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",21258
E09000005,Brent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7167
E09000005,Brent,Mixed or Multiple ethnic groups: White and Asian,3607
E09000005,Brent,Mixed or Multiple ethnic groups: White and Black African,3184
E09000005,Brent,Mixed or Multiple ethnic groups: White and Black Caribbean,3775
E09000005,Brent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6683
E09000005,Brent,"White: English, Welsh, Scottish, Northern Irish or British",51611
E09000005,Brent,White: Irish,9314
E09000005,Brent,White: Gypsy or Irish Traveller,237
E09000005,Brent,White: Roma,2520
E09000005,Brent,White: Other White,54019
E09000005,Brent,Other ethnic group: Arab,17924
E09000005,Brent,Other ethnic group: Any other ethnic group,15937
E09000006,Bromley,"Asian, Asian British or Asian Welsh: Bangladeshi",1748
E09000006,Bromley,"Asian, Asian British or Asian Welsh: Chinese",5075
E09000006,Bromley,"Asian, Asian British or Asian Welsh: Indian",12326
E09000006,Bromley,"Asian, Asian British or Asian Welsh: Pakistani",1784
E09000006,Bromley,"Asian, Asian British or Asian Welsh: Other Asian",6374
E09000006,Bromley,"Black, Black British, Black Welsh, Caribbean or African: African",13193
E09000006,Bromley,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8169
E09000006,Bromley,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3787
E09000006,Bromley,Mixed or Multiple ethnic groups: White and Asian,4747
