lad22cd,lad22nm,category,count_21
E09000001,City of London,"All adults in household have English in England, or English or Welsh in Wales as a main language",3670
E09000001,City of London,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",387
E09000001,City of London,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",42
E09000001,City of London,"No people in household have English in England, or English or Welsh in Wales as a main language",815
E09000002,Barking and Dagenham,"All adults in household have English in England, or English or Welsh in Wales as a main language",51548
E09000002,Barking and Dagenham,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",8753
E09000002,Barking and Dagenham,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4270
E09000002,Barking and Dagenham,"No people in household have English in England, or English or Welsh in Wales as a main language",9333
E09000003,Barnet,"All adults in household have English in England, or English or Welsh in Wales as a main language",104866
E09000003,Barnet,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",16899
E09000003,Barnet,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5515
E09000003,Barnet,"No people in household have English in England, or English or Welsh in Wales as a main language",21637
E09000004,Bexley,"All adults in household have English in England, or English or Welsh in Wales as a main language",84248
E09000004,Bexley,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",4635
E09000004,Bexley,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",1912
E09000004,Bexley,"No people in household have English in England, or English or Welsh in Wales as a main language",4505
E09000005,Brent,"All adults in household have English in England, or English or Welsh in Wales as a main language",69400
E09000005,Brent,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",19431
E09000005,Brent,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5800
E09000005,Brent,"No people in household have English in England, or English or Welsh in Wales as a main language",23981
E09000006,Bromley,"All adults in household have English in England, or English or Welsh in Wales as a main language",121530
