lad22cd,lad22nm,category,count_21
E09000001,City of London,English (English or Welsh in Wales),6624
E09000001,City of London,Welsh or Cymraeg (in England only),0
E09000001,City of London,Other UK language: Gaelic (Irish),1
E09000001,City of London,Other UK language: Gaelic (Scottish),0
E09000001,City of London,Other UK language: Manx Gaelic,0
E09000001,City of London,Other UK language: Gaelic (Not otherwise specified),0
E09000001,City of London,Other UK language: Cornish,0
E09000001,City of London,Other UK language: Scots,1
E09000001,City of London,Other UK language: Ulster Scots,0
E09000001,City of London,Other UK language: Romany English,0
E09000001,City of London,Other UK language: Irish Traveller Cant,1
E09000001,City of London,French,169
E09000001,City of London,Portuguese,90
E09000001,City of London,Spanish,243
E09000001,City of London,Other European language (EU): Italian,168
E09000001,City of London,Other European language (EU): German,102
E09000001,City of London,Other European language (EU): Polish,86
E09000001,City of London,Other European language (EU): Slovak,13
E09000001,City of London,Other European language (EU): Czech,9
E09000001,City of London,Other European language (EU): Romanian,26
E09000001,City of London,Other European language (EU): Lithuanian,15
E09000001,City of London,Other European language (EU): Latvian,2
E09000001,City of London,Other European language (EU): Hungarian,11
E09000001,City of London,Other European language (EU): Bulgarian,14
E09000001,City of London,Other European language (EU): Greek,93
E09000001,City of London,Other European language (EU): Dutch,31
E09000001,City of London,Other European language (EU): Swedish,22
E09000001,City of London,Other European language (EU): Danish,11
E09000001,City of London,Other European language (EU): Finnish,11
E09000001,City of London,Other European language (EU): Estonian,4
E09000001,City of London,Other European language (EU): Slovenian,1
E09000001,City of London,Other European language (EU): Maltese,0
E09000001,City of London,Other European language (EU): Any other European language (EU),16
E09000001,City of London,Other European language (non EU): Albanian,17
E09000001,City of London,Other European language (non EU): Ukrainian,8
E09000001,City of London,Other European language (non EU): Any other Eastern European language (non EU),1
E09000001,City of London,Other European language (non EU): Northern European language (non EU),9
E09000001,City of London,"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin",14
E09000001,City of London,Other European language (non-national): Any Romani language,0
E09000001,City of London,Other European language (non-national): Yiddish,0
E09000001,City of London,Russian,69
E09000001,City of London,Turkish,28
E09000001,City of London,Arabic,58
E09000001,City of London,West or Central Asian language: Hebrew,5
E09000001,City of London,West or Central Asian language: Kurdish,1
E09000001,City of London,West or Central Asian language: Persian or Farsi,11
E09000001,City of London,West or Central Asian language: Pashto,0
E09000001,City of London,West or Central Asian language: Any other West or Central Asian language,5
E09000001,City of London,South Asian language: Urdu,3
E09000001,City of London,South Asian language: Hindi,11
E09000001,City of London,South Asian language: Panjabi,1
E09000001,City of London,South Asian language: Pakistani Pahari (with Mirpuri and Potwari),0
E09000001,City of London,South Asian language: Bengali (with Sylheti and Chatgaya),89
E09000001,City of London,South Asian language: Gujarati,7
E09000001,City of London,South Asian language: Marathi,4
E09000001,City of London,South Asian language: Telugu,3
E09000001,City of London,South Asian language: Tamil,2
E09000001,City of London,South Asian language: Malayalam,0
E09000001,City of London,South Asian language: Sinhala,0
E09000001,City of London,South Asian language: Nepalese,0
E09000001,City of London,South Asian language: Any other South Asian language,1
E09000001,City of London,East Asian language: Mandarin Chinese,42
E09000001,City of London,East Asian language: Cantonese Chinese,30
E09000001,City of London,East Asian language: All other Chinese,148
E09000001,City of London,East Asian language: Japanese,50
E09000001,City of London,East Asian language: Korean,14
E09000001,City of London,East Asian language: Vietnamese,7
E09000001,City of London,East Asian language: Thai,4
E09000001,City of London,East Asian language: Malay,5
E09000001,City of London,East Asian language: Tagalog or Filipino,13
E09000001,City of London,East Asian language: Any other East Asian language,2
E09000001,City of London,Oceanic or Australian language,0
E09000001,City of London,North or South American language,0
E09000001,City of London,Caribbean Creole: English-based Caribbean Creole,0
E09000001,City of London,Caribbean Creole: Any other Caribbean Creole,0
E09000001,City of London,African language: Amharic,1
E09000001,City of London,African language: Tigrinya,2
E09000001,City of London,African language: Somali,3
E09000001,City of London,African language: Krio,0
E09000001,City of London,African language: Akan,2
E09000001,City of London,African language: Yoruba,0
E09000001,City of London,African language: Igbo,2
E09000001,City of London,African language: Swahili or Kiswahili,5
E09000001,City of London,African language: Luganda,0
E09000001,City of London,African language: Lingala,0
E09000001,City of London,African language: Shona,0
E09000001,City of London,African language: Afrikaans,4
E09000001,City of London,African language: Any other Nigerian language,2
E09000001,City of London,African language: Any other West African language,0
E09000001,City of London,African language: Any other African language,2
E09000001,City of London,Sign language: British Sign Language,0
E09000001,City of London,Sign language: Any other sign language,0
E09000001,City of London,Sign language: Any sign communication system,0
E09000001,City of London,Other language,1
E09000002,Barking and Dagenham,English (English or Welsh in Wales),158652
E09000002,Barking and Dagenham,Welsh or Cymraeg (in England only),1
E09000002,Barking and Dagenham,Other UK language: Gaelic (Irish),0
E09000002,Barking and Dagenham,Other UK language: Gaelic (Scottish),0
E09000002,Barking and Dagenham,Other UK language: Manx Gaelic,0
E09000002,Barking and Dagenham,Other UK language: Gaelic (Not otherwise specified),0
E09000002,Barking and Dagenham,Other UK language: Cornish,1
E09000002,Barking and Dagenham,Other UK language: Scots,0
E09000002,Barking and Dagenham,Other UK language: Ulster Scots,0
E09000002,Barking and Dagenham,Other UK language: Romany English,33
E09000002,Barking and Dagenham,Other UK language: Irish Traveller Cant,0
E09000002,Barking and Dagenham,French,831
E09000002,Barking and Dagenham,Portuguese,1953
E09000002,Barking and Dagenham,Spanish,734
E09000002,Barking and Dagenham,Other European language (EU): Italian,734
E09000002,Barking and Dagenham,Other European language (EU): German,104
E09000002,Barking and Dagenham,Other European language (EU): Polish,1750
E09000002,Barking and Dagenham,Other European language (EU): Slovak,76
E09000002,Barking and Dagenham,Other European language (EU): Czech,48
E09000002,Barking and Dagenham,Other European language (EU): Romanian,9988
E09000002,Barking and Dagenham,Other European language (EU): Lithuanian,4427
E09000002,Barking and Dagenham,Other European language (EU): Latvian,119
E09000002,Barking and Dagenham,Other European language (EU): Hungarian,324
E09000002,Barking and Dagenham,Other European language (EU): Bulgarian,2343
E09000002,Barking and Dagenham,Other European language (EU): Greek,204
E09000002,Barking and Dagenham,Other European language (EU): Dutch,51
E09000002,Barking and Dagenham,Other European language (EU): Swedish,8
E09000002,Barking and Dagenham,Other European language (EU): Danish,13
E09000002,Barking and Dagenham,Other European language (EU): Finnish,11
E09000002,Barking and Dagenham,Other European language (EU): Estonian,8
E09000002,Barking and Dagenham,Other European language (EU): Slovenian,2
E09000002,Barking and Dagenham,Other European language (EU): Maltese,13
E09000002,Barking and Dagenham,Other European language (EU): Any other European language (EU),18
E09000002,Barking and Dagenham,Other European language (non EU): Albanian,1518
E09000002,Barking and Dagenham,Other European language (non EU): Ukrainian,326
E09000002,Barking and Dagenham,Other European language (non EU): Any other Eastern European language (non EU),2
E09000002,Barking and Dagenham,Other European language (non EU): Northern European language (non EU),6
E09000002,Barking and Dagenham,"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin",78
