lad22cd,lad22nm,category,count_21
E09000001,City of London,One-person household,2506
E09000001,City of London,Multi-person household: No people stated their religion,105
E09000001,City of London,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),810
E09000001,City of London,Multi-person household: No religion (household may include people who did not state their religion),900
E09000001,City of London,Multi-person household: Same religion and no religion (household may include people who did not state their religion),512
E09000001,City of London,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),82
E09000002,Barking and Dagenham,One-person household,17503
E09000002,Barking and Dagenham,Multi-person household: No people stated their religion,1445
E09000002,Barking and Dagenham,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),38053
E09000002,Barking and Dagenham,Multi-person household: No religion (household may include people who did not state their religion),8702
E09000002,Barking and Dagenham,Multi-person household: Same religion and no religion (household may include people who did not state their religion),6385
E09000002,Barking and Dagenham,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),1812
E09000003,Barnet,One-person household,41658
E09000003,Barnet,Multi-person household: No people stated their religion,4619
E09000003,Barnet,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),64802
E09000003,Barnet,Multi-person household: No religion (household may include people who did not state their religion),16439
E09000003,Barnet,Multi-person household: Same religion and no religion (household may include people who did not state their religion),15907
E09000003,Barnet,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),5492
E09000004,Bexley,One-person household,24753
E09000004,Bexley,Multi-person household: No people stated their religion,1920
E09000004,Bexley,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),35358
E09000004,Bexley,Multi-person household: No religion (household may include people who did not state their religion),17958
E09000004,Bexley,Multi-person household: Same religion and no religion (household may include people who did not state their religion),13718
E09000004,Bexley,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),1592
E09000005,Brent,One-person household,31985
E09000005,Brent,Multi-person household: No people stated their religion,2821
E09000005,Brent,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),60382
E09000005,Brent,Multi-person household: No religion (household may include people who did not state their religion),9010
E09000005,Brent,Multi-person household: Same religion and no religion (household may include people who did not state their religion),10332
E09000005,Brent,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),4081
E09000006,Bromley,One-person household,38668
E09000006,Bromley,Multi-person household: No people stated their religion,2843
E09000006,Bromley,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),43901
E09000006,Bromley,Multi-person household: No religion (household may include people who did not state their religion),28106
E09000006,Bromley,Multi-person household: Same religion and no religion (household may include people who did not state their religion),20169
E09000006,Bromley,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2140
E09000007,Camden,One-person household,35929
E09000007,Camden,Multi-person household: No people stated their religion,2476
E09000007,Camden,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),24172
E09000007,Camden,Multi-person household: No religion (household may include people who did not state their religion),16197
E09000007,Camden,Multi-person household: Same religion and no religion (household may include people who did not state their religion),11405
E09000007,Camden,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2578
E09000008,Croydon,One-person household,43091
E09000008,Croydon,Multi-person household: No people stated their religion,3739
E09000008,Croydon,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),62020
