lad22cd,lad22nm,category,count_21
E09000001,City of London,No religion,3763
E09000001,City of London,Christian,2976
E09000001,City of London,Buddhist,95
E09000001,City of London,Hindu,203
E09000001,City of London,Jewish,177
E09000001,City of London,Muslim,540
E09000001,City of London,Sikh,6
E09000001,City of London,Other religion,55
E09000001,City of London,Not answered,767
E09000002,Barking and Dagenham,No religion,41191
E09000002,Barking and Dagenham,Christian,99342
E09000002,Barking and Dagenham,Buddhist,821
E09000002,Barking and Dagenham,Hindu,6596
E09000002,Barking and Dagenham,Jewish,272
E09000002,Barking and Dagenham,Muslim,53389
E09000002,Barking and Dagenham,Sikh,4284
E09000002,Barking and Dagenham,Other religion,981
E09000002,Barking and Dagenham,Not answered,11991
E09000003,Barnet,No religion,78684
E09000003,Barnet,Christian,142321
E09000003,Barnet,Buddhist,4158
E09000003,Barnet,Hindu,22105
E09000003,Barnet,Jewish,56616
E09000003,Barnet,Muslim,47688
E09000003,Barnet,Sikh,1524
E09000003,Barnet,Other religion,5192
E09000003,Barnet,Not answered,31056
E09000004,Bexley,No religion,82816
E09000004,Bexley,Christian,123908
E09000004,Bexley,Buddhist,2048
E09000004,Bexley,Hindu,7516
E09000004,Bexley,Jewish,217
E09000004,Bexley,Muslim,9721
E09000004,Bexley,Sikh,5272
E09000004,Bexley,Other religion,988
E09000004,Bexley,Not answered,13986
E09000005,Brent,No religion,46153
E09000005,Brent,Christian,131914
E09000005,Brent,Buddhist,3117
E09000005,Brent,Hindu,52876
E09000005,Brent,Jewish,3723
E09000005,Brent,Muslim,72574
E09000005,Brent,Sikh,1530
E09000005,Brent,Other religion,4424
E09000005,Brent,Not answered,23506
E09000006,Bromley,No religion,122943
E09000006,Bromley,Christian,159452
E09000006,Bromley,Buddhist,2100
E09000006,Bromley,Hindu,9644
E09000006,Bromley,Jewish,966
E09000006,Bromley,Muslim,10876
E09000006,Bromley,Sikh,1068
E09000006,Bromley,Other religion,1704
E09000006,Bromley,Not answered,21238
E09000007,Camden,No religion,72776
E09000007,Camden,Christian,65980
E09000007,Camden,Buddhist,2410
E09000007,Camden,Hindu,3991
E09000007,Camden,Jewish,10079
E09000007,Camden,Muslim,33830
E09000007,Camden,Sikh,487
E09000007,Camden,Other religion,1842
E09000007,Camden,Not answered,18743
E09000008,Croydon,No religion,101119
E09000008,Croydon,Christian,190880
E09000008,Croydon,Buddhist,2371
E09000008,Croydon,Hindu,23145
E09000008,Croydon,Jewish,609
E09000008,Croydon,Muslim,40717
E09000008,Croydon,Sikh,1654
E09000008,Croydon,Other religion,3189
E09000008,Croydon,Not answered,27035
E09000009,Ealing,No religion,70233
E09000009,Ealing,Christian,138937
E09000009,Ealing,Buddhist,4003
E09000009,Ealing,Hindu,28236
E09000009,Ealing,Jewish,1041
E09000009,Ealing,Muslim,68907
E09000009,Ealing,Sikh,28491
E09000009,Ealing,Other religion,2733
E09000009,Ealing,Not answered,24533
E09000010,Enfield,No religion,65241
E09000010,Enfield,Christian,153015
E09000010,Enfield,Buddhist,1716
E09000010,Enfield,Hindu,10231
E09000010,Enfield,Jewish,3713
E09000010,Enfield,Muslim,61477
E09000010,Enfield,Sikh,1199
E09000010,Enfield,Other religion,10351
E09000010,Enfield,Not answered,23041
E09000011,Greenwich,No religion,94208
E09000011,Greenwich,Christian,129112
