lad22cd,lad22nm,category,count_21
E09000001,City of London,Christian,2976
E09000001,City of London,Buddhist,95
E09000001,City of London,Hindu,203
E09000001,City of London,Jewish,177
E09000001,City of London,Muslim,540
E09000001,City of London,Sikh,6
E09000001,City of London,Other religion: Alevi,0
E09000001,City of London,No religion: Agnostic,17
E09000001,City of London,No religion: Atheist,5
E09000001,City of London,No religion: Free Thinker,0
E09000001,City of London,No religion: Humanist,1
E09000001,City of London,No religion: No religion,3739
E09000001,City of London,No religion: Realist,0
E09000001,City of London,Other religion: Animism,0
E09000001,City of London,Other religion: Baha'i,0
E09000001,City of London,Other religion: Believe in God,0
E09000001,City of London,Other religion: Brahma Kumari,0
E09000001,City of London,Other religion: Chinese Religion,0
E09000001,City of London,Other religion: Church of All Religion,0
E09000001,City of London,Other religion: Confucianist,0
E09000001,City of London,Other religion: Deist,0
E09000001,City of London,Other religion: Druid,1
E09000001,City of London,Other religion: Druze,0
E09000001,City of London,Other religion: Eckankar,0
E09000001,City of London,Other religion: Heathen,0
E09000001,City of London,Other religion: Jain,4
E09000001,City of London,Other religion: Mixed Religion,1
E09000001,City of London,Other religion: Mysticism,0
E09000001,City of London,Other religion: Native American Church,0
E09000001,City of London,Other religion: New Age,0
E09000001,City of London,Other religion: Occult,0
E09000001,City of London,Other religion: Other religions,21
E09000001,City of London,Other religion: Own Belief System,0
E09000001,City of London,Other religion: Pagan,5
E09000001,City of London,Other religion: Pantheism,0
E09000001,City of London,Other religion: Rastafarian,1
E09000001,City of London,Other religion: Ravidassia,0
E09000001,City of London,Other religion: Reconstructionist,0
E09000001,City of London,Other religion: Satanism,2
E09000001,City of London,Other religion: Scientology,0
E09000001,City of London,Other religion: Shamanism,1
E09000001,City of London,Other religion: Shintoism,0
E09000001,City of London,Other religion: Spiritual,9
E09000001,City of London,Other religion: Spiritualist,4
E09000001,City of London,Other religion: Taoist,0
E09000001,City of London,Other religion: Theism,0
E09000001,City of London,Other religion: Thelemite,0
E09000001,City of London,Other religion: Traditional African Religion,2
E09000001,City of London,Other religion: Unification Church,0
E09000001,City of London,Other religion: Universalist,0
E09000001,City of London,Other religion: Valmiki,0
E09000001,City of London,Other religion: Vodun,0
E09000001,City of London,Other religion: Wicca,1
E09000001,City of London,Other religion: Witchcraft,0
E09000001,City of London,Other religion: Yazidi,0
E09000001,City of London,Other religion: Zoroastrian,1
E09000001,City of London,Religion not stated,767
E09000002,Barking and Dagenham,Christian,99342
E09000002,Barking and Dagenham,Buddhist,821
E09000002,Barking and Dagenham,Hindu,6596
E09000002,Barking and Dagenham,Jewish,272
E09000002,Barking and Dagenham,Muslim,53389
E09000002,Barking and Dagenham,Sikh,4284
E09000002,Barking and Dagenham,Other religion: Alevi,80
E09000002,Barking and Dagenham,No religion: Agnostic,58
E09000002,Barking and Dagenham,No religion: Atheist,21
E09000002,Barking and Dagenham,No religion: Free Thinker,0
E09000002,Barking and Dagenham,No religion: Humanist,8
E09000002,Barking and Dagenham,No religion: No religion,41105
E09000002,Barking and Dagenham,No religion: Realist,0
E09000002,Barking and Dagenham,Other religion: Animism,1
E09000002,Barking and Dagenham,Other religion: Baha'i,9
E09000002,Barking and Dagenham,Other religion: Believe in God,24
E09000002,Barking and Dagenham,Other religion: Brahma Kumari,0
E09000002,Barking and Dagenham,Other religion: Chinese Religion,0
E09000002,Barking and Dagenham,Other religion: Church of All Religion,0
E09000002,Barking and Dagenham,Other religion: Confucianist,0
E09000002,Barking and Dagenham,Other religion: Deist,3
E09000002,Barking and Dagenham,Other religion: Druid,5
E09000002,Barking and Dagenham,Other religion: Druze,11
E09000002,Barking and Dagenham,Other religion: Eckankar,1
E09000002,Barking and Dagenham,Other religion: Heathen,7
E09000002,Barking and Dagenham,Other religion: Jain,31
E09000002,Barking and Dagenham,Other religion: Mixed Religion,154
E09000002,Barking and Dagenham,Other religion: Mysticism,0
E09000002,Barking and Dagenham,Other religion: Native American Church,1
E09000002,Barking and Dagenham,Other religion: New Age,2
E09000002,Barking and Dagenham,Other religion: Occult,0
E09000002,Barking and Dagenham,Other religion: Other religions,262
E09000002,Barking and Dagenham,Other religion: Own Belief System,1
E09000002,Barking and Dagenham,Other religion: Pagan,109
E09000002,Barking and Dagenham,Other religion: Pantheism,0
E09000002,Barking and Dagenham,Other religion: Rastafarian,45
