lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Aged 1 year,57,52,5
E09000001,City of London,Aged 10 years,50,39,11
E09000001,City of London,Aged 11 years,42,28,14
E09000001,City of London,Aged 12 years,34,35,-1
E09000001,City of London,Aged 13 years,22,41,-19
E09000001,City of London,Aged 14 years,26,26,0
E09000001,City of London,Aged 15 years,32,33,-1
E09000001,City of London,Aged 16 years,36,31,5
E09000001,City of London,Aged 17 years,37,41,-4
E09000001,City of London,Aged 18 years,60,51,9
E09000001,City of London,Aged 19 years,52,41,11
E09000001,City of London,Aged 2 years,34,41,-7
E09000001,City of London,Aged 20 years,113,70,43
E09000001,City of London,Aged 21 years,131,60,71
E09000001,City of London,Aged 22 years,193,123,70
E09000001,City of London,Aged 23 years,307,143,164
E09000001,City of London,Aged 24 years,221,149,72
E09000001,City of London,Aged 25 years,245,170,75
E09000001,City of London,Aged 26 years,262,189,73
E09000001,City of London,Aged 27 years,240,193,47
E09000001,City of London,Aged 28 years,227,220,7
E09000001,City of London,Aged 29 years,239,184,55
E09000001,City of London,Aged 3 years,39,34,5
E09000001,City of London,Aged 30 years,243,182,61
E09000001,City of London,Aged 31 years,201,182,19
E09000001,City of London,Aged 32 years,211,153,58
E09000001,City of London,Aged 33 years,186,153,33
E09000001,City of London,Aged 34 years,159,150,9
E09000001,City of London,Aged 35 years,174,122,52
E09000001,City of London,Aged 36 years,152,136,16
E09000001,City of London,Aged 37 years,129,104,25
E09000001,City of London,Aged 38 years,134,118,16
E09000001,City of London,Aged 39 years,135,118,17
E09000001,City of London,Aged 4 years,40,39,1
E09000001,City of London,Aged 40 years,113,141,-28
E09000001,City of London,Aged 41 years,108,101,7
E09000001,City of London,Aged 42 years,103,136,-33
E09000001,City of London,Aged 43 years,117,151,-34
E09000001,City of London,Aged 44 years,106,98,8
E09000001,City of London,Aged 45 years,108,126,-18
E09000001,City of London,Aged 46 years,96,133,-37
E09000001,City of London,Aged 47 years,107,115,-8
E09000001,City of London,Aged 48 years,100,116,-16
E09000001,City of London,Aged 49 years,133,110,23
E09000001,City of London,Aged 5 years,27,32,-5
E09000001,City of London,Aged 50 years,123,97,26
E09000001,City of London,Aged 51 years,138,88,50
E09000001,City of London,Aged 52 years,142,94,48
E09000001,City of London,Aged 53 years,141,108,33
E09000001,City of London,Aged 54 years,96,84,12
E09000001,City of London,Aged 55 years,113,90,23
E09000001,City of London,Aged 56 years,98,106,-8
E09000001,City of London,Aged 57 years,111,93,18
E09000001,City of London,Aged 58 years,98,93,5
E09000001,City of London,Aged 59 years,98,94,4
E09000001,City of London,Aged 6 years,28,47,-19
E09000001,City of London,Aged 60 years,103,88,15
E09000001,City of London,Aged 61 years,95,92,3
E09000001,City of London,Aged 62 years,84,87,-3
E09000001,City of London,Aged 63 years,100,115,-15
E09000001,City of London,Aged 64 years,77,81,-4
E09000001,City of London,Aged 65 years,87,73,14
E09000001,City of London,Aged 66 years,80,74,6
E09000001,City of London,Aged 67 years,67,60,7
E09000001,City of London,Aged 68 years,75,73,2
E09000001,City of London,Aged 69 years,82,49,33
E09000001,City of London,Aged 7 years,42,38,4
E09000001,City of London,Aged 70 years,58,54,4
E09000001,City of London,Aged 71 years,62,54,8
E09000001,City of London,Aged 72 years,61,62,-1
E09000001,City of London,Aged 73 years,76,46,30
E09000001,City of London,Aged 74 years,63,42,21
E09000001,City of London,Aged 75 years,49,50,-1
E09000001,City of London,Aged 76 years,51,34,17
E09000001,City of London,Aged 77 years,46,26,20
E09000001,City of London,Aged 78 years,34,38,-4
E09000001,City of London,Aged 79 years,28,37,-9
E09000001,City of London,Aged 8 years,30,40,-10
E09000001,City of London,Aged 80 years,45,28,17
E09000001,City of London,Aged 81 years,42,25,17
E09000001,City of London,Aged 82 years,28,31,-3
E09000001,City of London,Aged 83 years,27,38,-11
E09000001,City of London,Aged 84 years,22,24,-2
