lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Arrived in the UK: Aged 0 to 4 years,183,193,-10
E09000001,City of London,Arrived in the UK: Aged 10 to 14 years,144,111,33
E09000001,City of London,Arrived in the UK: Aged 15 years,54,36,18
E09000001,City of London,Arrived in the UK: Aged 16 to 17 years,214,144,70
E09000001,City of London,Arrived in the UK: Aged 18 to 19 years,375,187,188
E09000001,City of London,Arrived in the UK: Aged 20 to 24 years,1021,630,391
E09000001,City of London,Arrived in the UK: Aged 25 to 29 years,978,636,342
E09000001,City of London,Arrived in the UK: Aged 30 to 44 years,893,540,353
E09000001,City of London,Arrived in the UK: Aged 45 to 59 years,247,104,143
E09000001,City of London,Arrived in the UK: Aged 5 to 7 years,64,59,5
E09000001,City of London,Arrived in the UK: Aged 60 to 64 years,21,12,9
E09000001,City of London,Arrived in the UK: Aged 65 to 74 years,23,12,11
E09000001,City of London,Arrived in the UK: Aged 75 to 84 years,2,2,0
E09000001,City of London,Arrived in the UK: Aged 8 to 9 years,34,34,0
E09000001,City of London,Arrived in the UK: Aged 85 to 89 years,1,3,-2
E09000001,City of London,Arrived in the UK: Aged 90 years and over,1,2,-1
E09000001,City of London,Born in the UK,4327,4670,-343
E09000002,Barking and Dagenham,Arrived in the UK: Aged 0 to 4 years,8173,6005,2168
E09000002,Barking and Dagenham,Arrived in the UK: Aged 10 to 14 years,6217,4155,2062
E09000002,Barking and Dagenham,Arrived in the UK: Aged 15 years,1363,1025,338
E09000002,Barking and Dagenham,Arrived in the UK: Aged 16 to 17 years,3347,2399,948
E09000002,Barking and Dagenham,Arrived in the UK: Aged 18 to 19 years,5238,3460,1778
E09000002,Barking and Dagenham,Arrived in the UK: Aged 20 to 24 years,16947,11811,5136
E09000002,Barking and Dagenham,Arrived in the UK: Aged 25 to 29 years,15902,10570,5332
E09000002,Barking and Dagenham,Arrived in the UK: Aged 30 to 44 years,21119,11474,9645
E09000002,Barking and Dagenham,Arrived in the UK: Aged 45 to 59 years,4388,1793,2595
E09000002,Barking and Dagenham,Arrived in the UK: Aged 5 to 7 years,4012,2595,1417
E09000002,Barking and Dagenham,Arrived in the UK: Aged 60 to 64 years,492,184,308
E09000002,Barking and Dagenham,Arrived in the UK: Aged 65 to 74 years,468,265,203
E09000002,Barking and Dagenham,Arrived in the UK: Aged 75 to 84 years,112,43,69
E09000002,Barking and Dagenham,Arrived in the UK: Aged 8 to 9 years,2591,1660,931
E09000002,Barking and Dagenham,Arrived in the UK: Aged 85 to 89 years,13,2,11
E09000002,Barking and Dagenham,Arrived in the UK: Aged 90 years and over,4,6,-2
E09000002,Barking and Dagenham,Born in the UK,128483,128464,19
E09000003,Barnet,Arrived in the UK: Aged 0 to 4 years,14741,12708,2033
E09000003,Barnet,Arrived in the UK: Aged 10 to 14 years,9956,9136,820
E09000003,Barnet,Arrived in the UK: Aged 15 years,2519,2277,242
E09000003,Barnet,Arrived in the UK: Aged 16 to 17 years,6969,6497,472
E09000003,Barnet,Arrived in the UK: Aged 18 to 19 years,10911,9656,1255
E09000003,Barnet,Arrived in the UK: Aged 20 to 24 years,32861,29916,2945
E09000003,Barnet,Arrived in the UK: Aged 25 to 29 years,30557,24749,5808
E09000003,Barnet,Arrived in the UK: Aged 30 to 44 years,38384,27236,11148
E09000003,Barnet,Arrived in the UK: Aged 45 to 59 years,8346,5415,2931
E09000003,Barnet,Arrived in the UK: Aged 5 to 7 years,6278,5626,652
E09000003,Barnet,Arrived in the UK: Aged 60 to 64 years,1069,694,375
E09000003,Barnet,Arrived in the UK: Aged 65 to 74 years,1154,746,408
E09000003,Barnet,Arrived in the UK: Aged 75 to 84 years,312,236,76
E09000003,Barnet,Arrived in the UK: Aged 8 to 9 years,3926,3564,362
E09000003,Barnet,Arrived in the UK: Aged 85 to 89 years,50,28,22
E09000003,Barnet,Arrived in the UK: Aged 90 years and over,18,12,6
E09000003,Barnet,Born in the UK,221293,217890,3403
E09000004,Bexley,Arrived in the UK: Aged 0 to 4 years,4939,3724,1215
E09000004,Bexley,Arrived in the UK: Aged 10 to 14 years,3341,2464,877
E09000004,Bexley,Arrived in the UK: Aged 15 years,818,588,230
E09000004,Bexley,Arrived in the UK: Aged 16 to 17 years,2097,1553,544
E09000004,Bexley,Arrived in the UK: Aged 18 to 19 years,3069,2235,834
E09000004,Bexley,Arrived in the UK: Aged 20 to 24 years,10136,6526,3610
E09000004,Bexley,Arrived in the UK: Aged 25 to 29 years,9719,5449,4270
E09000004,Bexley,Arrived in the UK: Aged 30 to 44 years,11349,6126,5223
E09000004,Bexley,Arrived in the UK: Aged 45 to 59 years,2157,1027,1130
E09000004,Bexley,Arrived in the UK: Aged 5 to 7 years,2036,1594,442
E09000004,Bexley,Arrived in the UK: Aged 60 to 64 years,294,147,147
E09000004,Bexley,Arrived in the UK: Aged 65 to 74 years,313,147,166
E09000004,Bexley,Arrived in the UK: Aged 75 to 84 years,98,38,60
E09000004,Bexley,Arrived in the UK: Aged 8 to 9 years,1381,1006,375
E09000004,Bexley,Arrived in the UK: Aged 85 to 89 years,9,6,3
E09000004,Bexley,Arrived in the UK: Aged 90 years and over,2,0,2
E09000004,Bexley,Born in the UK,194714,199367,-4653
E09000005,Brent,Arrived in the UK: Aged 0 to 4 years,13627,12890,737
E09000005,Brent,Arrived in the UK: Aged 10 to 14 years,12751,12355,396
E09000005,Brent,Arrived in the UK: Aged 15 years,3060,3195,-135
E09000005,Brent,Arrived in the UK: Aged 16 to 17 years,8223,8061,162
E09000005,Brent,Arrived in the UK: Aged 18 to 19 years,13013,12111,902
E09000005,Brent,Arrived in the UK: Aged 20 to 24 years,37353,37766,-413
