lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Africa: Africa not otherwise specified,0,0,0
E09000001,City of London,Africa: Central and Western Africa: Ghana,24,20,4
E09000001,City of London,Africa: Central and Western Africa: Nigeria,21,12,9
E09000001,City of London,Africa: Central and Western Africa: Other Central and Western Africa,17,27,-10
E09000001,City of London,Africa: North Africa,83,49,34
E09000001,City of London,Africa: South and Eastern Africa: Kenya,28,19,9
E09000001,City of London,Africa: South and Eastern Africa: Other South and Eastern Africa,43,48,-5
E09000001,City of London,Africa: South and Eastern Africa: Somalia,16,2,14
E09000001,City of London,Africa: South and Eastern Africa: South Africa,68,73,-5
E09000001,City of London,Africa: South and Eastern Africa: Zimbabwe,12,13,-1
E09000001,City of London,Antarctica and Oceania: Australasia: Australia,155,137,18
E09000001,City of London,Antarctica and Oceania: Australasia: Other Australasia,50,80,-30
E09000001,City of London,Antarctica and Oceania: Other Oceania and Antarctica,0,2,-2
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,24,15,9
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,177,67,110
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,131,46,85
E09000001,City of London,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,50,15,35
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: France,207,147,60
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,153,121,32
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,100,111,-11
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,250,100,150
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,293,194,99
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),53,17,36
E09000001,City of London,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),129,73,56
E09000001,City of London,Europe: Other Europe: Rest of Europe: Other Europe,309,162,147
E09000001,City of London,Europe: Other Europe: Rest of Europe: Turkey,47,19,28
E09000001,City of London,Europe: United Kingdom: England,4044,4285,-241
E09000001,City of London,Europe: United Kingdom: Great Britain not otherwise specified,0,0,0
E09000001,City of London,Europe: United Kingdom: Northern Ireland,38,68,-30
E09000001,City of London,Europe: United Kingdom: Scotland,159,204,-45
E09000001,City of London,Europe: United Kingdom: United Kingdom not otherwise specified,0,2,-2
E09000001,City of London,Europe: United Kingdom: Wales,86,111,-25
E09000001,City of London,Middle East and Asia: Central Asia,14,12,2
E09000001,City of London,Middle East and Asia: Eastern Asia: China,282,96,186
E09000001,City of London,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),105,75,30
E09000001,City of London,Middle East and Asia: Eastern Asia: Other Eastern Asia,117,80,37
E09000001,City of London,Middle East and Asia: Middle East: Iran,41,14,27
E09000001,City of London,Middle East and Asia: Middle East: Other Middle East,85,45,40
E09000001,City of London,Middle East and Asia: South-East Asia: Other South-East Asia,148,129,19
E09000001,City of London,Middle East and Asia: South-East Asia: Philippines,49,36,13
E09000001,City of London,Middle East and Asia: Southern Asia: Bangladesh,117,98,19
E09000001,City of London,Middle East and Asia: Southern Asia: India,175,105,70
E09000001,City of London,Middle East and Asia: Southern Asia: Other Southern Asia,6,10,-4
E09000001,City of London,Middle East and Asia: Southern Asia: Pakistan,16,6,10
E09000001,City of London,Middle East and Asia: Southern Asia: Sri Lanka,11,7,4
E09000001,City of London,Other,0,0,0
E09000001,City of London,The Americas and the Caribbean: Central America: All Central American countries,28,8,20
E09000001,City of London,The Americas and the Caribbean: North America: Other North America,81,66,15
E09000001,City of London,The Americas and the Caribbean: North America: United States,266,205,61
E09000001,City of London,The Americas and the Caribbean: South America: All South American countries,238,114,124
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Jamaica,7,6,1
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Other Caribbean,26,24,2
E09000002,Barking and Dagenham,Africa: Africa not otherwise specified,33,119,-86
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Ghana,3320,2673,647
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Nigeria,9434,8695,739
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Other Central and Western Africa,3489,2702,787
E09000002,Barking and Dagenham,Africa: North Africa,943,674,269
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Kenya,892,897,-5
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Other South and Eastern Africa,2266,2016,250
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Somalia,1311,1188,123
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: South Africa,323,383,-60
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Zimbabwe,765,899,-134
E09000002,Barking and Dagenham,Antarctica and Oceania: Australasia: Australia,50,97,-47
E09000002,Barking and Dagenham,Antarctica and Oceania: Australasia: Other Australasia,55,86,-31
E09000002,Barking and Dagenham,Antarctica and Oceania: Other Oceania and Antarctica,35,18,17
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,5494,4028,1466
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,4270,2014,2256
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,2321,1811,510
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,9416,1265,8151
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: France,471,477,-6
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,520,522,-2
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,1072,1643,-571
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,2073,355,1718
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,1124,723,401
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),1253,962,291
E09000002,Barking and Dagenham,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),635,215,420
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Other Europe,6222,2642,3580
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Turkey,612,573,39
E09000002,Barking and Dagenham,Europe: United Kingdom: England,127430,126792,638
E09000002,Barking and Dagenham,Europe: United Kingdom: Great Britain not otherwise specified,3,13,-10
E09000002,Barking and Dagenham,Europe: United Kingdom: Northern Ireland,183,323,-140
E09000002,Barking and Dagenham,Europe: United Kingdom: Scotland,522,793,-271
E09000002,Barking and Dagenham,Europe: United Kingdom: United Kingdom not otherwise specified,28,58,-30
E09000002,Barking and Dagenham,Europe: United Kingdom: Wales,317,485,-168
E09000002,Barking and Dagenham,Middle East and Asia: Central Asia,72,59,13
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: China,551,424,127
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),265,229,36
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Other Eastern Asia,89,81,8
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Iran,215,183,32
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Other Middle East,640,460,180
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Other South-East Asia,671,643,28
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Philippines,1122,1003,119
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Bangladesh,9290,3560,5730
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: India,6677,4364,2313
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Other Southern Asia,801,439,362
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Pakistan,7275,4337,2938
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Sri Lanka,952,980,-28
E09000002,Barking and Dagenham,Other,0,0,0
E09000002,Barking and Dagenham,The Americas and the Caribbean: Central America: All Central American countries,36,26,10
E09000002,Barking and Dagenham,The Americas and the Caribbean: North America: Other North America,87,100,-13
E09000002,Barking and Dagenham,The Americas and the Caribbean: North America: United States,311,313,-2
E09000002,Barking and Dagenham,The Americas and the Caribbean: South America: All South American countries,881,544,337
E09000002,Barking and Dagenham,The Americas and the Caribbean: The Caribbean: Jamaica,970,964,6
E09000002,Barking and Dagenham,The Americas and the Caribbean: The Caribbean: Other Caribbean,1083,1061,22
E09000003,Barnet,Africa: Africa not otherwise specified,59,242,-183
E09000003,Barnet,Africa: Central and Western Africa: Ghana,2013,1885,128
E09000003,Barnet,Africa: Central and Western Africa: Nigeria,3846,3765,81
E09000003,Barnet,Africa: Central and Western Africa: Other Central and Western Africa,2446,2215,231
E09000003,Barnet,Africa: North Africa,3370,2549,821
E09000003,Barnet,Africa: South and Eastern Africa: Kenya,4384,4930,-546
E09000003,Barnet,Africa: South and Eastern Africa: Other South and Eastern Africa,4731,4890,-159
E09000003,Barnet,Africa: South and Eastern Africa: Somalia,2276,2345,-69
E09000003,Barnet,Africa: South and Eastern Africa: South Africa,3232,3518,-286
E09000003,Barnet,Africa: South and Eastern Africa: Zimbabwe,729,784,-55
E09000003,Barnet,Antarctica and Oceania: Australasia: Australia,1079,1207,-128
E09000003,Barnet,Antarctica and Oceania: Australasia: Other Australasia,418,533,-115
E09000003,Barnet,Antarctica and Oceania: Other Oceania and Antarctica,82,76,6
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,1148,1076,72
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,10793,9776,1017
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,7551,8614,-1063
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,13430,4475,8955
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: France,2109,1862,247
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,1887,2304,-417
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,4681,6020,-1339
