lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Household is deprived in four dimensions,8,19,-11
E09000001,City of London,Household is deprived in one dimension,1547,1772,-225
E09000001,City of London,Household is deprived in three dimensions,75,122,-47
E09000001,City of London,Household is deprived in two dimensions,347,499,-152
E09000001,City of London,Household is not deprived in any dimension,2937,1973,964
E09000002,Barking and Dagenham,Household is deprived in four dimensions,287,701,-414
E09000002,Barking and Dagenham,Household is deprived in one dimension,27396,24953,2443
E09000002,Barking and Dagenham,Household is deprived in three dimensions,4348,6027,-1679
E09000002,Barking and Dagenham,Household is deprived in two dimensions,14090,18382,-4292
E09000002,Barking and Dagenham,Household is not deprived in any dimension,27781,19618,8163
E09000003,Barnet,Household is deprived in four dimensions,668,948,-280
E09000003,Barnet,Household is deprived in one dimension,49136,45413,3723
E09000003,Barnet,Household is deprived in three dimensions,5415,6669,-1254
E09000003,Barnet,Household is deprived in two dimensions,19877,24122,-4245
E09000003,Barnet,Household is not deprived in any dimension,73825,58764,15061
E09000004,Bexley,Household is deprived in four dimensions,206,323,-117
E09000004,Bexley,Household is deprived in one dimension,32625,31937,688
E09000004,Bexley,Household is deprived in three dimensions,2998,4048,-1050
E09000004,Bexley,Household is deprived in two dimensions,13232,17839,-4607
E09000004,Bexley,Household is not deprived in any dimension,46238,38457,7781
E09000005,Brent,Household is deprived in four dimensions,591,1382,-791
E09000005,Brent,Household is deprived in one dimension,43300,40538,2762
E09000005,Brent,Household is deprived in three dimensions,6328,8741,-2413
E09000005,Brent,Household is deprived in two dimensions,21017,25540,-4523
E09000005,Brent,Household is not deprived in any dimension,47376,34085,13291
E09000006,Bromley,Household is deprived in four dimensions,228,522,-294
E09000006,Bromley,Household is deprived in one dimension,42434,41818,616
E09000006,Bromley,Household is deprived in three dimensions,3586,4931,-1345
E09000006,Bromley,Household is deprived in two dimensions,15360,20141,-4781
E09000006,Bromley,Household is not deprived in any dimension,74219,63450,10769
E09000007,Camden,Household is deprived in four dimensions,603,1436,-833
E09000007,Camden,Household is deprived in one dimension,29601,34569,-4968
E09000007,Camden,Household is deprived in three dimensions,4938,7085,-2147
E09000007,Camden,Household is deprived in two dimensions,13535,17469,-3934
E09000007,Camden,Household is not deprived in any dimension,44082,36975,7107
E09000008,Croydon,Household is deprived in four dimensions,552,1054,-502
E09000008,Croydon,Household is deprived in one dimension,51772,50369,1403
E09000008,Croydon,Household is deprived in three dimensions,5581,7457,-1876
E09000008,Croydon,Household is deprived in two dimensions,21635,26731,-5096
E09000008,Croydon,Household is not deprived in any dimension,73406,59399,14007
E09000009,Ealing,Household is deprived in four dimensions,518,1214,-696
E09000009,Ealing,Household is deprived in one dimension,45652,42757,2895
E09000009,Ealing,Household is deprived in three dimensions,5686,8212,-2526
E09000009,Ealing,Household is deprived in two dimensions,20275,25522,-5247
E09000009,Ealing,Household is not deprived in any dimension,61527,46377,15150
E09000010,Enfield,Household is deprived in four dimensions,566,1193,-627
E09000010,Enfield,Household is deprived in one dimension,43120,41080,2040
E09000010,Enfield,Household is deprived in three dimensions,6012,8172,-2160
E09000010,Enfield,Household is deprived in two dimensions,20209,26163,-5954
E09000010,Enfield,Household is not deprived in any dimension,51013,43308,7705
E09000011,Greenwich,Household is deprived in four dimensions,428,917,-489
E09000011,Greenwich,Household is deprived in one dimension,36619,34480,2139
E09000011,Greenwich,Household is deprived in three dimensions,5382,7239,-1857
E09000011,Greenwich,Household is deprived in two dimensions,16601,20809,-4208
E09000011,Greenwich,Household is not deprived in any dimension,55022,37600,17422
E09000012,Hackney,Household is deprived in four dimensions,605,1560,-955
E09000012,Hackney,Household is deprived in one dimension,34486,36314,-1828
E09000012,Hackney,Household is deprived in three dimensions,6333,9308,-2975
E09000012,Hackney,Household is deprived in two dimensions,16971,22514,-5543
E09000012,Hackney,Household is not deprived in any dimension,47686,31994,15692
E09000013,Hammersmith and Fulham,Household is deprived in four dimensions,379,839,-460
E09000013,Hammersmith and Fulham,Household is deprived in one dimension,25243,27335,-2092
E09000013,Hammersmith and Fulham,Household is deprived in three dimensions,3319,5240,-1921
E09000013,Hammersmith and Fulham,Household is deprived in two dimensions,10555,13749,-3194
E09000013,Hammersmith and Fulham,Household is not deprived in any dimension,41748,33427,8321
E09000014,Haringey,Household is deprived in four dimensions,607,1402,-795
E09000014,Haringey,Household is deprived in one dimension,35580,34280,1300
E09000014,Haringey,Household is deprived in three dimensions,5755,7968,-2213
E09000014,Haringey,Household is deprived in two dimensions,17629,21949,-4320
E09000014,Haringey,Household is not deprived in any dimension,45524,36356,9168
E09000015,Harrow,Household is deprived in four dimensions,233,450,-217
E09000015,Harrow,Household is deprived in one dimension,30953,28917,2036
E09000015,Harrow,Household is deprived in three dimensions,2763,3892,-1129
E09000015,Harrow,Household is deprived in two dimensions,12012,15813,-3801
E09000015,Harrow,Household is not deprived in any dimension,43681,35196,8485
E09000016,Havering,Household is deprived in four dimensions,212,401,-189
