lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",388,244,144
E09000001,City of London,Living in an opposite-sex couple: Cohabiting,1256,750,506
E09000001,City of London,Living in an opposite-sex couple: Married or in a civil partnership,1983,1854,129
E09000001,City of London,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,435,430,5
E09000001,City of London,Not living in a couple: Married or in a registered civil partnership,223,371,-148
E09000001,City of London,Not living in a couple: Single (never married and never registered a same-sex civil partnership),3155,2537,618
E09000001,City of London,Not living in a couple: Widowed or surviving partner from a civil partnership,237,268,-31
E09000001,City of London,"Separated, but still married or in a civil partnership",144,141,3
E09000002,Barking and Dagenham,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",972,1208,-236
E09000002,Barking and Dagenham,Living in an opposite-sex couple: Cohabiting,15572,12507,3065
E09000002,Barking and Dagenham,Living in an opposite-sex couple: Married or in a civil partnership,61733,52964,8769
E09000002,Barking and Dagenham,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,10636,9669,967
E09000002,Barking and Dagenham,Not living in a couple: Married or in a registered civil partnership,5733,3845,1888
E09000002,Barking and Dagenham,Not living in a couple: Single (never married and never registered a same-sex civil partnership),55421,43773,11648
E09000002,Barking and Dagenham,Not living in a couple: Widowed or surviving partner from a civil partnership,6629,8058,-1429
E09000002,Barking and Dagenham,"Separated, but still married or in a civil partnership",4176,4591,-415
E09000003,Barnet,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",2470,2797,-327
E09000003,Barnet,Living in an opposite-sex couple: Cohabiting,26403,20864,5539
E09000003,Barnet,Living in an opposite-sex couple: Married or in a civil partnership,134688,123382,11306
E09000003,Barnet,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,18900,16526,2374
E09000003,Barnet,Not living in a couple: Married or in a registered civil partnership,8622,7445,1177
E09000003,Barnet,Not living in a couple: Single (never married and never registered a same-sex civil partnership),94801,86175,8626
E09000003,Barnet,Not living in a couple: Widowed or surviving partner from a civil partnership,13859,14698,-839
E09000003,Barnet,"Separated, but still married or in a civil partnership",6295,6519,-224
E09000004,Bexley,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",1344,1160,184
E09000004,Bexley,Living in an opposite-sex couple: Cohabiting,22958,18570,4388
E09000004,Bexley,Living in an opposite-sex couple: Married or in a civil partnership,85744,84974,770
E09000004,Bexley,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,11994,11060,934
E09000004,Bexley,Not living in a couple: Married or in a registered civil partnership,3052,2575,477
E09000004,Bexley,Not living in a couple: Single (never married and never registered a same-sex civil partnership),54417,48503,5914
E09000004,Bexley,Not living in a couple: Widowed or surviving partner from a civil partnership,11008,12200,-1192
E09000004,Bexley,"Separated, but still married or in a civil partnership",4107,4296,-189
E09000005,Brent,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",2194,2498,-304
E09000005,Brent,Living in an opposite-sex couple: Cohabiting,21111,16590,4521
E09000005,Brent,Living in an opposite-sex couple: Married or in a civil partnership,102031,93627,8404
E09000005,Brent,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,15354,13270,2084
E09000005,Brent,Not living in a couple: Married or in a registered civil partnership,14288,12381,1907
E09000005,Brent,Not living in a couple: Single (never married and never registered a same-sex civil partnership),98569,89684,8885
E09000005,Brent,Not living in a couple: Widowed or surviving partner from a civil partnership,11445,11057,388
E09000005,Brent,"Separated, but still married or in a civil partnership",6164,7049,-885
E09000006,Bromley,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",2898,2051,847
E09000006,Bromley,Living in an opposite-sex couple: Cohabiting,32014,24858,7156
E09000006,Bromley,Living in an opposite-sex couple: Married or in a civil partnership,121294,116518,4776
E09000006,Bromley,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,15856,15419,437
E09000006,Bromley,Not living in a couple: Married or in a registered civil partnership,3162,2949,213
E09000006,Bromley,Not living in a couple: Single (never married and never registered a same-sex civil partnership),69364,63660,5704
E09000006,Bromley,Not living in a couple: Widowed or surviving partner from a civil partnership,14017,15587,-1570
E09000006,Bromley,"Separated, but still married or in a civil partnership",4844,5495,-651
E09000007,Camden,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",3564,4346,-782
E09000007,Camden,Living in an opposite-sex couple: Cohabiting,21034,19821,1213
E09000007,Camden,Living in an opposite-sex couple: Married or in a civil partnership,49303,48595,708
E09000007,Camden,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,11082,11766,-684
E09000007,Camden,Not living in a couple: Married or in a registered civil partnership,4005,5099,-1094
E09000007,Camden,Not living in a couple: Single (never married and never registered a same-sex civil partnership),72187,75991,-3804
E09000007,Camden,Not living in a couple: Widowed or surviving partner from a civil partnership,5757,7060,-1303
E09000007,Camden,"Separated, but still married or in a civil partnership",3602,4371,-769
E09000008,Croydon,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",3176,3146,30
E09000008,Croydon,Living in an opposite-sex couple: Cohabiting,33706,25399,8307
E09000008,Croydon,Living in an opposite-sex couple: Married or in a civil partnership,118812,113606,5206
E09000008,Croydon,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,20135,18401,1734
E09000008,Croydon,Not living in a couple: Married or in a registered civil partnership,7216,7033,183
E09000008,Croydon,Not living in a couple: Single (never married and never registered a same-sex civil partnership),103113,91494,11619
E09000008,Croydon,Not living in a couple: Widowed or surviving partner from a civil partnership,13477,14234,-757
E09000008,Croydon,"Separated, but still married or in a civil partnership",7480,7890,-410
E09000009,Ealing,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",3002,2972,30
E09000009,Ealing,Living in an opposite-sex couple: Cohabiting,26296,21286,5010
E09000009,Ealing,Living in an opposite-sex couple: Married or in a civil partnership,117083,106450,10633
E09000009,Ealing,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,17177,15160,2017
E09000009,Ealing,Not living in a couple: Married or in a registered civil partnership,12072,11030,1042
E09000009,Ealing,Not living in a couple: Single (never married and never registered a same-sex civil partnership),97381,89942,7439
E09000009,Ealing,Not living in a couple: Widowed or surviving partner from a civil partnership,12306,12636,-330
E09000009,Ealing,"Separated, but still married or in a civil partnership",5877,6509,-632
E09000010,Enfield,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",1660,2188,-528
E09000010,Enfield,Living in an opposite-sex couple: Cohabiting,21332,18274,3058
E09000010,Enfield,Living in an opposite-sex couple: Married or in a civil partnership,101542,100282,1260
E09000010,Enfield,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,18053,16028,2025
E09000010,Enfield,Not living in a couple: Married or in a registered civil partnership,6825,5620,1205
E09000010,Enfield,Not living in a couple: Single (never married and never registered a same-sex civil partnership),86668,77277,9391
E09000010,Enfield,Not living in a couple: Widowed or surviving partner from a civil partnership,12222,12738,-516
E09000010,Enfield,"Separated, but still married or in a civil partnership",7006,7660,-654
E09000011,Greenwich,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",3710,2574,1136
E09000011,Greenwich,Living in an opposite-sex couple: Cohabiting,30034,21391,8643
E09000011,Greenwich,Living in an opposite-sex couple: Married or in a civil partnership,78228,70276,7952
E09000011,Greenwich,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,14951,13125,1826
E09000011,Greenwich,Not living in a couple: Married or in a registered civil partnership,6188,5914,274
E09000011,Greenwich,Not living in a couple: Single (never married and never registered a same-sex civil partnership),77771,65887,11884
E09000011,Greenwich,Not living in a couple: Widowed or surviving partner from a civil partnership,8444,9450,-1006
E09000011,Greenwich,"Separated, but still married or in a civil partnership",6017,5993,24
E09000012,Hackney,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",4419,3901,518
E09000012,Hackney,Living in an opposite-sex couple: Cohabiting,29430,22733,6697
E09000012,Hackney,Living in an opposite-sex couple: Married or in a civil partnership,49743,46238,3505
E09000012,Hackney,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,12346,12355,-9
E09000012,Hackney,Not living in a couple: Married or in a registered civil partnership,4513,5305,-792
E09000012,Hackney,Not living in a couple: Single (never married and never registered a same-sex civil partnership),95506,89336,6170
E09000012,Hackney,Not living in a couple: Widowed or surviving partner from a civil partnership,5684,6422,-738
E09000012,Hackney,"Separated, but still married or in a civil partnership",5501,7038,-1537
E09000013,Hammersmith and Fulham,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting",2476,2606,-130
E09000013,Hammersmith and Fulham,Living in an opposite-sex couple: Cohabiting,19560,17046,2514
E09000013,Hammersmith and Fulham,Living in an opposite-sex couple: Married or in a civil partnership,42621,40917,1704
E09000013,Hammersmith and Fulham,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9606,9517,89
