lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Africa: Central and Western Africa: Ghana,3,7,-4
E09000001,City of London,Africa: Central and Western Africa: Nigeria,7,7,0
E09000001,City of London,Africa: Central and Western Africa: Other Central and Western Africa,4,8,-4
E09000001,City of London,Africa: North Africa,28,14,14
E09000001,City of London,Africa: South and Eastern Africa: Kenya,3,2,1
E09000001,City of London,Africa: South and Eastern Africa: Other South and Eastern Africa,6,2,4
E09000001,City of London,Africa: South and Eastern Africa: Somalia,0,0,0
E09000001,City of London,Africa: South and Eastern Africa: South Africa,15,15,0
E09000001,City of London,Africa: South and Eastern Africa: Zimbabwe,3,4,-1
E09000001,City of London,Antarctica and Oceania: Australasia: Australia,114,117,-3
E09000001,City of London,Antarctica and Oceania: Australasia: New Zealand,23,42,-19
E09000001,City of London,Antarctica and Oceania: Other Antarctica and Oceania,0,0,0
E09000001,City of London,British Overseas Territories,1,1,0
E09000001,City of London,Europe: Ireland,129,126,3
E09000001,City of London,Europe: Other Europe: EU Member countries: France,201,154,47
E09000001,City of London,Europe: Other Europe: EU Member countries: Germany,128,103,25
E09000001,City of London,Europe: Other Europe: EU Member countries: Italy,257,110,147
E09000001,City of London,Europe: Other Europe: EU Member countries: Lithuania,23,17,6
E09000001,City of London,Europe: Other Europe: EU Member countries: Other EU countries,438,242,196
E09000001,City of London,Europe: Other Europe: EU Member countries: Poland,112,42,70
E09000001,City of London,Europe: Other Europe: EU Member countries: Portugal,71,27,44
E09000001,City of London,Europe: Other Europe: EU Member countries: Romania,47,12,35
E09000001,City of London,Europe: Other Europe: EU Member countries: Spain,168,76,92
E09000001,City of London,Europe: Other Europe: Rest of Europe: Other Europe,153,79,74
E09000001,City of London,Europe: Other Europe: Rest of Europe: Turkey,28,11,17
E09000001,City of London,Europe: United Kingdom,5465,5347,118
E09000001,City of London,Middle East and Asia: Central Asia,8,10,-2
E09000001,City of London,Middle East and Asia: Eastern Asia: China,232,66,166
E09000001,City of London,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),21,5,16
E09000001,City of London,Middle East and Asia: Eastern Asia: Japan,60,48,12
E09000001,City of London,Middle East and Asia: Eastern Asia: Other Eastern Asia,29,18,11
E09000001,City of London,Middle East and Asia: Middle East: Iran,11,0,11
E09000001,City of London,Middle East and Asia: Middle East: Iraq,1,0,1
E09000001,City of London,Middle East and Asia: Middle East: Other Middle East,28,13,15
E09000001,City of London,Middle East and Asia: South-East Asia: Malaysia,36,31,5
E09000001,City of London,Middle East and Asia: South-East Asia: Other South-East Asia,14,19,-5
E09000001,City of London,Middle East and Asia: South-East Asia: Philippines,9,5,4
E09000001,City of London,Middle East and Asia: South-East Asia: Singapore,46,31,15
E09000001,City of London,Middle East and Asia: Southern Asia: Afghanistan,0,0,0
E09000001,City of London,Middle East and Asia: Southern Asia: Bangladesh,23,15,8
E09000001,City of London,Middle East and Asia: Southern Asia: India,113,61,52
E09000001,City of London,Middle East and Asia: Southern Asia: Other Southern Asia,3,1,2
E09000001,City of London,Middle East and Asia: Southern Asia: Pakistan,5,2,3
E09000001,City of London,Middle East and Asia: Southern Asia: Sri Lanka,0,3,-3
E09000001,City of London,No passport held,196,237,-41
E09000001,City of London,The Americas and the Caribbean: Central America,11,2,9
E09000001,City of London,The Americas and the Caribbean: North America: Canada,59,49,10
E09000001,City of London,The Americas and the Caribbean: North America: United States,171,148,23
E09000001,City of London,The Americas and the Caribbean: South America,74,38,36
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Jamaica,0,1,-1
E09000001,City of London,The Americas and the Caribbean: The Caribbean: Other Caribbean,5,7,-2
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Ghana,1202,1545,-343
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Nigeria,3510,5454,-1944
E09000002,Barking and Dagenham,Africa: Central and Western Africa: Other Central and Western Africa,577,662,-85
E09000002,Barking and Dagenham,Africa: North Africa,249,151,98
E09000002,Barking and Dagenham,Africa: South and Eastern Africa: Kenya,170,278,-108
