lad22cd,lad22nm,category,count_21,count_11,change
E09000001,City of London,Lives in a communal establishment,210,188,22
E09000001,City of London,Lives in a household,8373,7187,1186
E09000002,Barking and Dagenham,Lives in a communal establishment,920,1010,-90
E09000002,Barking and Dagenham,Lives in a household,217949,184901,33048
E09000003,Barnet,Lives in a communal establishment,3394,3790,-396
E09000003,Barnet,Lives in a household,385950,352597,33353
E09000004,Bexley,Lives in a communal establishment,1206,1096,110
E09000004,Bexley,Lives in a household,245266,230902,14364
E09000005,Brent,Lives in a communal establishment,4010,2321,1689
E09000005,Brent,Lives in a household,335806,308895,26911
E09000006,Bromley,Lives in a communal establishment,1790,2369,-579
E09000006,Bromley,Lives in a household,328202,307023,21179
E09000007,Camden,Lives in a communal establishment,7434,7895,-461
E09000007,Camden,Lives in a household,202702,212443,-9741
E09000008,Croydon,Lives in a communal establishment,3342,3148,194
E09000008,Croydon,Lives in a household,387377,360230,27147
E09000009,Ealing,Lives in a communal establishment,4208,3724,484
E09000009,Ealing,Lives in a household,362907,334725,28182
E09000010,Enfield,Lives in a communal establishment,1878,2400,-522
E09000010,Enfield,Lives in a household,328106,310066,18040
E09000011,Greenwich,Lives in a communal establishment,4418,4566,-148
E09000011,Greenwich,Lives in a household,284650,249991,34659
E09000012,Hackney,Lives in a communal establishment,2513,1837,676
E09000012,Hackney,Lives in a household,256633,244433,12200
E09000013,Hammersmith and Fulham,Lives in a communal establishment,2568,1841,727
E09000013,Hammersmith and Fulham,Lives in a household,180589,180652,-63
E09000014,Haringey,Lives in a communal establishment,2168,1690,478
E09000014,Haringey,Lives in a household,262070,253236,8834
E09000015,Harrow,Lives in a communal establishment,2196,2086,110
E09000015,Harrow,Lives in a household,259007,236970,22037
E09000016,Havering,Lives in a communal establishment,1497,1562,-65
E09000016,Havering,Lives in a household,260555,235671,24884
E09000017,Hillingdon,Lives in a communal establishment,5489,6709,-1220
E09000017,Hillingdon,Lives in a household,300420,267227,33193
E09000018,Hounslow,Lives in a communal establishment,1800,1998,-198
E09000018,Hounslow,Lives in a household,286381,251961,34420
E09000019,Islington,Lives in a communal establishment,5257,5991,-734
E09000019,Islington,Lives in a household,211332,200134,11198
E09000020,Kensington and Chelsea,Lives in a communal establishment,2308,2711,-403
E09000020,Kensington and Chelsea,Lives in a household,141067,155939,-14872
E09000021,Kingston upon Thames,Lives in a communal establishment,3374,3702,-328
E09000021,Kingston upon Thames,Lives in a household,164689,156358,8331
E09000022,Lambeth,Lives in a communal establishment,4390,2987,1403
E09000022,Lambeth,Lives in a household,313264,300101,13163
E09000023,Lewisham,Lives in a communal establishment,2677,2544,133
E09000023,Lewisham,Lives in a household,297876,273342,24534
E09000024,Merton,Lives in a communal establishment,1071,1477,-406
E09000024,Merton,Lives in a household,214115,198217,15898
E09000025,Newham,Lives in a communal establishment,2626,1976,650
E09000025,Newham,Lives in a household,348410,306009,42401
E09000026,Redbridge,Lives in a communal establishment,1769,1648,121
E09000026,Redbridge,Lives in a household,308491,277323,31168
E09000027,Richmond upon Thames,Lives in a communal establishment,1861,2893,-1032
E09000027,Richmond upon Thames,Lives in a household,193417,184098,9319
E09000028,Southwark,Lives in a communal establishment,5139,5724,-585
E09000028,Southwark,Lives in a household,302498,282560,19938
E09000029,Sutton,Lives in a communal establishment,1214,1451,-237
E09000029,Sutton,Lives in a household,208425,188695,19730
E09000030,Tower Hamlets,Lives in a communal establishment,6627,3753,2874
E09000030,Tower Hamlets,Lives in a household,303679,250343,53336
E09000031,Waltham Forest,Lives in a communal establishment,1738,1634,104
E09000031,Waltham Forest,Lives in a household,276688,256615,20073
E09000032,Wandsworth,Lives in a communal establishment,4508,5347,-839
E09000032,Wandsworth,Lives in a household,322998,301648,21350
E09000033,Westminster,Lives in a communal establishment,4293,6190,-1897
E09000033,Westminster,Lives in a household,199943,213208,-13265
