lad22cd,category,count_21,count_11,change
E09000001,Main language is English (English or Welsh in Wales),6624,5976,648
E09000001,Main language is not English (English or Welsh in Wales): Can speak English very well,1305,830,475
E09000001,Main language is not English (English or Welsh in Wales): Can speak English well,386,305,81
E09000001,Main language is not English (English or Welsh in Wales): Cannot speak English,19,12,7
E09000001,Main language is not English (English or Welsh in Wales): Cannot speak English well,116,89,27
E09000002,Main language is English (English or Welsh in Wales),158652,141962,16690
E09000002,Main language is not English (English or Welsh in Wales): Can speak English very well,19341,13603,5738
E09000002,Main language is not English (English or Welsh in Wales): Can speak English well,20302,12874,7428
E09000002,Main language is not English (English or Welsh in Wales): Cannot speak English,1309,882,427
E09000002,Main language is not English (English or Welsh in Wales): Cannot speak English well,9296,5346,3950
E09000003,Main language is English (English or Welsh in Wales),289057,260753,28304
E09000003,Main language is not English (English or Welsh in Wales): Can speak English very well,38886,34452,4434
E09000003,Main language is not English (English or Welsh in Wales): Can speak English well,31657,31674,-17
E09000003,Main language is not English (English or Welsh in Wales): Cannot speak English,2000,1897,103
E09000003,Main language is not English (English or Welsh in Wales): Cannot speak English well,13502,11655,1847
E09000004,Main language is English (English or Welsh in Wales),214970,209507,5463
E09000004,Main language is not English (English or Welsh in Wales): Can speak English very well,11147,6092,5055
E09000004,Main language is not English (English or Welsh in Wales): Can speak English well,7639,4814,2825
E09000004,Main language is not English (English or Welsh in Wales): Cannot speak English,557,351,206
E09000004,Main language is not English (English or Welsh in Wales): Cannot speak English well,3324,2190,1134
E09000005,Main language is English (English or Welsh in Wales),217371,186900,30471
E09000005,Main language is not English (English or Welsh in Wales): Can speak English very well,43039,42143,896
E09000005,Main language is not English (English or Welsh in Wales): Can speak English well,42680,44643,-1963
E09000005,Main language is not English (English or Welsh in Wales): Cannot speak English,4063,3830,233
E09000005,Main language is not English (English or Welsh in Wales): Cannot speak English well,20618,19864,754
E09000006,Main language is English (English or Welsh in Wales),292904,280077,12827
E09000006,Main language is not English (English or Welsh in Wales): Can speak English very well,14952,9301,5651
E09000006,Main language is not English (English or Welsh in Wales): Can speak English well,7604,5706,1898
E09000006,Main language is not English (English or Welsh in Wales): Cannot speak English,442,284,158
E09000006,Main language is not English (English or Welsh in Wales): Cannot speak English well,2707,1931,776
E09000007,Main language is English (English or Welsh in Wales),160655,162326,-1671
E09000007,Main language is not English (English or Welsh in Wales): Can speak English very well,25430,27177,-1747
E09000007,Main language is not English (English or Welsh in Wales): Can speak English well,11891,15709,-3818
E09000007,Main language is not English (English or Welsh in Wales): Cannot speak English,860,1065,-205
E09000007,Main language is not English (English or Welsh in Wales): Cannot speak English well,5198,5812,-614
E09000008,Main language is English (English or Welsh in Wales),315336,296232,19104
E09000008,Main language is not English (English or Welsh in Wales): Can speak English very well,27514,22279,5235
E09000008,Main language is not English (English or Welsh in Wales): Can speak English well,21728,19297,2431
E09000008,Main language is not English (English or Welsh in Wales): Cannot speak English,1504,1206,298
E09000008,Main language is not English (English or Welsh in Wales): Cannot speak English well,9490,7437,2053
E09000009,Main language is English (English or Welsh in Wales),244855,213470,31385
E09000009,Main language is not English (English or Welsh in Wales): Can speak English very well,45696,42003,3693
E09000009,Main language is not English (English or Welsh in Wales): Can speak English well,40933,44119,-3186
E09000009,Main language is not English (English or Welsh in Wales): Cannot speak English,3440,3549,-109
E09000009,Main language is not English (English or Welsh in Wales): Cannot speak English well,19432,19704,-272
E09000010,Main language is English (English or Welsh in Wales),242839,229660,13179
E09000010,Main language is not English (English or Welsh in Wales): Can speak English very well,25292,24361,931
E09000010,Main language is not English (English or Welsh in Wales): Can speak English well,28460,26543,1917
E09000010,Main language is not English (English or Welsh in Wales): Cannot speak English,3052,2428,624
E09000010,Main language is not English (English or Welsh in Wales): Cannot speak English well,17997,14700,3297
E09000011,Main language is English (English or Welsh in Wales),227031,200919,26112
E09000011,Main language is not English (English or Welsh in Wales): Can speak English very well,24449,18633,5816
E09000011,Main language is not English (English or Welsh in Wales): Can speak English well,16854,15088,1766
E09000011,Main language is not English (English or Welsh in Wales): Cannot speak English,1534,1063,471
E09000011,Main language is not English (English or Welsh in Wales): Cannot speak English well,7724,5972,1752
E09000012,Main language is English (English or Welsh in Wales),199667,177886,21781
E09000012,Main language is not English (English or Welsh in Wales): Can speak English very well,23015,23225,-210
E09000012,Main language is not English (English or Welsh in Wales): Can speak English well,14674,19145,-4471
E09000012,Main language is not English (English or Welsh in Wales): Cannot speak English,1869,2409,-540
E09000012,Main language is not English (English or Welsh in Wales): Cannot speak English well,9972,11666,-1694
E09000013,Main language is English (English or Welsh in Wales),139670,135236,4434
E09000013,Main language is not English (English or Welsh in Wales): Can speak English very well,22711,20945,1766
E09000013,Main language is not English (English or Welsh in Wales): Can speak English well,10975,14185,-3210
E09000013,Main language is not English (English or Welsh in Wales): Cannot speak English,545,613,-68
