lad22cd,category,count_21,count_11,change
E09000001,"Asian, Asian British or Asian Welsh: Bangladeshi",287,232,55
E09000001,"Asian, Asian British or Asian Welsh: Chinese",545,263,282
E09000001,"Asian, Asian British or Asian Welsh: Indian",321,216,105
E09000001,"Asian, Asian British or Asian Welsh: Other Asian",259,213,46
E09000001,"Asian, Asian British or Asian Welsh: Pakistani",33,16,17
E09000001,"Black, Black British, Black Welsh, Caribbean or African: African",153,98,55
E09000001,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",54,46,8
E09000001,"Black, Black British, Black Welsh, Caribbean or African: Other Black",25,49,-24
E09000001,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,189,103,86
E09000001,Mixed or Multiple ethnic groups: White and Asian,179,111,68
E09000001,Mixed or Multiple ethnic groups: White and Black African,49,37,12
E09000001,Mixed or Multiple ethnic groups: White and Black Caribbean,53,38,15
E09000001,Other ethnic group: Any other ethnic group,368,85,283
E09000001,Other ethnic group: Arab,114,69,45
E09000001,"White: English, Welsh, Scottish, Northern Irish or British",3649,4243,-594
E09000001,White: Gypsy or Irish Traveller,0,3,-3
E09000001,White: Irish,185,180,5
E09000001,White: Other White,2121,1373,748
E09000002,"Asian, Asian British or Asian Welsh: Bangladeshi",22393,7701,14692
E09000002,"Asian, Asian British or Asian Welsh: Chinese",1385,1315,70
E09000002,"Asian, Asian British or Asian Welsh: Indian",11503,7436,4067
E09000002,"Asian, Asian British or Asian Welsh: Other Asian",5503,5135,368
E09000002,"Asian, Asian British or Asian Welsh: Pakistani",15799,8007,7792
E09000002,"Black, Black British, Black Welsh, Caribbean or African: African",35101,28685,6416
E09000002,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5824,5227,597
E09000002,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5882,3228,2654
E09000002,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2420,1835,585
E09000002,Mixed or Multiple ethnic groups: White and Asian,1550,1246,304
E09000002,Mixed or Multiple ethnic groups: White and Black African,2376,2128,248
E09000002,Mixed or Multiple ethnic groups: White and Black Caribbean,2974,2669,305
E09000002,Other ethnic group: Any other ethnic group,6397,1940,4457
E09000002,Other ethnic group: Arab,1489,973,516
E09000002,"White: English, Welsh, Scottish, Northern Irish or British",67550,91949,-24399
E09000002,White: Gypsy or Irish Traveller,184,182,2
E09000002,White: Irish,1185,1730,-545
E09000002,White: Other White,29356,14525,14831
E09000003,"Asian, Asian British or Asian Welsh: Bangladeshi",2873,2215,658
E09000003,"Asian, Asian British or Asian Welsh: Chinese",9434,8259,1175
E09000003,"Asian, Asian British or Asian Welsh: Indian",30389,27920,2469
E09000003,"Asian, Asian British or Asian Welsh: Other Asian",25589,22180,3409
E09000003,"Asian, Asian British or Asian Welsh: Pakistani",6687,5344,1343
E09000003,"Black, Black British, Black Welsh, Caribbean or African: African",22670,19392,3278
E09000003,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4951,4468,483
E09000003,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3030,3571,-541
E09000003,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7605,5078,2527
E09000003,Mixed or Multiple ethnic groups: White and Asian,6032,5882,150
E09000003,Mixed or Multiple ethnic groups: White and Black African,3747,3112,635
E09000003,Mixed or Multiple ethnic groups: White and Black Caribbean,3505,3097,408
E09000003,Other ethnic group: Any other ethnic group,30687,12105,18582
E09000003,Other ethnic group: Arab,7383,5210,2173
E09000003,"White: English, Welsh, Scottish, Northern Irish or British",140777,162117,-21340
E09000003,White: Gypsy or Irish Traveller,179,151,28
E09000003,White: Irish,7644,8685,-1041
E09000003,White: Other White,76162,57600,18562
E09000004,"Asian, Asian British or Asian Welsh: Bangladeshi",1790,777,1013
E09000004,"Asian, Asian British or Asian Welsh: Chinese",3990,2514,1476
E09000004,"Asian, Asian British or Asian Welsh: Indian",10925,7047,3878
E09000004,"Asian, Asian British or Asian Welsh: Other Asian",6346,4175,2171
E09000004,"Asian, Asian British or Asian Welsh: Pakistani",1383,730,653
E09000004,"Black, Black British, Black Welsh, Caribbean or African: African",23262,15952,7310
E09000004,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3230,2381,849
E09000004,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3583,1291,2292
E09000004,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2346,1367,979
E09000004,Mixed or Multiple ethnic groups: White and Asian,2179,1369,810
E09000004,Mixed or Multiple ethnic groups: White and Black African,1726,983,743
E09000004,Mixed or Multiple ethnic groups: White and Black Caribbean,2489,1676,813
E09000004,Other ethnic group: Any other ethnic group,5535,1470,4065
E09000004,Other ethnic group: Arab,527,303,224
E09000004,"White: English, Welsh, Scottish, Northern Irish or British",158842,179250,-20408
E09000004,White: Gypsy or Irish Traveller,620,624,-4
E09000004,White: Irish,2528,2596,-68
E09000004,White: Other White,15174,7492,7682
E09000005,"Asian, Asian British or Asian Welsh: Bangladeshi",2186,1749,437
E09000005,"Asian, Asian British or Asian Welsh: Chinese",3393,3250,143
E09000005,"Asian, Asian British or Asian Welsh: Indian",66157,58017,8140
E09000005,"Asian, Asian British or Asian Welsh: Other Asian",24562,28589,-4027
E09000005,"Asian, Asian British or Asian Welsh: Pakistani",15217,14381,836
E09000005,"Black, Black British, Black Welsh, Caribbean or African: African",31070,24391,6679
E09000005,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",21258,23723,-2465
E09000005,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7167,10518,-3351
E09000005,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6683,5022,1661
E09000005,Mixed or Multiple ethnic groups: White and Asian,3607,3642,-35
E09000005,Mixed or Multiple ethnic groups: White and Black African,3184,2820,364
E09000005,Mixed or Multiple ethnic groups: White and Black Caribbean,3775,4291,-516
E09000005,Other ethnic group: Any other ethnic group,15937,6512,9425
E09000005,Other ethnic group: Arab,17924,11430,6494
E09000005,"White: English, Welsh, Scottish, Northern Irish or British",51611,55887,-4276
E09000005,White: Gypsy or Irish Traveller,237,320,-83
E09000005,White: Irish,9314,12320,-3006
E09000005,White: Other White,56539,44353,12186
E09000006,"Asian, Asian British or Asian Welsh: Bangladeshi",1748,1265,483
