lad22cd,category,count_21,count_11,change
E09000001,"All adults in household have English in England, or English or Welsh in Wales as a main language",3670,3546,124
E09000001,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",387,279,108
E09000001,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",42,37,5
E09000001,"No people in household have English in England, or English or Welsh in Wales as a main language",815,523,292
E09000002,"All adults in household have English in England, or English or Welsh in Wales as a main language",51548,54688,-3140
E09000002,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",8753,5404,3349
E09000002,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4270,2474,1796
E09000002,"No people in household have English in England, or English or Welsh in Wales as a main language",9333,7115,2218
E09000003,"All adults in household have English in England, or English or Welsh in Wales as a main language",104866,96461,8405
E09000003,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",16899,16174,725
E09000003,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5515,3758,1757
E09000003,"No people in household have English in England, or English or Welsh in Wales as a main language",21637,19523,2114
E09000004,"All adults in household have English in England, or English or Welsh in Wales as a main language",84248,85608,-1360
E09000004,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",4635,3527,1108
E09000004,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",1912,799,1113
E09000004,"No people in household have English in England, or English or Welsh in Wales as a main language",4505,2670,1835
E09000005,"All adults in household have English in England, or English or Welsh in Wales as a main language",69400,62917,6483
E09000005,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",19431,17926,1505
E09000005,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5800,4692,1108
E09000005,"No people in household have English in England, or English or Welsh in Wales as a main language",23981,24751,-770
E09000006,"All adults in household have English in England, or English or Welsh in Wales as a main language",121530,120811,719
E09000006,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",6448,4970,1478
E09000006,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",2208,1047,1161
E09000006,"No people in household have English in England, or English or Welsh in Wales as a main language",5641,4034,1607
E09000007,"All adults in household have English in England, or English or Welsh in Wales as a main language",67055,69420,-2365
E09000007,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",11335,11680,-345
E09000007,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",1872,2379,-507
E09000007,"No people in household have English in England, or English or Welsh in Wales as a main language",12497,14055,-1558
E09000008,"All adults in household have English in England, or English or Welsh in Wales as a main language",122932,119825,3107
E09000008,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",12189,10705,1484
E09000008,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4453,2996,1457
E09000008,"No people in household have English in England, or English or Welsh in Wales as a main language",13372,11484,1888
E09000009,"All adults in household have English in England, or English or Welsh in Wales as a main language",82290,75471,6819
E09000009,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",19976,18157,1819
E09000009,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",6393,4607,1786
E09000009,"No people in household have English in England, or English or Welsh in Wales as a main language",25000,25847,-847
E09000010,"All adults in household have English in England, or English or Welsh in Wales as a main language",84068,86323,-2255
E09000010,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",15211,12382,2829
E09000010,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5476,4328,1148
E09000010,"No people in household have English in England, or English or Welsh in Wales as a main language",16168,16883,-715
E09000011,"All adults in household have English in England, or English or Welsh in Wales as a main language",88798,81621,7177
E09000011,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",10348,8105,2243
E09000011,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",3327,2238,1089
E09000011,"No people in household have English in England, or English or Welsh in Wales as a main language",11579,9081,2498
E09000012,"All adults in household have English in England, or English or Welsh in Wales as a main language",77358,71613,5745
E09000012,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",13754,12590,1164
E09000012,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",2606,2796,-190
E09000012,"No people in household have English in England, or English or Welsh in Wales as a main language",12361,14691,-2330
E09000013,"All adults in household have English in England, or English or Welsh in Wales as a main language",59132,57861,1271
E09000013,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",9044,9206,-162
E09000013,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",1922,1860,62
E09000013,"No people in household have English in England, or English or Welsh in Wales as a main language",11146,11663,-517
E09000014,"All adults in household have English in England, or English or Welsh in Wales as a main language",70236,66141,4095
E09000014,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",13424,13488,-64
E09000014,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",3560,3478,82
E09000014,"No people in household have English in England, or English or Welsh in Wales as a main language",17872,18848,-976
E09000015,"All adults in household have English in England, or English or Welsh in Wales as a main language",56644,56437,207
E09000015,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",12961,11382,1579
E09000015,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4368,3034,1334
E09000015,"No people in household have English in England, or English or Welsh in Wales as a main language",15669,13415,2254
E09000016,"All adults in household have English in England, or English or Welsh in Wales as a main language",89573,91739,-2166
E09000016,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",4827,2504,2323
E09000016,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",2053,684,1369
E09000016,"No people in household have English in England, or English or Welsh in Wales as a main language",4824,2272,2552
E09000017,"All adults in household have English in England, or English or Welsh in Wales as a main language",80103,78660,1443
E09000017,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",11547,9166,2381
E09000017,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4657,2594,2063
E09000017,"No people in household have English in England, or English or Welsh in Wales as a main language",12921,9794,3127
E09000018,"All adults in household have English in England, or English or Welsh in Wales as a main language",66993,63434,3559
E09000018,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",13859,12236,1623
E09000018,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5070,2966,2104
E09000018,"No people in household have English in England, or English or Welsh in Wales as a main language",17039,16266,773
E09000019,"All adults in household have English in England, or English or Welsh in Wales as a main language",72552,70980,1572
E09000019,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",10722,9071,1651
E09000019,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",2028,2054,-26
E09000019,"No people in household have English in England, or English or Welsh in Wales as a main language",11194,11451,-257
