lad22cd,category,count_21,count_11,change
E09000001,All household members have the same ethnic group,1463,1199,264
E09000001,Any other combination of multiple ethnic identities,220,159,61
E09000001,Ethnic groups differ between generations but not within partnerships,75,94,-19
E09000001,Ethnic groups differ within partnerships,650,461,189
E09000001,One-person household,2506,2472,34
E09000002,All household members have the same ethnic group,43285,38785,4500
E09000002,Any other combination of multiple ethnic identities,4505,2614,1891
E09000002,Ethnic groups differ between generations but not within partnerships,3994,4986,-992
E09000002,Ethnic groups differ within partnerships,4616,4081,535
E09000002,One-person household,17503,19215,-1712
E09000003,All household members have the same ethnic group,72742,66657,6085
E09000003,Any other combination of multiple ethnic identities,9355,7923,1432
E09000003,Ethnic groups differ between generations but not within partnerships,6880,8268,-1388
E09000003,Ethnic groups differ within partnerships,18282,15111,3171
E09000003,One-person household,41658,37957,3701
E09000004,All household members have the same ethnic group,57577,57984,-407
E09000004,Any other combination of multiple ethnic identities,3266,1434,1832
E09000004,Ethnic groups differ between generations but not within partnerships,2746,2577,169
E09000004,Ethnic groups differ within partnerships,6958,4820,2138
E09000004,One-person household,24753,25789,-1036
E09000005,All household members have the same ethnic group,59725,52854,6871
E09000005,Any other combination of multiple ethnic identities,10118,8859,1259
E09000005,Ethnic groups differ between generations but not within partnerships,5842,8693,-2851
E09000005,Ethnic groups differ within partnerships,10942,9264,1678
E09000005,One-person household,31985,30616,1369
E09000006,All household members have the same ethnic group,73361,73557,-196
E09000006,Any other combination of multiple ethnic identities,4103,2156,1947
E09000006,Ethnic groups differ between generations but not within partnerships,4069,3990,79
E09000006,Ethnic groups differ within partnerships,15626,10344,5282
E09000006,One-person household,38668,40815,-2147
E09000007,All household members have the same ethnic group,34339,32281,2058
E09000007,Any other combination of multiple ethnic identities,7211,8973,-1762
E09000007,Ethnic groups differ between generations but not within partnerships,3609,5413,-1804
E09000007,Ethnic groups differ within partnerships,11669,11336,333
E09000007,One-person household,35929,39531,-3602
E09000008,All household members have the same ethnic group,75544,71707,3837
