lad22cd,category,count_21,count_11,change
E09000001,African language: Afrikaans,4,4,0
E09000001,African language: Akan,2,3,-1
E09000001,African language: Amharic,1,4,-3
E09000001,African language: Any other African language,2,2,0
E09000001,African language: Any other Nigerian language,2,0,2
E09000001,African language: Any other West African language,0,3,-3
E09000001,African language: Igbo,2,0,2
E09000001,African language: Krio,0,0,0
E09000001,African language: Lingala,0,3,-3
E09000001,African language: Luganda,0,0,0
E09000001,African language: Shona,0,2,-2
E09000001,African language: Somali,3,1,2
E09000001,African language: Swahili or Kiswahili,5,4,1
E09000001,African language: Tigrinya,2,4,-2
E09000001,African language: Yoruba,0,0,0
E09000001,Arabic,58,25,33
E09000001,Caribbean Creole: Any other Caribbean Creole,0,0,0
E09000001,Caribbean Creole: English-based Caribbean Creole,0,0,0
E09000001,East Asian language: All other Chinese,148,48,100
E09000001,East Asian language: Any other East Asian language,2,1,1
E09000001,East Asian language: Cantonese Chinese,30,12,18
E09000001,East Asian language: Japanese,50,45,5
E09000001,East Asian language: Korean,14,17,-3
E09000001,East Asian language: Malay,5,6,-1
E09000001,East Asian language: Mandarin Chinese,42,17,25
E09000001,East Asian language: Tagalog or Filipino,13,20,-7
E09000001,East Asian language: Thai,4,11,-7
E09000001,East Asian language: Vietnamese,7,3,4
E09000001,English (English or Welsh in Wales),6624,5976,648
E09000001,French,169,155,14
E09000001,North or South American language,0,0,0
E09000001,Oceanic or Australian language,0,0,0
E09000001,"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin",14,11,3
E09000001,Other European language (EU): Any other European language (EU),16,5,11
E09000001,Other European language (EU): Bulgarian,14,14,0
E09000001,Other European language (EU): Czech,9,7,2
E09000001,Other European language (EU): Danish,11,17,-6
E09000001,Other European language (EU): Dutch,31,30,1
E09000001,Other European language (EU): Estonian,4,0,4
E09000001,Other European language (EU): Finnish,11,7,4
E09000001,Other European language (EU): German,102,86,16
E09000001,Other European language (EU): Greek,93,58,35
E09000001,Other European language (EU): Hungarian,11,4,7
E09000001,Other European language (EU): Italian,168,80,88
