lad22cd,category,count_21,count_11,change
E09000001,Buddhist,95,92,3
E09000001,Christian,2976,3344,-368
E09000001,Hindu,203,145,58
E09000001,Jewish,177,166,11
E09000001,Muslim,540,409,131
E09000001,No religion: Agnostic,17,1,16
E09000001,No religion: Atheist,5,8,-3
E09000001,No religion: Free Thinker,0,0,0
E09000001,No religion: Humanist,1,4,-3
E09000001,No religion: No religion,3739,2509,1230
E09000001,No religion: Realist,0,0,0
E09000001,Other religion: Animism,0,0,0
E09000001,Other religion: Baha'i,0,0,0
E09000001,Other religion: Believe in God,0,0,0
E09000001,Other religion: Brahma Kumari,0,0,0
E09000001,Other religion: Chinese Religion,0,0,0
E09000001,Other religion: Confucianist,0,1,-1
E09000001,Other religion: Deist,0,0,0
E09000001,Other religion: Druid,1,1,0
E09000001,Other religion: Druze,0,0,0
E09000001,Other religion: Eckankar,0,0,0
E09000001,Other religion: Heathen,0,0,0
E09000001,Other religion: Jain,4,3,1
E09000001,Other religion: Mixed Religion,1,0,1
E09000001,Other religion: Mysticism,0,0,0
E09000001,Other religion: Native American Church,0,0,0
E09000001,Other religion: New Age,0,0,0
E09000001,Other religion: Occult,0,0,0
E09000001,Other religion: Other religion,21,1,20
E09000001,Other religion: Own Belief System,0,1,-1
E09000001,Other religion: Pagan,5,3,2
E09000001,Other religion: Pantheism,0,2,-2
E09000001,Other religion: Rastafarian,1,3,-2
E09000001,Other religion: Ravidassia,0,0,0
E09000001,Other religion: Reconstructionist,0,0,0
E09000001,Other religion: Satanism,2,0,2
E09000001,Other religion: Scientology,0,1,-1
E09000001,Other religion: Shamanism,1,0,1
E09000001,Other religion: Shintoism,0,2,-2
E09000001,Other religion: Spiritual,9,2,7
E09000001,Other religion: Spiritualist,4,2,2
E09000001,Other religion: Taoist,0,2,-2
E09000001,Other religion: Theism,0,0,0
E09000001,Other religion: Thelemite,0,0,0
E09000001,Other religion: Traditional African Religion,2,1,1
E09000001,Other religion: Unification Church,0,0,0
E09000001,Other religion: Universalist,0,0,0
E09000001,Other religion: Vodun,0,0,0
E09000001,Other religion: Wicca,1,0,1
E09000001,Other religion: Witchcraft,0,0,0
E09000001,Other religion: Zoroastrian,1,3,-2
E09000001,Religion not stated,767,651,116
E09000001,Sikh,6,18,-12
E09000002,Buddhist,821,842,-21
E09000002,Christian,99342,104101,-4759
E09000002,Hindu,6596,4464,2132
E09000002,Jewish,272,425,-153
E09000002,Muslim,53389,25520,27869
E09000002,No religion: Agnostic,58,43,15
E09000002,No religion: Atheist,21,48,-27
E09000002,No religion: Free Thinker,0,2,-2
E09000002,No religion: Humanist,8,9,-1
E09000002,No religion: No religion,41105,35003,6102
E09000002,No religion: Realist,0,1,-1
E09000002,Other religion: Animism,1,1,0
E09000002,Other religion: Baha'i,9,20,-11
E09000002,Other religion: Believe in God,24,20,4
E09000002,Other religion: Brahma Kumari,0,0,0
E09000002,Other religion: Chinese Religion,0,0,0
E09000002,Other religion: Confucianist,0,0,0
E09000002,Other religion: Deist,3,4,-1
E09000002,Other religion: Druid,5,6,-1
E09000002,Other religion: Druze,11,5,6
E09000002,Other religion: Eckankar,1,3,-2
E09000002,Other religion: Heathen,7,2,5
E09000002,Other religion: Jain,31,20,11
E09000002,Other religion: Mixed Religion,154,32,122
E09000002,Other religion: Mysticism,0,0,0
E09000002,Other religion: Native American Church,1,0,1
E09000002,Other religion: New Age,2,2,0
E09000002,Other religion: Occult,0,2,-2
E09000002,Other religion: Other religion,343,41,302
E09000002,Other religion: Own Belief System,1,3,-2
E09000002,Other religion: Pagan,109,135,-26
E09000002,Other religion: Pantheism,0,1,-1
E09000002,Other religion: Rastafarian,45,20,25
E09000002,Other religion: Ravidassia,41,34,7
