lad22cd,category,count_21,count_11,change
E09000001,Buddhist,95,92,3
E09000001,Christian,2976,3344,-368
E09000001,Hindu,203,145,58
E09000001,Jewish,177,166,11
E09000001,Muslim,540,409,131
E09000001,No religion,3763,2522,1241
E09000001,Not stated,767,651,116
E09000001,Other religion,55,28,27
E09000001,Sikh,6,18,-12
E09000002,Buddhist,821,842,-21
E09000002,Christian,99342,104101,-4759
E09000002,Hindu,6596,4464,2132
E09000002,Jewish,272,425,-153
E09000002,Muslim,53389,25520,27869
E09000002,No religion,41191,35106,6085
E09000002,Not stated,11991,11968,23
E09000002,Other religion,981,533,448
E09000002,Sikh,4284,2952,1332
E09000003,Buddhist,4158,4521,-363
E09000003,Christian,142321,146866,-4545
E09000003,Hindu,22105,21924,181
E09000003,Jewish,56616,54084,2532
E09000003,Muslim,47688,36744,10944
E09000003,No religion,78684,57297,21387
E09000003,Not stated,31056,29917,1139
E09000003,Other religion,5192,3764,1428
E09000003,Sikh,1524,1269,255
E09000004,Buddhist,2048,1377,671
E09000004,Christian,123908,144093,-20185
E09000004,Hindu,7516,3547,3969
E09000004,Jewish,217,234,-17
E09000004,Muslim,9721,5645,4076
E09000004,No religion,82816,55995,26821
E09000004,Not stated,13986,16226,-2240
E09000004,Other religion,988,724,264
E09000004,Sikh,5272,4156,1116
E09000005,Buddhist,3117,4300,-1183
E09000005,Christian,131914,129080,2834
E09000005,Hindu,52876,55449,-2573
E09000005,Jewish,3723,4357,-634
E09000005,Muslim,72574,58036,14538
E09000005,No religion,46153,33054,13099
E09000005,Not stated,23506,21462,2044
E09000005,Other religion,4424,3768,656
E09000005,Sikh,1530,1709,-179
E09000006,Buddhist,2100,1580,520
E09000006,Christian,159452,187656,-28204
E09000006,Hindu,9644,4987,4657
E09000006,Jewish,966,957,9
E09000006,Muslim,10876,7841,3035
E09000006,No religion,122943,80303,42640
E09000006,Not stated,21238,24194,-2956
E09000006,Other religion,1704,1138,566
E09000006,Sikh,1068,736,332
E09000007,Buddhist,2410,3162.90606062899,-752.90606062899
E09000007,Christian,65980,85100.466995018,-19120.466995018
E09000007,Hindu,3991,3566.75474147401,424.24525852599
E09000007,Jewish,10079,11242.180832608,-1163.180832608
E09000007,Muslim,33830,30376.094175912,3453.905824088
E09000007,No religion,72776,63696.486833213,9079.513166787
E09000007,Not stated,18743,21254.406550608,-2511.406550608
E09000007,Other religion,1842,1424.400764423,417.599235577
E09000007,Sikh,487,514.303022325,-27.303022325
E09000008,Buddhist,2371,2381,-10
E09000008,Christian,190880,205022,-14142
E09000008,Hindu,23145,21739,1406
E09000008,Jewish,609,709,-100
E09000008,Muslim,40717,29513,11204
E09000008,No religion,101119,72654,28465
E09000008,Not stated,27035,27757,-722
E09000008,Other religion,3189,2153,1036
E09000008,Sikh,1654,1450,204
E09000009,Buddhist,4003,4228,-225
E09000009,Christian,138937,148055,-9118
E09000009,Hindu,28236,28915,-679
E09000009,Jewish,1041,1131,-90
E09000009,Muslim,68907,53198,15709
E09000009,No religion,70233,50848,19385
E09000009,Not stated,24533,23309,1224
E09000009,Other religion,2733,1987,746
E09000009,Sikh,28491,26778,1713
E09000010,Buddhist,1716,1824,-108
E09000010,Christian,153015,167417,-14402
E09000010,Hindu,10231,10927,-696
E09000010,Jewish,3713,4412,-699
E09000010,Muslim,61477,52141,9336
E09000010,No religion,65241,48522,16719
E09000010,Not stated,23041,24195,-1154
E09000010,Other religion,10351,1950,8401
E09000010,Sikh,1199,1078,121
E09000011,Buddhist,5034,4223,811
E09000011,Christian,129112,134632,-5520
E09000011,Hindu,11647,9087,2560
E09000011,Jewish,603,492,111
E09000011,Muslim,24715,17349,7366
E09000011,No religion,94208,65034,29174
