lad22cd,category,count_21,count_11,change
E09000001,Economically active: Employee: Full-time,3765,3245,520
E09000001,Economically active: Employee: Part-time,440,360,80
E09000001,Economically active: Full-time student,123,144,-21
E09000001,Economically active: Self-employed with employees: Full-time,150,281,-131
E09000001,Economically active: Self-employed with employees: Part-time,28,32,-4
E09000001,Economically active: Self-employed without employees: Full-time,524,510,14
E09000001,Economically active: Self-employed without employees: Part-time,366,213,153
E09000001,Economically active: Unemployed,282,187,95
E09000001,Economically inactive: Long-term sick or disabled,124,116,8
E09000001,Economically inactive: Looking after home or family,192,153,39
E09000001,Economically inactive: Other,297,123,174
E09000001,Economically inactive: Retired,993,580,413
E09000001,Economically inactive: Student: including full-time students,720,363,357
E09000002,Economically active: Employee: Full-time,49895,44490,5405
E09000002,Economically active: Employee: Part-time,20789,15608,5181
E09000002,Economically active: Full-time student,5833,5518,315
E09000002,Economically active: Self-employed with employees: Full-time,2314,1883,431
E09000002,Economically active: Self-employed with employees: Part-time,895,506,389
E09000002,Economically active: Self-employed without employees: Full-time,10058,6023,4035
E09000002,Economically active: Self-employed without employees: Part-time,6242,3009,3233
E09000002,Economically active: Unemployed,7641,9367,-1726
E09000002,Economically inactive: Long-term sick or disabled,7312,6459,853
E09000002,Economically inactive: Looking after home or family,13313,9476,3837
E09000002,Economically inactive: Other,7804,4749,3055
E09000002,Economically inactive: Retired,16966,10995,5971
E09000002,Economically inactive: Student: including full-time students,12684,9485,3199
E09000003,Economically active: Employee: Full-time,98975,93174,5801
E09000003,Economically active: Employee: Part-time,35308,30478,4830
E09000003,Economically active: Full-time student,7527,9065,-1538
E09000003,Economically active: Self-employed with employees: Full-time,5817,7842,-2025
E09000003,Economically active: Self-employed with employees: Part-time,1972,1681,291
E09000003,Economically active: Self-employed without employees: Full-time,20028,18924,1104
E09000003,Economically active: Self-employed without employees: Part-time,18463,11843,6620
E09000003,Economically active: Unemployed,11671,11476,195
E09000003,Economically inactive: Long-term sick or disabled,10042,7885,2157
E09000003,Economically inactive: Looking after home or family,18968,14277,4691
E09000003,Economically inactive: Other,12766,7719,5047
E09000003,Economically inactive: Retired,46200,22967,23233
E09000003,Economically inactive: Student: including full-time students,21618,21112,506
E09000004,Economically active: Employee: Full-time,72468,66838,5630
E09000004,Economically active: Employee: Part-time,23041,23072,-31
E09000004,Economically active: Full-time student,4170,5333,-1163
E09000004,Economically active: Self-employed with employees: Full-time,2309,2688,-379
E09000004,Economically active: Self-employed with employees: Part-time,668,532,136
E09000004,Economically active: Self-employed without employees: Full-time,9881,9508,373
E09000004,Economically active: Self-employed without employees: Part-time,6530,3648,2882
E09000004,Economically active: Unemployed,6279,7245,-966
E09000004,Economically inactive: Long-term sick or disabled,5943,4943,1000
E09000004,Economically inactive: Looking after home or family,9472,7696,1776
E09000004,Economically inactive: Other,5957,3395,2562
E09000004,Economically inactive: Retired,39111,21839,17272
E09000004,Economically inactive: Student: including full-time students,9998,9177,821
E09000005,Economically active: Employee: Full-time,87484,83772,3712
E09000005,Economically active: Employee: Part-time,30428,25702,4726
E09000005,Economically active: Full-time student,8938,10978,-2040
E09000005,Economically active: Self-employed with employees: Full-time,4265,5185,-920
