lad22cd,category,count_21,count_11,change
E09000001,Full-time: 31 to 48 hours worked,2760,2252,508
E09000001,Full-time: 49 or more hours worked,1706,1817,-111
E09000001,Part-time: 15 hours or less worked,386,260,126
E09000001,Part-time: 16 to 30 hours worked,499,418,81
E09000002,Full-time: 31 to 48 hours worked,55490,46263,9227
E09000002,Full-time: 49 or more hours worked,8211,7131,1080
E09000002,Part-time: 15 hours or less worked,10801,6745,4056
E09000002,Part-time: 16 to 30 hours worked,20086,15078,5008
E09000003,Full-time: 31 to 48 hours worked,101785,95329,6456
E09000003,Full-time: 49 or more hours worked,24710,26362,-1652
E09000003,Part-time: 15 hours or less worked,23760,17500,6260
E09000003,Part-time: 16 to 30 hours worked,35920,31467,4453
E09000004,Full-time: 31 to 48 hours worked,73640,66690,6950
E09000004,Full-time: 49 or more hours worked,11764,13086,-1322
E09000004,Part-time: 15 hours or less worked,11593,10148,1445
E09000004,Part-time: 16 to 30 hours worked,20988,20235,753
E09000005,Full-time: 31 to 48 hours worked,93506,87987,5519
E09000005,Full-time: 49 or more hours worked,17971,18217,-246
E09000005,Part-time: 15 hours or less worked,18564,13578,4986
E09000005,Part-time: 16 to 30 hours worked,30956,27679,3277
E09000006,Full-time: 31 to 48 hours worked,97180,88330,8850
E09000006,Full-time: 49 or more hours worked,20875,22639,-1764
E09000006,Part-time: 15 hours or less worked,16708,14237,2471
E09000006,Part-time: 16 to 30 hours worked,27359,26162,1197
E09000007,Full-time: 31 to 48 hours worked,55453,58926,-3473
E09000007,Full-time: 49 or more hours worked,20053,25111,-5058
E09000007,Part-time: 15 hours or less worked,11879,9690,2189
E09000007,Part-time: 16 to 30 hours worked,15126,15239,-113
E09000008,Full-time: 31 to 48 hours worked,114645,105866,8779
E09000008,Full-time: 49 or more hours worked,19191,20301,-1110
E09000008,Part-time: 15 hours or less worked,20311,15215,5096
E09000008,Part-time: 16 to 30 hours worked,35258,31605,3653
E09000009,Full-time: 31 to 48 hours worked,103442,101193,2249
E09000009,Full-time: 49 or more hours worked,20590,22523,-1933
E09000009,Part-time: 15 hours or less worked,19422,13592,5830
E09000009,Part-time: 16 to 30 hours worked,31572,27512,4060
E09000010,Full-time: 31 to 48 hours worked,79164,79245,-81
E09000010,Full-time: 49 or more hours worked,13881,16221,-2340
E09000010,Part-time: 15 hours or less worked,17931,13616,4315
E09000010,Part-time: 16 to 30 hours worked,32888,28540,4348
E09000011,Full-time: 31 to 48 hours worked,87019,69660,17359
E09000011,Full-time: 49 or more hours worked,18081,16519,1562
E09000011,Part-time: 15 hours or less worked,13717,10420,3297
E09000011,Part-time: 16 to 30 hours worked,24120,21222,2898
E09000012,Full-time: 31 to 48 hours worked,76457,67993,8464
E09000012,Full-time: 49 or more hours worked,18379,18043,336
E09000012,Part-time: 15 hours or less worked,14022,9974,4048
E09000012,Part-time: 16 to 30 hours worked,25452,22546,2906
E09000013,Full-time: 31 to 48 hours worked,56608,57191,-583
E09000013,Full-time: 49 or more hours worked,18880,23197,-4317
E09000013,Part-time: 15 hours or less worked,9497,7074,2423
E09000013,Part-time: 16 to 30 hours worked,13108,12156,952
E09000014,Full-time: 31 to 48 hours worked,74963,72247,2716
E09000014,Full-time: 49 or more hours worked,15952,17291,-1339
E09000014,Part-time: 15 hours or less worked,16523,10893,5630
E09000014,Part-time: 16 to 30 hours worked,26943,23865,3078
E09000015,Full-time: 31 to 48 hours worked,73682,67397,6285
E09000015,Full-time: 49 or more hours worked,14816,14565,251
E09000015,Part-time: 15 hours or less worked,13761,10835,2926
E09000015,Part-time: 16 to 30 hours worked,22778,21103,1675
E09000016,Full-time: 31 to 48 hours worked,76496,67861,8635
E09000016,Full-time: 49 or more hours worked,13075,14067,-992
E09000016,Part-time: 15 hours or less worked,12636,10760,1876
E09000016,Part-time: 16 to 30 hours worked,22574,20158,2416
E09000017,Full-time: 31 to 48 hours worked,87797,79923,7874
E09000017,Full-time: 49 or more hours worked,14492,15633,-1141
E09000017,Part-time: 15 hours or less worked,14778,12259,2519
E09000017,Part-time: 16 to 30 hours worked,25736,22475,3261
E09000018,Full-time: 31 to 48 hours worked,84207,78585,5622
E09000018,Full-time: 49 or more hours worked,14272,16575,-2303
E09000018,Part-time: 15 hours or less worked,15624,10703,4921
E09000018,Part-time: 16 to 30 hours worked,24697,21169,3528
E09000019,Full-time: 31 to 48 hours worked,67481,61581,5900
E09000019,Full-time: 49 or more hours worked,20593,22900,-2307
E09000019,Part-time: 15 hours or less worked,11025,7790,3235
E09000019,Part-time: 16 to 30 hours worked,15871,14494,1377
E09000020,Full-time: 31 to 48 hours worked,33155,36875,-3720
E09000020,Full-time: 49 or more hours worked,18680,28548,-9868
E09000020,Part-time: 15 hours or less worked,7610,5949,1661
E09000020,Part-time: 16 to 30 hours worked,9995,10015,-20
E09000021,Full-time: 31 to 48 hours worked,49806,47188,2618
E09000021,Full-time: 49 or more hours worked,10707,12614,-1907
E09000021,Part-time: 15 hours or less worked,9292,8460,832
E09000021,Part-time: 16 to 30 hours worked,14343,13695,648
E09000022,Full-time: 31 to 48 hours worked,112911,102572,10339
E09000022,Full-time: 49 or more hours worked,27282,28741,-1459
E09000022,Part-time: 15 hours or less worked,16700,11298,5402
E09000022,Part-time: 16 to 30 hours worked,25925,23883,2042
E09000023,Full-time: 31 to 48 hours worked,94030,82036,11994
E09000023,Full-time: 49 or more hours worked,17510,17599,-89
E09000023,Part-time: 15 hours or less worked,16083,11762,4321
E09000023,Part-time: 16 to 30 hours worked,28089,24660,3429
E09000024,Full-time: 31 to 48 hours worked,66670,63103,3567
E09000024,Full-time: 49 or more hours worked,15099,16555,-1456
E09000024,Part-time: 15 hours or less worked,11570,8316,3254
E09000024,Part-time: 16 to 30 hours worked,18726,16848,1878
E09000025,Full-time: 31 to 48 hours worked,94325,75272,19053
E09000025,Full-time: 49 or more hours worked,16422,12602,3820
E09000025,Part-time: 15 hours or less worked,18670,14697,3973
E09000025,Part-time: 16 to 30 hours worked,34028,29883,4145
E09000026,Full-time: 31 to 48 hours worked,81723,73182,8541
E09000026,Full-time: 49 or more hours worked,15062,15851,-789
E09000026,Part-time: 15 hours or less worked,16639,11817,4822
E09000026,Part-time: 16 to 30 hours worked,28204,23842,4362
E09000027,Full-time: 31 to 48 hours worked,54047,54424,-377
E09000027,Full-time: 49 or more hours worked,17648,21299,-3651
E09000027,Part-time: 15 hours or less worked,10880,8813,2067
E09000027,Part-time: 16 to 30 hours worked,14990,14668,322
E09000028,Full-time: 31 to 48 hours worked,99680,86853,12827
E09000028,Full-time: 49 or more hours worked,25300,25770,-470
E09000028,Part-time: 15 hours or less worked,16582,11455,5127
E09000028,Part-time: 16 to 30 hours worked,25386,23310,2076
E09000029,Full-time: 31 to 48 hours worked,64135,59518,4617
E09000029,Full-time: 49 or more hours worked,10888,12535,-1647
E09000029,Part-time: 15 hours or less worked,10702,8632,2070
E09000029,Part-time: 16 to 30 hours worked,18501,16973,1528
E09000030,Full-time: 31 to 48 hours worked,90675,67532,23143
E09000030,Full-time: 49 or more hours worked,23880,23432,448
E09000030,Part-time: 15 hours or less worked,15607,9895,5712
E09000030,Part-time: 16 to 30 hours worked,25230,20014,5216
E09000031,Full-time: 31 to 48 hours worked,84719,73926,10793
E09000031,Full-time: 49 or more hours worked,14909,13233,1676
E09000031,Part-time: 15 hours or less worked,15075,10793,4282
E09000031,Part-time: 16 to 30 hours worked,25668,23069,2599
E09000032,Full-time: 31 to 48 hours worked,115966,106837,9129
E09000032,Full-time: 49 or more hours worked,35828,39408,-3580
E09000032,Part-time: 15 hours or less worked,15478,11290,4188
E09000032,Part-time: 16 to 30 hours worked,23170,21047,2123
E09000033,Full-time: 31 to 48 hours worked,51876,54879,-3003
E09000033,Full-time: 49 or more hours worked,25228,34743,-9515
E09000033,Part-time: 15 hours or less worked,10669,7640,3029
E09000033,Part-time: 16 to 30 hours worked,13969,13917,52
