lad22cd,category,count_21,count_11,change
E09000001,Bicycle,191,252,-61
E09000001,"Bus, minibus or coach",132,268,-136
E09000001,Driving a car or van,124,145,-21
E09000001,"Motorcycle, scooter or moped",13,25,-12
E09000001,Not in employment or aged 15 years and under,3232,1560,1672
E09000001,On foot,758,2297,-1539
E09000001,Other method of travel to work,54,68,-14
E09000001,Passenger in a car or van,13,12,1
E09000001,Taxi,21,44,-23
E09000001,Train,95,274,-179
E09000001,"Underground, metro, light rail, tram",349,926,-577
E09000001,Work mainly at or from home,3602,436,3166
E09000002,Bicycle,1218,1084,134
E09000002,"Bus, minibus or coach",9690,9504,186
E09000002,Driving a car or van,30732,28763,1969
E09000002,"Motorcycle, scooter or moped",599,636,-37
E09000002,Not in employment or aged 15 years and under,124280,52351,71929
E09000002,On foot,4464,4756,-292
E09000002,Other method of travel to work,1416,434,982
E09000002,Passenger in a car or van,2392,2143,249
E09000002,Taxi,542,381,161
E09000002,Train,8660,9349,-689
E09000002,"Underground, metro, light rail, tram",15301,16488,-1187
E09000002,Work mainly at or from home,19572,1679,17893
E09000003,Bicycle,2162,2473,-311
E09000003,"Bus, minibus or coach",15090,20351,-5261
E09000003,Driving a car or van,46797,62228,-15431
E09000003,"Motorcycle, scooter or moped",1197,1849,-652
E09000003,Not in employment or aged 15 years and under,203170,87785,115385
E09000003,On foot,9361,10647,-1286
E09000003,Other method of travel to work,2451,1339,1112
E09000003,Passenger in a car or van,3169,3593,-424
E09000003,Taxi,872,738,134
E09000003,Train,4690,10065,-5375
E09000003,"Underground, metro, light rail, tram",20758,44774,-24016
E09000003,Work mainly at or from home,79628,12601,67027
E09000004,Bicycle,995,1295,-300
E09000004,"Bus, minibus or coach",7763,9762,-1999
E09000004,Driving a car or van,42503,52068,-9565
E09000004,"Motorcycle, scooter or moped",767,1457,-690
E09000004,Not in employment or aged 15 years and under,128489,55755,72734
E09000004,On foot,5258,6120,-862
E09000004,Other method of travel to work,1396,621,775
E09000004,Passenger in a car or van,2919,3389,-470
E09000004,Taxi,688,940,-252
E09000004,Train,12164,27680,-15516
E09000004,"Underground, metro, light rail, tram",2838,2830,8
E09000004,Work mainly at or from home,40692,3997,36695
E09000005,Bicycle,4074,3859,215
E09000005,"Bus, minibus or coach",21439,26928,-5489
E09000005,Driving a car or van,34917,40720,-5803
E09000005,"Motorcycle, scooter or moped",1801,1574,227
E09000005,Not in employment or aged 15 years and under,178819,86265,92554
E09000005,On foot,11000,10704,296
E09000005,Other method of travel to work,2206,991,1215
E09000005,Passenger in a car or van,3220,2915,305
E09000005,Taxi,886,421,465
E09000005,Train,8267,10492,-2225
E09000005,"Underground, metro, light rail, tram",24200,42795,-18595
E09000005,Work mainly at or from home,48987,6062,42925
E09000006,Bicycle,1784,2254,-470
E09000006,"Bus, minibus or coach",8069,11355,-3286
E09000006,Driving a car or van,45304,60948,-15644
E09000006,"Motorcycle, scooter or moped",966,1681,-715
E09000006,Not in employment or aged 15 years and under,167869,71171,96698
E09000006,On foot,7029,9574,-2545
E09000006,Other method of travel to work,1654,894,760
E09000006,Passenger in a car or van,2852,3378,-526
E09000006,Taxi,593,786,-193
E09000006,Train,15214,46672,-31458
E09000006,"Underground, metro, light rail, tram",3146,5026,-1880
E09000006,Work mainly at or from home,75511,8800,66711
E09000007,Bicycle,3993,7072,-3079
E09000007,"Bus, minibus or coach",6532,16076,-9544
E09000007,Driving a car or van,7074,10904,-3830
E09000007,"Motorcycle, scooter or moped",546,1237,-691
E09000007,Not in employment or aged 15 years and under,107625,64867,42758
E09000007,On foot,10620,17641,-7021
E09000007,Other method of travel to work,1190,1095,95
E09000007,Passenger in a car or van,510,793,-283
E09000007,Taxi,733,770,-37
E09000007,Train,2852,7089,-4237
E09000007,"Underground, metro, light rail, tram",10351,37305,-26954
E09000007,Work mainly at or from home,58110,8984,49126
E09000008,Bicycle,2422,2172,250
E09000008,"Bus, minibus or coach",19903,24916,-5013
E09000008,Driving a car or van,52381,63568,-11187
E09000008,"Motorcycle, scooter or moped",1454,1535,-81
E09000008,Not in employment or aged 15 years and under,201312,90061,111251
E09000008,On foot,10018,13313,-3295
E09000008,Other method of travel to work,2489,1212,1277
E09000008,Passenger in a car or van,3507,4057,-550
E09000008,Taxi,884,611,273
E09000008,Train,17229,42531,-25302
E09000008,"Underground, metro, light rail, tram",8146,11367,-3221
E09000008,Work mainly at or from home,70976,7705,63271
E09000009,Bicycle,5026,4944,82
E09000009,"Bus, minibus or coach",18840,23363,-4523
E09000009,Driving a car or van,42941,54991,-12050
E09000009,"Motorcycle, scooter or moped",1531,1714,-183
E09000009,Not in employment or aged 15 years and under,192088,87944,104144
E09000009,On foot,11236,12005,-769
E09000009,Other method of travel to work,2365,1077,1288
E09000009,Passenger in a car or van,3082,3228,-146
E09000009,Taxi,761,396,365
E09000009,Train,5788,10117,-4329
E09000009,"Underground, metro, light rail, tram",20319,45437,-25118
