lad22cd,category,count_21,count_11,change
E09000001,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3176,2237,939
E09000001,L10 and L11: Lower supervisory and technical occupations,134,151,-17
E09000001,L12: Semi-routine occupations,289,256,33
E09000001,L13: Routine occupations,255,155,100
E09000001,L14.1 and L14.2: Never worked and long-term unemployed,437,215,222
E09000001,L15: Full-time students,798,491,307
E09000001,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1914,1972,-58
E09000001,L7: Intermediate occupations,433,454,-21
E09000001,L8 and L9: Small employers and own account workers,568,376,192
E09000002,"L1, L2 and L3: Higher managerial, administrative and professional occupations",11328,6509,4819
E09000002,L10 and L11: Lower supervisory and technical occupations,8077,8634,-557
E09000002,L12: Semi-routine occupations,19582,19994,-412
E09000002,L13: Routine occupations,21066,15417,5649
E09000002,L14.1 and L14.2: Never worked and long-term unemployed,21260,14433,6827
E09000002,L15: Full-time students,17773,14478,3295
E09000002,"L4, L5 and L6: Lower managerial, administrative and professional occupations",24733,19552,5181
E09000002,L7: Intermediate occupations,16906,16456,450
E09000002,L8 and L9: Small employers and own account workers,21017,12095,8922
E09000003,"L1, L2 and L3: Higher managerial, administrative and professional occupations",57691,38201,19490
E09000003,L10 and L11: Lower supervisory and technical occupations,10038,10281,-243
E09000003,L12: Semi-routine occupations,23553,23633,-80
E09000003,L13: Routine occupations,20958,15204,5754
E09000003,L14.1 and L14.2: Never worked and long-term unemployed,30833,18712,12121
E09000003,L15: Full-time students,27661,28910,-1249
E09000003,"L4, L5 and L6: Lower managerial, administrative and professional occupations",64413,61265,3148
E09000003,L7: Intermediate occupations,30511,29997,514
E09000003,L8 and L9: Small employers and own account workers,43699,32240,11459
E09000004,"L1, L2 and L3: Higher managerial, administrative and professional occupations",25414,14262,11152
E09000004,L10 and L11: Lower supervisory and technical occupations,10180,11441,-1261
E09000004,L12: Semi-routine occupations,20917,21892,-975
E09000004,L13: Routine occupations,19041,14428,4613
E09000004,L14.1 and L14.2: Never worked and long-term unemployed,15554,8130,7424
E09000004,L15: Full-time students,13719,14134,-415
E09000004,"L4, L5 and L6: Lower managerial, administrative and professional occupations",40411,34273,6138
E09000004,L7: Intermediate occupations,29477,30722,-1245
E09000004,L8 and L9: Small employers and own account workers,21114,16632,4482
E09000005,"L1, L2 and L3: Higher managerial, administrative and professional occupations",31954,21788,10166
E09000005,L10 and L11: Lower supervisory and technical occupations,11567,12335,-768
E09000005,L12: Semi-routine occupations,26762,28276,-1514
E09000005,L13: Routine occupations,33356,22452,10904
E09000005,L14.1 and L14.2: Never worked and long-term unemployed,36231,24514,11717
E09000005,L15: Full-time students,29522,29688,-166
E09000005,"L4, L5 and L6: Lower managerial, administrative and professional occupations",45060,42974,2086
E09000005,L7: Intermediate occupations,23892,24376,-484
E09000005,L8 and L9: Small employers and own account workers,36796,27323,9473
E09000006,"L1, L2 and L3: Higher managerial, administrative and professional occupations",54277,32187,22090
E09000006,L10 and L11: Lower supervisory and technical occupations,10013,11273,-1260
E09000006,L12: Semi-routine occupations,21650,22592,-942
E09000006,L13: Routine occupations,16782,13091,3691
E09000006,L14.1 and L14.2: Never worked and long-term unemployed,17462,9481,7981
E09000006,L15: Full-time students,15417,15600,-183
E09000006,"L4, L5 and L6: Lower managerial, administrative and professional occupations",64340,58487,5853
E09000006,L7: Intermediate occupations,34966,36633,-1667
E09000006,L8 and L9: Small employers and own account workers,30181,23195,6986
E09000007,"L1, L2 and L3: Higher managerial, administrative and professional occupations",42391,33268,9123
E09000007,L10 and L11: Lower supervisory and technical occupations,4566,5827,-1261
E09000007,L12: Semi-routine occupations,11259,12441,-1182
E09000007,L13: Routine occupations,9840,8305,1535
E09000007,L14.1 and L14.2: Never worked and long-term unemployed,17475,13263,4212
E09000007,L15: Full-time students,27063,28367,-1304
E09000007,"L4, L5 and L6: Lower managerial, administrative and professional occupations",37323,45523,-8200
E09000007,L7: Intermediate occupations,11971,13768,-1797
E09000007,L8 and L9: Small employers and own account workers,16020,13071,2949
E09000008,"L1, L2 and L3: Higher managerial, administrative and professional occupations",45735,29245,16490
E09000008,L10 and L11: Lower supervisory and technical occupations,13143,14165,-1022
E09000008,L12: Semi-routine occupations,31084,30974,110
E09000008,L13: Routine occupations,26908,19059,7849
E09000008,L14.1 and L14.2: Never worked and long-term unemployed,29723,19335,10388
E09000008,L15: Full-time students,24432,25818,-1386
E09000008,"L4, L5 and L6: Lower managerial, administrative and professional occupations",66130,59496,6634
E09000008,L7: Intermediate occupations,37862,40294,-2432
E09000008,L8 and L9: Small employers and own account workers,35382,24662,10720
E09000009,"L1, L2 and L3: Higher managerial, administrative and professional occupations",43706,30399,13307
E09000009,L10 and L11: Lower supervisory and technical occupations,12493,13447,-954
E09000009,L12: Semi-routine occupations,25915,26992,-1077
E09000009,L13: Routine occupations,31163,21864,9299
E09000009,L14.1 and L14.2: Never worked and long-term unemployed,35979,23973,12006
E09000009,L15: Full-time students,28216,27687,529
E09000009,"L4, L5 and L6: Lower managerial, administrative and professional occupations",55635,53991,1644
E09000009,L7: Intermediate occupations,27633,27765,-132
E09000009,L8 and L9: Small employers and own account workers,34632,26646,7986
E09000010,"L1, L2 and L3: Higher managerial, administrative and professional occupations",29836,21144,8692
E09000010,L10 and L11: Lower supervisory and technical occupations,10829,11949,-1120
E09000010,L12: Semi-routine occupations,26353,26507,-154
E09000010,L13: Routine occupations,27424,19730,7694
E09000010,L14.1 and L14.2: Never worked and long-term unemployed,33209,23326,9883
E09000010,L15: Full-time students,23270,24771,-1501
E09000010,"L4, L5 and L6: Lower managerial, administrative and professional occupations",46655,44654,2001
E09000010,L7: Intermediate occupations,26607,27967,-1360
E09000010,L8 and L9: Small employers and own account workers,32998,23976,9022
E09000011,"L1, L2 and L3: Higher managerial, administrative and professional occupations",38358,20303,18055
E09000011,L10 and L11: Lower supervisory and technical occupations,10072,10395,-323
E09000011,L12: Semi-routine occupations,23494,23351,143
E09000011,L13: Routine occupations,21752,16348,5404
E09000011,L14.1 and L14.2: Never worked and long-term unemployed,23684,16787,6897
E09000011,L15: Full-time students,20981,22826,-1845
E09000011,"L4, L5 and L6: Lower managerial, administrative and professional occupations",46194,38484,7710
E09000011,L7: Intermediate occupations,22383,22121,262
E09000011,L8 and L9: Small employers and own account workers,22830,16107,6723
E09000012,"L1, L2 and L3: Higher managerial, administrative and professional occupations",38876,21254,17622
E09000012,L10 and L11: Lower supervisory and technical occupations,7036,8402,-1366
E09000012,L12: Semi-routine occupations,16300,18122,-1822
E09000012,L13: Routine occupations,17345,14782,2563
E09000012,L14.1 and L14.2: Never worked and long-term unemployed,24777,22345,2432
E09000012,L15: Full-time students,19852,22526,-2674
E09000012,"L4, L5 and L6: Lower managerial, administrative and professional occupations",48424,46300,2124
E09000012,L7: Intermediate occupations,17342,17871,-529
E09000012,L8 and L9: Small employers and own account workers,19516,15821,3695
E09000013,"L1, L2 and L3: Higher managerial, administrative and professional occupations",35766,26897,8869
E09000013,L10 and L11: Lower supervisory and technical occupations,5038,5921,-883
