lad22cd,category,count_21,count_11,change
E09000001,"1. Managers, directors and senior officials",1104,845,259
E09000001,2. Professional occupations,2349,1751,598
E09000001,3. Associate professional and technical occupations,1027,238,789
E09000001,4. Administrative and secretarial occupations,267,335,-68
E09000001,5. Skilled trades occupations,97,110,-13
E09000001,"6. Caring, leisure and other service occupations",152,128,24
E09000001,7. Sales and customer service occupations,122,109,13
E09000001,"8. Process, plant and machine operatives",50,52,-2
E09000001,9. Elementary occupations,178,173,5
E09000002,"1. Managers, directors and senior officials",7786,5094,2692
E09000002,2. Professional occupations,15185,9692,5493
E09000002,3. Associate professional and technical occupations,9279,3697,5582
E09000002,4. Administrative and secretarial occupations,8798,9864,-1066
E09000002,5. Skilled trades occupations,10957,8185,2772
E09000002,"6. Caring, leisure and other service occupations",10934,8431,2503
E09000002,7. Sales and customer service occupations,7686,7213,473
E09000002,"8. Process, plant and machine operatives",8964,7138,1826
E09000002,9. Elementary occupations,15000,11425,3575
E09000003,"1. Managers, directors and senior officials",31481,23035,8446
E09000003,2. Professional occupations,50534,40413,10121
E09000003,3. Associate professional and technical occupations,25626,9596,16030
E09000003,4. Administrative and secretarial occupations,16520,19743,-3223
E09000003,5. Skilled trades occupations,14478,13263,1215
E09000003,"6. Caring, leisure and other service occupations",14342,14116,226
E09000003,7. Sales and customer service occupations,10663,11647,-984
E09000003,"8. Process, plant and machine operatives",8394,6962,1432
E09000003,9. Elementary occupations,14137,13477,660
E09000004,"1. Managers, directors and senior officials",14498,10269,4229
E09000004,2. Professional occupations,23417,15254,8163
E09000004,3. Associate professional and technical occupations,16138,7128,9010
E09000004,4. Administrative and secretarial occupations,15535,19352,-3817
E09000004,5. Skilled trades occupations,12291,11792,499
E09000004,"6. Caring, leisure and other service occupations",10333,9844,489
E09000004,7. Sales and customer service occupations,8186,9176,-990
E09000004,"8. Process, plant and machine operatives",7430,7712,-282
E09000004,9. Elementary occupations,10155,10149,6
E09000005,"1. Managers, directors and senior officials",18700,14130,4570
E09000005,2. Professional occupations,31402,25768,5634
E09000005,3. Associate professional and technical occupations,19463,6924,12539
E09000005,4. Administrative and secretarial occupations,13311,16144,-2833
E09000005,5. Skilled trades occupations,15838,14894,944
