lad22cd,category,count_21,count_11,change
E09000001,A caravan or other mobile or temporary structure,0,0,0
E09000001,Detached,7,15,-8
E09000001,"In a commercial building, for example, in an office building, hotel or over a shop",203,292,-89
E09000001,In a purpose-built block of flats or tenement,4273,3833,440
E09000001,"Part of a converted or shared house, including bedsits",338,162,176
E09000001,Semi detached,15,12,3
E09000001,Terraced,78,71,7
E09000002,A caravan or other mobile or temporary structure,60,23,37
E09000002,Detached,3751,2788,963
E09000002,"In a commercial building, for example, in an office building, hotel or over a shop",756,837,-81
E09000002,In a purpose-built block of flats or tenement,20451,18263,2188
E09000002,"Part of a converted or shared house, including bedsits",1769,1844,-75
E09000002,Semi detached,16358,13634,2724
E09000002,Terraced,30754,32292,-1538
E09000003,A caravan or other mobile or temporary structure,180,167,13
E09000003,Detached,15046,14774,272
E09000003,"In a commercial building, for example, in an office building, hotel or over a shop",1982,2362,-380
E09000003,In a purpose-built block of flats or tenement,54446,43172,11274
E09000003,"Part of a converted or shared house, including bedsits",14189,12412,1777
E09000003,Semi detached,40919,40777,142
E09000003,Terraced,22155,22252,-97
E09000004,A caravan or other mobile or temporary structure,41,19,22
E09000004,Detached,7054,6759,295
E09000004,"In a commercial building, for example, in an office building, hotel or over a shop",1166,1170,-4
E09000004,In a purpose-built block of flats or tenement,20318,18571,1747
E09000004,"Part of a converted or shared house, including bedsits",2029,1641,388
E09000004,Semi detached,42154,41361,793
E09000004,Terraced,22536,23083,-547
E09000005,A caravan or other mobile or temporary structure,96,56,40
E09000005,Detached,7142,7217,-75
E09000005,"In a commercial building, for example, in an office building, hotel or over a shop",1817,1952,-135
E09000005,In a purpose-built block of flats or tenement,45086,35737,9349
E09000005,"Part of a converted or shared house, including bedsits",20307,20008,299
E09000005,Semi detached,26467,26520,-53
E09000005,Terraced,17697,18796,-1099
E09000006,A caravan or other mobile or temporary structure,228,182,46
E09000006,Detached,24563,24189,374
E09000006,"In a commercial building, for example, in an office building, hotel or over a shop",1773,1841,-68
E09000006,In a purpose-built block of flats or tenement,31895,28437,3458
E09000006,"Part of a converted or shared house, including bedsits",8816,8083,733
E09000006,Semi detached,40562,39619,943
E09000006,Terraced,27990,28511,-521
E09000007,A caravan or other mobile or temporary structure,71,46,25
E09000007,Detached,1584,1804,-220
E09000007,"In a commercial building, for example, in an office building, hotel or over a shop",2213,2726,-513
E09000007,In a purpose-built block of flats or tenement,52159,50453,1706
E09000007,"Part of a converted or shared house, including bedsits",25934,29876,-3942
E09000007,Semi detached,3294,3984,-690
E09000007,Terraced,7504,8645,-1141
E09000008,A caravan or other mobile or temporary structure,137,43,94
E09000008,Detached,18714,18231,483
E09000008,"In a commercial building, for example, in an office building, hotel or over a shop",2238,2221,17
E09000008,In a purpose-built block of flats or tenement,44285,36701,7584
E09000008,"Part of a converted or shared house, including bedsits",14151,13053,1098
E09000008,Semi detached,37841,36740,1101
E09000008,Terraced,35580,38021,-2441
E09000009,A caravan or other mobile or temporary structure,228,133,95
E09000009,Detached,6798,6703,95
E09000009,"In a commercial building, for example, in an office building, hotel or over a shop",1854,1891,-37
E09000009,In a purpose-built block of flats or tenement,46120,38699,7421
E09000009,"Part of a converted or shared house, including bedsits",18173,15851,2322
E09000009,Semi detached,29225,28337,888
E09000009,Terraced,31261,32468,-1207
E09000010,A caravan or other mobile or temporary structure,111,62,49
E09000010,Detached,9059,8357,702
E09000010,"In a commercial building, for example, in an office building, hotel or over a shop",1426,1662,-236
E09000010,In a purpose-built block of flats or tenement,36776,35918,858
E09000010,"Part of a converted or shared house, including bedsits",8654,8004,650
E09000010,Semi detached,29986,28392,1594
E09000010,Terraced,34911,37521,-2610
E09000011,A caravan or other mobile or temporary structure,92,46,46
E09000011,Detached,4656,4297,359
E09000011,"In a commercial building, for example, in an office building, hotel or over a shop",1094,939,155
E09000011,In a purpose-built block of flats or tenement,49157,37848,11309
E09000011,"Part of a converted or shared house, including bedsits",8530,7601,929
E09000011,Semi detached,20106,18988,1118
E09000011,Terraced,30419,31326,-907
E09000012,A caravan or other mobile or temporary structure,251,78,173
E09000012,Detached,1433,1856,-423
E09000012,"In a commercial building, for example, in an office building, hotel or over a shop",1743,2391,-648
E09000012,In a purpose-built block of flats or tenement,64067,58393,5674
E09000012,"Part of a converted or shared house, including bedsits",20040,19108,932
E09000012,Semi detached,3816,4335,-519
E09000012,Terraced,14729,15529,-800
E09000013,A caravan or other mobile or temporary structure,95,34,61
E09000013,Detached,933,1133,-200
E09000013,"In a commercial building, for example, in an office building, hotel or over a shop",1187,1707,-520
E09000013,In a purpose-built block of flats or tenement,39074,34072,5002
E09000013,"Part of a converted or shared house, including bedsits",20884,23009,-2125
E09000013,Semi detached,3790,3990,-200
E09000013,Terraced,15280,16645,-1365
E09000014,A caravan or other mobile or temporary structure,151,62,89
E09000014,Detached,4057,4332,-275
E09000014,"In a commercial building, for example, in an office building, hotel or over a shop",1684,2260,-576
