lad22cd,category,count_21,count_11,change
E09000001,Electric (including storage heaters) central heating,1937,2104,-167
E09000001,Gas central heating,1352,1338,14
E09000001,No central heating,184,189,-5
E09000001,Oil central heating,15,56,-41
E09000001,Other central heating,1069,610,459
E09000001,"Solid fuel (for example wood, coal) central heating",1,0,1
E09000001,Two or more types of central heating,357,88,269
E09000002,Electric (including storage heaters) central heating,9141,7491,1650
E09000002,Gas central heating,53004,54655,-1651
E09000002,No central heating,1611,2032,-421
E09000002,Oil central heating,60,50,10
E09000002,Other central heating,3378,2121,1257
E09000002,"Solid fuel (for example wood, coal) central heating",29,58,-29
E09000002,Two or more types of central heating,6679,3274,3405
E09000003,Electric (including storage heaters) central heating,19271,12653,6618
E09000003,Gas central heating,109262,111946,-2684
E09000003,No central heating,2886,2952,-66
E09000003,Oil central heating,120,183,-63
E09000003,Other central heating,5790,2695,3095
E09000003,"Solid fuel (for example wood, coal) central heating",29,51,-22
E09000003,Two or more types of central heating,11561,5436,6125
E09000004,Electric (including storage heaters) central heating,8501,6833,1668
E09000004,Gas central heating,76069,79272,-3203
E09000004,No central heating,1588,2367,-779
E09000004,Oil central heating,51,72,-21
E09000004,Other central heating,1771,1224,547
E09000004,"Solid fuel (for example wood, coal) central heating",14,36,-22
E09000004,Two or more types of central heating,7306,2800,4506
E09000005,Electric (including storage heaters) central heating,15907,10483,5424
E09000005,Gas central heating,83286,87128,-3842
E09000005,No central heating,2662,2616,46
E09000005,Oil central heating,118,204,-86
E09000005,Other central heating,5915,3825,2090
E09000005,"Solid fuel (for example wood, coal) central heating",20,29,-9
E09000005,Two or more types of central heating,10700,6001,4699
E09000006,Electric (including storage heaters) central heating,9216,8057,1159
E09000006,Gas central heating,112188,114271,-2083
E09000006,No central heating,1757,2614,-857
E09000006,Oil central heating,276,373,-97
E09000006,Other central heating,2293,1672,621
E09000006,"Solid fuel (for example wood, coal) central heating",36,86,-50
E09000006,Two or more types of central heating,10061,3789,6272
E09000007,Electric (including storage heaters) central heating,11708,9762,1946
E09000007,Gas central heating,59329,71550,-12221
E09000007,No central heating,2561,3406,-845
E09000007,Oil central heating,313,1457,-1144
E09000007,Other central heating,11002,7226,3776
E09000007,"Solid fuel (for example wood, coal) central heating",11,35,-24
E09000007,Two or more types of central heating,7836,4098,3738
E09000008,Electric (including storage heaters) central heating,15977,11554,4423
E09000008,Gas central heating,115178,118850,-3672
E09000008,No central heating,3047,4168,-1121
E09000008,Oil central heating,110,178,-68
E09000008,Other central heating,5000,3800,1200
E09000008,"Solid fuel (for example wood, coal) central heating",39,98,-59
E09000008,Two or more types of central heating,13594,6362,7232
E09000009,Electric (including storage heaters) central heating,15480,10413,5067
E09000009,Gas central heating,98564,100474,-1910
E09000009,No central heating,2814,3216,-402
E09000009,Oil central heating,127,341,-214
E09000009,Other central heating,5907,4178,1729
E09000009,"Solid fuel (for example wood, coal) central heating",35,82,-47
E09000009,Two or more types of central heating,10732,5378,5354
E09000010,Electric (including storage heaters) central heating,15729,14437,1292
E09000010,Gas central heating,88225,93025,-4800
E09000010,No central heating,2543,3562,-1019
E09000010,Oil central heating,91,193,-102
E09000010,Other central heating,3142,2896,246
E09000010,"Solid fuel (for example wood, coal) central heating",17,63,-46
E09000010,Two or more types of central heating,11176,5740,5436
E09000011,Electric (including storage heaters) central heating,14842,9140,5702
E09000011,Gas central heating,76277,79389,-3112
E09000011,No central heating,2421,2441,-20
