lad22cd,category,count_21,count_11,change
E09000001,1 bedroom,2626,2337,289
E09000001,2 bedrooms,1578,1383,195
E09000001,3 bedrooms,522,430,92
E09000001,4 or more bedrooms,189,160,29
E09000002,1 bedroom,10637,10191,446
E09000002,2 bedrooms,26286,25870,416
E09000002,3 bedrooms,29387,28939,448
E09000002,4 or more bedrooms,7592,4459,3133
E09000003,1 bedroom,25931,21769,4162
E09000003,2 bedrooms,44373,40789,3584
E09000003,3 bedrooms,40781,41878,-1097
E09000003,4 or more bedrooms,37832,31024,6808
E09000004,1 bedroom,9617,9385,232
E09000004,2 bedrooms,24786,24590,196
E09000004,3 bedrooms,41000,42189,-1189
E09000004,4 or more bedrooms,19897,16222,3675
E09000005,1 bedroom,25492,24256,1236
E09000005,2 bedrooms,35833,32673,3160
E09000005,3 bedrooms,33426,34371,-945
E09000005,4 or more bedrooms,23861,18478,5383
E09000006,1 bedroom,17654,17128,526
E09000006,2 bedrooms,35370,34471,899
E09000006,3 bedrooms,47004,48907,-1903
E09000006,4 or more bedrooms,35799,30043,5756
E09000007,1 bedroom,31478,35307,-3829
E09000007,2 bedrooms,31459,31749,-290
E09000007,3 bedrooms,18708,18521,187
E09000007,4 or more bedrooms,11114,10939,175
E09000008,1 bedroom,26513,24059,2454
E09000008,2 bedrooms,44445,42226,2219
E09000008,3 bedrooms,52291,53384,-1093
E09000008,4 or more bedrooms,29697,24789,4908
E09000009,1 bedroom,26735,24044,2691
E09000009,2 bedrooms,38670,35697,2973
E09000009,3 bedrooms,41167,42241,-1074
E09000009,4 or more bedrooms,27087,21584,5503
E09000010,1 bedroom,18173,19177,-1004
E09000010,2 bedrooms,33995,34909,-914
E09000010,3 bedrooms,45338,47532,-2194
E09000010,4 or more bedrooms,23417,17822,5595
E09000011,1 bedroom,23084,19009,4075
E09000011,2 bedrooms,38226,33054,5172
E09000011,3 bedrooms,37954,36715,1239
E09000011,4 or more bedrooms,14788,11924,2864
E09000012,1 bedroom,31667,32108,-441
E09000012,2 bedrooms,37174,34990,2184
E09000012,3 bedrooms,24549,23064,1485
E09000012,4 or more bedrooms,12691,10977,1714
E09000013,1 bedroom,25142,25807,-665
E09000013,2 bedrooms,27041,26790,251
E09000013,3 bedrooms,15889,15866,23
E09000013,4 or more bedrooms,13172,11675,1497
E09000014,1 bedroom,27494,28234,-740
E09000014,2 bedrooms,34299,33269,1030
E09000014,3 bedrooms,24811,24665,146
E09000014,4 or more bedrooms,18488,15245,3243
E09000015,1 bedroom,11810,9854,1956
E09000015,2 bedrooms,21313,20054,1259
E09000015,3 bedrooms,33009,35640,-2631
E09000015,4 or more bedrooms,23510,18491,5019
E09000016,1 bedroom,10080,9574,506
E09000016,2 bedrooms,23622,23641,-19
