lad22cd,category,count_21,count_11,change
E09000001,1 car or van in household,954,1100,-146
E09000001,2 cars or vans in household,123,173,-50
E09000001,3 or more cars or vans in household,43,69,-26
E09000001,No cars or vans in household,3793,3043,750
E09000002,1 car or van in household,33190,30183,3007
E09000002,2 cars or vans in household,11911,9557,2354
E09000002,3 or more cars or vans in household,3119,2323,796
E09000002,No cars or vans in household,25682,27618,-1936
E09000003,1 car or van in household,66990,59992,6998
E09000003,2 cars or vans in household,29077,28698,379
E09000003,3 or more cars or vans in household,8270,8202,68
E09000003,No cars or vans in household,44580,39024,5556
E09000004,1 car or van in household,43224,42054,1170
E09000004,2 cars or vans in household,22652,21708,944
E09000004,3 or more cars or vans in household,8097,6924,1173
E09000004,No cars or vans in household,21327,21918,-591
E09000005,1 car or van in household,46316,43598,2718
E09000005,2 cars or vans in household,15294,14884,410
E09000005,3 or more cars or vans in household,4705,4385,320
E09000005,No cars or vans in household,52297,47419,4878
E09000006,1 car or van in household,62960,59613,3347
E09000006,2 cars or vans in household,30995,30909,86
E09000006,3 or more cars or vans in household,10788,9617,1171
E09000006,No cars or vans in household,31084,30723,361
E09000007,1 car or van in household,27983,30991,-3008
E09000007,2 cars or vans in household,4809,5757,-948
E09000007,3 or more cars or vans in household,930,1191,-261
E09000007,No cars or vans in household,59037,59595,-558
E09000008,1 car or van in household,66099,63183,2916
E09000008,2 cars or vans in household,26551,25836,715
E09000008,3 or more cars or vans in household,8872,7468,1404
E09000008,No cars or vans in household,51422,48523,2899
E09000009,1 car or van in household,58513,54846,3667
E09000009,2 cars or vans in household,20211,20017,194
E09000009,3 or more cars or vans in household,5749,5372,377
E09000009,No cars or vans in household,49188,43847,5341
E09000010,1 car or van in household,53617,51872,1745
E09000010,2 cars or vans in household,22358,21997,361
E09000010,3 or more cars or vans in household,7432,7114,318
E09000010,No cars or vans in household,37517,38933,-1416
E09000011,1 car or van in household,48404,43058,5346
E09000011,2 cars or vans in household,13007,12523,484
E09000011,3 or more cars or vans in household,3455,3009,446
E09000011,No cars or vans in household,49186,42455,6731
E09000012,1 car or van in household,32322,31157,1165
E09000012,2 cars or vans in household,4167,4129,38
E09000012,3 or more cars or vans in household,760,683,77
E09000012,No cars or vans in household,68832,65721,3111
E09000013,1 car or van in household,28753,29496,-743
E09000013,2 cars or vans in household,4944,5661,-717
E09000013,3 or more cars or vans in household,867,909,-42
E09000013,No cars or vans in household,46679,44524,2155
E09000014,1 car or van in household,39894,38911,983
E09000014,2 cars or vans in household,8177,8507,-330
E09000014,3 or more cars or vans in household,1611,1686,-75
E09000014,No cars or vans in household,55410,52851,2559
E09000015,1 car or van in household,39651,37013,2638
E09000015,2 cars or vans in household,21088,20993,95
E09000015,3 or more cars or vans in household,6738,6451,287
E09000015,No cars or vans in household,22165,19811,2354
E09000016,1 car or van in household,44708,42968,1740
E09000016,2 cars or vans in household,25232,23831,1401
E09000016,3 or more cars or vans in household,9531,8036,1495
E09000016,No cars or vans in household,21806,22364,-558
