lad22cd,category,count_21,count_11,change
E09000001,Lives rent free,5,219,-214
E09000001,Owned: Owns outright,1114,1093,21
E09000001,Owned: Owns with a mortgage or loan,680,762,-82
E09000001,Private rented: Other private rented,309,122,187
E09000001,Private rented: Private landlord or letting agency,2064,1451,613
E09000001,Shared ownership: Shared ownership,12,13,-1
E09000001,Social rented: Other social rented,281,267,14
E09000001,Social rented: Rents from council or Local Authority,449,458,-9
E09000002,Lives rent free,146,664,-518
E09000002,Owned: Owns outright,11130,11908,-778
E09000002,Owned: Owns with a mortgage or loan,20189,20416,-227
E09000002,Private rented: Other private rented,1447,769,678
E09000002,Private rented: Private landlord or letting agency,16443,11559,4884
E09000002,Shared ownership: Shared ownership,1274,906,368
E09000002,Social rented: Other social rented,5196,3677,1519
E09000002,Social rented: Rents from council or Local Authority,18077,19782,-1705
E09000003,Lives rent free,138,2187,-2049
E09000003,Owned: Owns outright,39083,38105,978
E09000003,Owned: Owns with a mortgage or loan,39324,40245,-921
E09000003,Private rented: Other private rented,3525,1679,1846
E09000003,Private rented: Private landlord or letting agency,45180,33175,12005
E09000003,Shared ownership: Shared ownership,1633,1191,442
E09000003,Social rented: Other social rented,10004,7670,2334
E09000003,Social rented: Rents from council or Local Authority,10030,11664,-1634
E09000004,Lives rent free,65,763,-698
E09000004,Owned: Owns outright,31210,30127,1083
E09000004,Owned: Owns with a mortgage or loan,34207,37027,-2820
E09000004,Private rented: Other private rented,1500,835,665
E09000004,Private rented: Private landlord or letting agency,13078,9721,3357
E09000004,Shared ownership: Shared ownership,1263,754,509
E09000004,Social rented: Other social rented,11486,11684,-198
E09000004,Social rented: Rents from council or Local Authority,2491,1693,798
E09000005,Lives rent free,171,1554,-1383
E09000005,Owned: Owns outright,23933,22416,1517
E09000005,Owned: Owns with a mortgage or loan,21660,24908,-3248
E09000005,Private rented: Other private rented,2994,1397,1597
E09000005,Private rented: Private landlord or letting agency,39732,31784,7948
E09000005,Shared ownership: Shared ownership,2246,1636,610
E09000005,Social rented: Other social rented,17432,15905,1527
E09000005,Social rented: Rents from council or Local Authority,10444,10686,-242
E09000006,Lives rent free,47,1223,-1176
E09000006,Owned: Owns outright,44794,43649,1145
E09000006,Owned: Owns with a mortgage or loan,48234,49136,-902
E09000006,Private rented: Other private rented,2243,1164,1079
E09000006,Private rented: Private landlord or letting agency,21418,16229,5189
E09000006,Shared ownership: Shared ownership,1166,1036,130
E09000006,Social rented: Other social rented,15836,16438,-602
E09000006,Social rented: Rents from council or Local Authority,2090,1987,103
E09000007,Lives rent free,274,1763,-1489
E09000007,Owned: Owns outright,14780,16644,-1864
E09000007,Owned: Owns with a mortgage or loan,12727,14724,-1997
E09000007,Private rented: Other private rented,2630,1728,902
E09000007,Private rented: Private landlord or letting agency,30382,29706,676
E09000007,Shared ownership: Shared ownership,715,674,41
E09000007,Social rented: Other social rented,10199,9822,377
E09000007,Social rented: Rents from council or Local Authority,21051,22473,-1422
E09000008,Lives rent free,283,1566,-1283
E09000008,Owned: Owns outright,36992,34882,2110
E09000008,Owned: Owns with a mortgage or loan,46675,50348,-3673
E09000008,Private rented: Other private rented,2957,1710,1247
E09000008,Private rented: Private landlord or letting agency,36484,28762,7722
E09000008,Shared ownership: Shared ownership,2183,1855,328
E09000008,Social rented: Other social rented,12602,11525,1077
E09000008,Social rented: Rents from council or Local Authority,14769,14362,407
E09000009,Lives rent free,313,1834,-1521
E09000009,Owned: Owns outright,30275,28414,1861
E09000009,Owned: Owns with a mortgage or loan,31539,35006,-3467
E09000009,Private rented: Other private rented,3427,1486,1941
E09000009,Private rented: Private landlord or letting agency,42063,32696,9367
E09000009,Shared ownership: Shared ownership,2658,2174,484
E09000009,Social rented: Other social rented,12056,9465,2591
E09000009,Social rented: Rents from council or Local Authority,11326,13007,-1681
E09000010,Lives rent free,296,1703,-1407
E09000010,Owned: Owns outright,31740,31452,288
E09000010,Owned: Owns with a mortgage or loan,31607,38010,-6403
E09000010,Private rented: Other private rented,2615,1196,1419
E09000010,Private rented: Private landlord or letting agency,32773,25395,7378
E09000010,Shared ownership: Shared ownership,1319,1087,232
E09000010,Social rented: Other social rented,8043,7407,636
E09000010,Social rented: Rents from council or Local Authority,12530,13666,-1136
E09000011,Lives rent free,238,1080,-842
E09000011,Owned: Owns outright,18473,16585,1888
E09000011,Owned: Owns with a mortgage or loan,28454,27134,1320
E09000011,Private rented: Other private rented,2225,1326,899
E09000011,Private rented: Private landlord or letting agency,26863,18678,8185
E09000011,Shared ownership: Shared ownership,2471,1580,891
E09000011,Social rented: Other social rented,14070,11784,2286
E09000011,Social rented: Rents from council or Local Authority,21257,22878,-1621
E09000012,Lives rent free,259,1258,-999
E09000012,Owned: Owns outright,10263,8597,1666
E09000012,Owned: Owns with a mortgage or loan,15803,15582,221
E09000012,Private rented: Other private rented,2204,1337,867
E09000012,Private rented: Private landlord or letting agency,31943,28112,3831
E09000012,Shared ownership: Shared ownership,2664,2374,290
E09000012,Social rented: Other social rented,21002,20267,735
E09000012,Social rented: Rents from council or Local Authority,21943,24163,-2220
E09000013,Lives rent free,157,1248,-1091
E09000013,Owned: Owns outright,12483,12777,-294
E09000013,Owned: Owns with a mortgage or loan,13607,14620,-1013
E09000013,Private rented: Other private rented,2274,1340,934
E09000013,Private rented: Private landlord or letting agency,27284,24215,3069
E09000013,Shared ownership: Shared ownership,1208,1257,-49
E09000013,Social rented: Other social rented,12391,12450,-59
E09000013,Social rented: Rents from council or Local Authority,11840,12683,-843
E09000014,Lives rent free,393,1482,-1089
E09000014,Owned: Owns outright,18141,16326,1815
E09000014,Owned: Owns with a mortgage or loan,20975,23277,-2302
E09000014,Private rented: Other private rented,2324,1171,1153
E09000014,Private rented: Private landlord or letting agency,35052,30924,4128
E09000014,Shared ownership: Shared ownership,1732,1533,199
E09000014,Social rented: Other social rented,10844,9954,890
E09000014,Social rented: Rents from council or Local Authority,15630,17288,-1658
E09000015,Lives rent free,152,1199,-1047
E09000015,Owned: Owns outright,26947,26246,701
E09000015,Owned: Owns with a mortgage or loan,25743,28755,-3012
E09000015,Private rented: Other private rented,2141,1159,982
E09000015,Private rented: Private landlord or letting agency,24354,17165,7189
E09000015,Shared ownership: Shared ownership,1007,821,186
E09000015,Social rented: Other social rented,4321,3766,555
E09000015,Social rented: Rents from council or Local Authority,4977,5157,-180
E09000016,Lives rent free,95,779,-684
E09000016,Owned: Owns outright,34918,34625,293
E09000016,Owned: Owns with a mortgage or loan,35461,37073,-1612
E09000016,Private rented: Other private rented,1567,736,831
E09000016,Private rented: Private landlord or letting agency,14452,9601,4851
E09000016,Shared ownership: Shared ownership,976,586,390
E09000016,Social rented: Other social rented,4384,3335,1049
E09000016,Social rented: Rents from council or Local Authority,9423,10464,-1041
E09000017,Lives rent free,135,1030,-895
E09000017,Owned: Owns outright,28994,27921,1073
E09000017,Owned: Owns with a mortgage or loan,32837,35090,-2253
E09000017,Private rented: Other private rented,2584,1450,1134
E09000017,Private rented: Private landlord or letting agency,25692,16691,9001
E09000017,Shared ownership: Shared ownership,1373,1280,93
E09000017,Social rented: Other social rented,7434,6271,1163
E09000017,Social rented: Rents from council or Local Authority,10179,10481,-302
E09000018,Lives rent free,286,1207,-921
E09000018,Owned: Owns outright,21761,20048,1713
E09000018,Owned: Owns with a mortgage or loan,25283,27514,-2231
E09000018,Private rented: Other private rented,2251,1107,1144
E09000018,Private rented: Private landlord or letting agency,29537,21099,8438
E09000018,Shared ownership: Shared ownership,2225,2245,-20
E09000018,Social rented: Other social rented,8367,7386,981
E09000018,Social rented: Rents from council or Local Authority,13251,14296,-1045
E09000019,Lives rent free,310,1226,-916
E09000019,Owned: Owns outright,11151,10587,564
E09000019,Owned: Owns with a mortgage or loan,14589,15977,-1388
E09000019,Private rented: Other private rented,1995,1263,732
E09000019,Private rented: Private landlord or letting agency,28084,23954,4130
E09000019,Shared ownership: Shared ownership,1580,1207,373
E09000019,Social rented: Other social rented,14706,14328,378
E09000019,Social rented: Rents from council or Local Authority,24081,25014,-933
E09000020,Lives rent free,127,2450,-2323
E09000020,Owned: Owns outright,13301,17933,-4632
E09000020,Owned: Owns with a mortgage or loan,7890,10074,-2184
E09000020,Private rented: Other private rented,2900,1432,1468
E09000020,Private rented: Private landlord or letting agency,23560,26676,-3116
E09000020,Shared ownership: Shared ownership,676,700,-24
E09000020,Social rented: Other social rented,11276,12070,-794
E09000020,Social rented: Rents from council or Local Authority,7154,7201,-47
E09000021,Lives rent free,76,629,-553
E09000021,Owned: Owns outright,18519,17727,792
E09000021,Owned: Owns with a mortgage or loan,21418,23035,-1617
E09000021,Private rented: Other private rented,1376,921,455
E09000021,Private rented: Private landlord or letting agency,16535,13391,3144
E09000021,Shared ownership: Shared ownership,460,434,26
E09000021,Social rented: Other social rented,2597,2250,347
E09000021,Social rented: Rents from council or Local Authority,4647,5252,-605
E09000022,Lives rent free,206,1393,-1187
E09000022,Owned: Owns outright,16180,14778,1402
E09000022,Owned: Owns with a mortgage or loan,28289,28107,182
E09000022,Private rented: Other private rented,3101,2110,991
E09000022,Private rented: Private landlord or letting agency,39228,36023,3205
E09000022,Shared ownership: Shared ownership,2441,1987,454
E09000022,Social rented: Other social rented,21117,20123,994
E09000022,Social rented: Rents from council or Local Authority,24126,25496,-1370
E09000023,Lives rent free,177,1159,-982
E09000023,Owned: Owns outright,18853,17273,1580
E09000023,Owned: Owns with a mortgage or loan,32377,31955,422
E09000023,Private rented: Other private rented,2492,1551,941
E09000023,Private rented: Private landlord or letting agency,30797,26665,4132
E09000023,Shared ownership: Shared ownership,1944,1436,508
E09000023,Social rented: Other social rented,19708,17968,1740
E09000023,Social rented: Rents from council or Local Authority,16045,18084,-2039
E09000024,Lives rent free,42,792,-750
E09000024,Owned: Owns outright,20695,20160,535
E09000024,Owned: Owns with a mortgage or loan,24773,26529,-1756
E09000024,Private rented: Other private rented,1750,1025,725
E09000024,Private rented: Private landlord or letting agency,21998,18478,3520
E09000024,Shared ownership: Shared ownership,869,671,198
E09000024,Social rented: Other social rented,9257,8215,1042
E09000024,Social rented: Rents from council or Local Authority,2342,2887,-545
E09000025,Lives rent free,324,1229,-905
E09000025,Owned: Owns outright,14695,12993,1702
E09000025,Owned: Owns with a mortgage or loan,20884,20829,55
E09000025,Private rented: Other private rented,3088,1452,1636
E09000025,Private rented: Private landlord or letting agency,41391,33118,8273
E09000025,Shared ownership: Shared ownership,2739,1806,933
E09000025,Social rented: Other social rented,14401,11500,2901
E09000025,Social rented: Rents from council or Local Authority,17989,18592,-603
E09000026,Lives rent free,227,1173,-946
E09000026,Owned: Owns outright,27956,27911,45
E09000026,Owned: Owns with a mortgage or loan,31265,35072,-3807
E09000026,Private rented: Other private rented,2497,1216,1281
E09000026,Private rented: Private landlord or letting agency,29079,21441,7638
E09000026,Shared ownership: Shared ownership,983,1003,-20
E09000026,Social rented: Other social rented,5103,5020,83
E09000026,Social rented: Rents from council or Local Authority,6604,6269,335
E09000027,Lives rent free,61,993,-932
E09000027,Owned: Owns outright,24535,23756,779
E09000027,Owned: Owns with a mortgage or loan,25826,26994,-1168
E09000027,Private rented: Other private rented,1577,1030,547
E09000027,Private rented: Private landlord or letting agency,18393,16410,1983
E09000027,Shared ownership: Shared ownership,560,601,-41
E09000027,Social rented: Other social rented,7923,7600,323
E09000027,Social rented: Rents from council or Local Authority,1829,2451,-622
E09000028,Lives rent free,392,1502,-1110
E09000028,Owned: Owns outright,13879,11805,2074
E09000028,Owned: Owns with a mortgage or loan,23870,23525,345
E09000028,Private rented: Other private rented,3013,1741,1272
E09000028,Private rented: Private landlord or letting agency,34493,26752,7741
E09000028,Shared ownership: Shared ownership,3182,2453,729
E09000028,Social rented: Other social rented,16558,15016,1542
E09000028,Social rented: Rents from council or Local Authority,35433,37628,-2195
E09000029,Lives rent free,61,560,-499
E09000029,Owned: Owns outright,23400,22357,1043
E09000029,Owned: Owns with a mortgage or loan,29647,30795,-1148
E09000029,Private rented: Other private rented,1311,758,553
E09000029,Private rented: Private landlord or letting agency,15372,11671,3701
E09000029,Shared ownership: Shared ownership,889,611,278
E09000029,Social rented: Other social rented,6268,5001,1267
E09000029,Social rented: Rents from council or Local Authority,5399,6421,-1022
E09000030,Lives rent free,276,1252,-976
E09000030,Owned: Owns outright,9424,8648,776
E09000030,Owned: Owns with a mortgage or loan,18459,15904,2555
E09000030,Private rented: Other private rented,2874,1737,1137
E09000030,Private rented: Private landlord or letting agency,43126,31227,11899
E09000030,Shared ownership: Shared ownership,3143,2383,760
E09000030,Social rented: Other social rented,26540,22558,3982
E09000030,Social rented: Rents from council or Local Authority,16697,17548,-851
E09000031,Lives rent free,153,1004,-851
E09000031,Owned: Owns outright,20817,19396,1421
E09000031,Owned: Owns with a mortgage or loan,29539,28965,574
E09000031,Private rented: Other private rented,2232,1183,1049
E09000031,Private rented: Private landlord or letting agency,26361,23919,2442
E09000031,Shared ownership: Shared ownership,1700,1018,682
E09000031,Social rented: Other social rented,11362,10975,387
E09000031,Social rented: Rents from council or Local Authority,10737,10401,336
E09000032,Lives rent free,184,1356,-1172
E09000032,Owned: Owns outright,24410,24067,343
E09000032,Owned: Owns with a mortgage or loan,33915,35326,-1411
E09000032,Private rented: Other private rented,3535,2146,1389
E09000032,Private rented: Private landlord or letting agency,46295,39171,7124
E09000032,Shared ownership: Shared ownership,2509,1911,598
E09000032,Social rented: Other social rented,9891,9764,127
E09000032,Social rented: Rents from council or Local Authority,16653,16752,-99
E09000033,Lives rent free,284,3303,-3019
E09000033,Owned: Owns outright,15213,18692,-3479
E09000033,Owned: Owns with a mortgage or loan,10749,13595,-2846
E09000033,Private rented: Other private rented,4194,2217,1977
E09000033,Private rented: Private landlord or letting agency,36871,39732,-2861
E09000033,Shared ownership: Shared ownership,695,885,-190
E09000033,Social rented: Other social rented,14392,14805,-413
E09000033,Social rented: Rents from council or Local Authority,12418,12543,-125
