lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,1 person in household,371
E09000001,City of London,E01000001,2 people in household,351
E09000001,City of London,E01000001,3 people in household,70
E09000001,City of London,E01000001,4 people in household,41
E09000001,City of London,E01000001,5 people in household,6
E09000001,City of London,E01000001,6 people in household,0
E09000001,City of London,E01000001,7 people in household,0
E09000001,City of London,E01000001,8 or more people in household,0
E09000001,City of London,E01000002,1 person in household,411
E09000001,City of London,E01000002,2 people in household,315
E09000001,City of London,E01000002,3 people in household,62
E09000001,City of London,E01000002,4 people in household,33
E09000001,City of London,E01000002,5 people in household,5
E09000001,City of London,E01000002,6 people in household,1
E09000001,City of London,E01000002,7 people in household,0
E09000001,City of London,E01000002,8 or more people in household,0
E09000001,City of London,E01000003,1 person in household,582
E09000001,City of London,E01000003,2 people in household,321
E09000001,City of London,E01000003,3 people in household,74
E09000001,City of London,E01000003,4 people in household,32
E09000001,City of London,E01000003,5 people in household,6
E09000001,City of London,E01000003,6 people in household,1
E09000001,City of London,E01000003,7 people in household,0
E09000001,City of London,E01000003,8 or more people in household,0
E09000001,City of London,E01000005,1 person in household,218
E09000001,City of London,E01000005,2 people in household,120
E09000001,City of London,E01000005,3 people in household,48
E09000001,City of London,E01000005,4 people in household,44
E09000001,City of London,E01000005,5 people in household,25
E09000001,City of London,E01000005,6 people in household,7
E09000001,City of London,E01000005,7 people in household,8
E09000001,City of London,E01000005,8 or more people in household,4
E09000002,Barking and Dagenham,E01000006,1 person in household,93
E09000002,Barking and Dagenham,E01000006,2 people in household,124
E09000002,Barking and Dagenham,E01000006,3 people in household,105
E09000002,Barking and Dagenham,E01000006,4 people in household,99
E09000002,Barking and Dagenham,E01000006,5 people in household,62
E09000002,Barking and Dagenham,E01000006,6 people in household,40
E09000002,Barking and Dagenham,E01000006,7 people in household,14
E09000002,Barking and Dagenham,E01000006,8 or more people in household,16
E09000002,Barking and Dagenham,E01000007,1 person in household,437
E09000002,Barking and Dagenham,E01000007,2 people in household,304
E09000002,Barking and Dagenham,E01000007,3 people in household,161
E09000002,Barking and Dagenham,E01000007,4 people in household,154
E09000002,Barking and Dagenham,E01000007,5 people in household,93
E09000002,Barking and Dagenham,E01000007,6 people in household,17
E09000002,Barking and Dagenham,E01000007,7 people in household,18
E09000002,Barking and Dagenham,E01000007,8 or more people in household,8
E09000002,Barking and Dagenham,E01000008,1 person in household,133
E09000002,Barking and Dagenham,E01000008,2 people in household,87
E09000002,Barking and Dagenham,E01000008,3 people in household,104
E09000002,Barking and Dagenham,E01000008,4 people in household,87
E09000002,Barking and Dagenham,E01000008,5 people in household,60
E09000002,Barking and Dagenham,E01000008,6 people in household,37
E09000002,Barking and Dagenham,E01000008,7 people in household,18
E09000002,Barking and Dagenham,E01000008,8 or more people in household,23
E09000002,Barking and Dagenham,E01000009,1 person in household,173
E09000002,Barking and Dagenham,E01000009,2 people in household,124
E09000002,Barking and Dagenham,E01000009,3 people in household,104
E09000002,Barking and Dagenham,E01000009,4 people in household,83
E09000002,Barking and Dagenham,E01000009,5 people in household,55
E09000002,Barking and Dagenham,E01000009,6 people in household,27
E09000002,Barking and Dagenham,E01000009,7 people in household,15
E09000002,Barking and Dagenham,E01000009,8 or more people in household,20
E09000002,Barking and Dagenham,E01000011,1 person in household,96
E09000002,Barking and Dagenham,E01000011,2 people in household,79
E09000002,Barking and Dagenham,E01000011,3 people in household,72
E09000002,Barking and Dagenham,E01000011,4 people in household,78
E09000002,Barking and Dagenham,E01000011,5 people in household,57
E09000002,Barking and Dagenham,E01000011,6 people in household,49
E09000002,Barking and Dagenham,E01000011,7 people in household,19
E09000002,Barking and Dagenham,E01000011,8 or more people in household,23
