lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,Household is not deprived in any dimension,550
E09000001,City of London,E01000001,Household is deprived in one dimension,253
E09000001,City of London,E01000001,Household is deprived in two dimensions,32
E09000001,City of London,E01000001,Household is deprived in three dimensions,3
E09000001,City of London,E01000001,Household is deprived in four dimensions,0
E09000001,City of London,E01000002,Household is not deprived in any dimension,541
E09000001,City of London,E01000002,Household is deprived in one dimension,254
E09000001,City of London,E01000002,Household is deprived in two dimensions,28
E09000001,City of London,E01000002,Household is deprived in three dimensions,1
E09000001,City of London,E01000002,Household is deprived in four dimensions,0
E09000001,City of London,E01000003,Household is not deprived in any dimension,486
E09000001,City of London,E01000003,Household is deprived in one dimension,389
E09000001,City of London,E01000003,Household is deprived in two dimensions,110
E09000001,City of London,E01000003,Household is deprived in three dimensions,27
E09000001,City of London,E01000003,Household is deprived in four dimensions,3
E09000001,City of London,E01000005,Household is not deprived in any dimension,163
E09000001,City of London,E01000005,Household is deprived in one dimension,175
E09000001,City of London,E01000005,Household is deprived in two dimensions,95
E09000001,City of London,E01000005,Household is deprived in three dimensions,37
E09000001,City of London,E01000005,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000006,Household is not deprived in any dimension,206
E09000002,Barking and Dagenham,E01000006,Household is deprived in one dimension,240
E09000002,Barking and Dagenham,E01000006,Household is deprived in two dimensions,74
E09000002,Barking and Dagenham,E01000006,Household is deprived in three dimensions,30
E09000002,Barking and Dagenham,E01000006,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000007,Household is not deprived in any dimension,509
E09000002,Barking and Dagenham,E01000007,Household is deprived in one dimension,440
E09000002,Barking and Dagenham,E01000007,Household is deprived in two dimensions,166
E09000002,Barking and Dagenham,E01000007,Household is deprived in three dimensions,61
E09000002,Barking and Dagenham,E01000007,Household is deprived in four dimensions,13
E09000002,Barking and Dagenham,E01000008,Household is not deprived in any dimension,137
E09000002,Barking and Dagenham,E01000008,Household is deprived in one dimension,228
E09000002,Barking and Dagenham,E01000008,Household is deprived in two dimensions,136
E09000002,Barking and Dagenham,E01000008,Household is deprived in three dimensions,44
E09000002,Barking and Dagenham,E01000008,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000009,Household is not deprived in any dimension,211
E09000002,Barking and Dagenham,E01000009,Household is deprived in one dimension,222
E09000002,Barking and Dagenham,E01000009,Household is deprived in two dimensions,126
E09000002,Barking and Dagenham,E01000009,Household is deprived in three dimensions,39
E09000002,Barking and Dagenham,E01000009,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000011,Household is not deprived in any dimension,165
E09000002,Barking and Dagenham,E01000011,Household is deprived in one dimension,192
E09000002,Barking and Dagenham,E01000011,Household is deprived in two dimensions,85
E09000002,Barking and Dagenham,E01000011,Household is deprived in three dimensions,25
E09000002,Barking and Dagenham,E01000011,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000012,Household is not deprived in any dimension,271
E09000002,Barking and Dagenham,E01000012,Household is deprived in one dimension,281
E09000002,Barking and Dagenham,E01000012,Household is deprived in two dimensions,186
E09000002,Barking and Dagenham,E01000012,Household is deprived in three dimensions,44
E09000002,Barking and Dagenham,E01000012,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000013,Household is not deprived in any dimension,204
E09000002,Barking and Dagenham,E01000013,Household is deprived in one dimension,230
E09000002,Barking and Dagenham,E01000013,Household is deprived in two dimensions,134
E09000002,Barking and Dagenham,E01000013,Household is deprived in three dimensions,48
E09000002,Barking and Dagenham,E01000013,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000014,Household is not deprived in any dimension,219
E09000002,Barking and Dagenham,E01000014,Household is deprived in one dimension,247
E09000002,Barking and Dagenham,E01000014,Household is deprived in two dimensions,124
E09000002,Barking and Dagenham,E01000014,Household is deprived in three dimensions,41
E09000002,Barking and Dagenham,E01000014,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000015,Household is not deprived in any dimension,337
E09000002,Barking and Dagenham,E01000015,Household is deprived in one dimension,300
E09000002,Barking and Dagenham,E01000015,Household is deprived in two dimensions,151
E09000002,Barking and Dagenham,E01000015,Household is deprived in three dimensions,48
E09000002,Barking and Dagenham,E01000015,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000016,Household is not deprived in any dimension,245
E09000002,Barking and Dagenham,E01000016,Household is deprived in one dimension,247
E09000002,Barking and Dagenham,E01000016,Household is deprived in two dimensions,102
E09000002,Barking and Dagenham,E01000016,Household is deprived in three dimensions,34
E09000002,Barking and Dagenham,E01000016,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000017,Household is not deprived in any dimension,175
E09000002,Barking and Dagenham,E01000017,Household is deprived in one dimension,222
E09000002,Barking and Dagenham,E01000017,Household is deprived in two dimensions,139
E09000002,Barking and Dagenham,E01000017,Household is deprived in three dimensions,48
E09000002,Barking and Dagenham,E01000017,Household is deprived in four dimensions,10
E09000002,Barking and Dagenham,E01000018,Household is not deprived in any dimension,250
E09000002,Barking and Dagenham,E01000018,Household is deprived in one dimension,238
E09000002,Barking and Dagenham,E01000018,Household is deprived in two dimensions,117
E09000002,Barking and Dagenham,E01000018,Household is deprived in three dimensions,39
E09000002,Barking and Dagenham,E01000018,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000019,Household is not deprived in any dimension,184
E09000002,Barking and Dagenham,E01000019,Household is deprived in one dimension,182
E09000002,Barking and Dagenham,E01000019,Household is deprived in two dimensions,100
E09000002,Barking and Dagenham,E01000019,Household is deprived in three dimensions,33
E09000002,Barking and Dagenham,E01000019,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000020,Household is not deprived in any dimension,230
E09000002,Barking and Dagenham,E01000020,Household is deprived in one dimension,223
E09000002,Barking and Dagenham,E01000020,Household is deprived in two dimensions,138
E09000002,Barking and Dagenham,E01000020,Household is deprived in three dimensions,68
E09000002,Barking and Dagenham,E01000020,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000021,Household is not deprived in any dimension,202
E09000002,Barking and Dagenham,E01000021,Household is deprived in one dimension,220
E09000002,Barking and Dagenham,E01000021,Household is deprived in two dimensions,127
E09000002,Barking and Dagenham,E01000021,Household is deprived in three dimensions,34
E09000002,Barking and Dagenham,E01000021,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000022,Household is not deprived in any dimension,198
E09000002,Barking and Dagenham,E01000022,Household is deprived in one dimension,168
