lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,Never married and never registered a civil partnership,588
E09000001,City of London,E01000001,Married: Opposite sex,521
E09000001,City of London,E01000001,Married: Same sex,31
E09000001,City of London,E01000001,In a registered civil partnership: Opposite sex,0
E09000001,City of London,E01000001,In a registered civil partnership: Same sex,29
E09000001,City of London,E01000001,"Separated, but still married",26
E09000001,City of London,E01000001,"Separated, but still in a registered civil partnership",1
E09000001,City of London,E01000001,Divorced,87
E09000001,City of London,E01000001,Formerly in a civil partnership now legally dissolved,2
E09000001,City of London,E01000001,Widowed,66
E09000001,City of London,E01000001,Surviving partner from civil partnership,0
E09000001,City of London,E01000002,Never married and never registered a civil partnership,662
E09000001,City of London,E01000002,Married: Opposite sex,442
E09000001,City of London,E01000002,Married: Same sex,12
E09000001,City of London,E01000002,In a registered civil partnership: Opposite sex,4
E09000001,City of London,E01000002,In a registered civil partnership: Same sex,26
E09000001,City of London,E01000002,"Separated, but still married",16
E09000001,City of London,E01000002,"Separated, but still in a registered civil partnership",1
E09000001,City of London,E01000002,Divorced,82
E09000001,City of London,E01000002,Formerly in a civil partnership now legally dissolved,2
E09000001,City of London,E01000002,Widowed,44
E09000001,City of London,E01000002,Surviving partner from civil partnership,0
E09000001,City of London,E01000003,Never married and never registered a civil partnership,841
E09000001,City of London,E01000003,Married: Opposite sex,392
E09000001,City of London,E01000003,Married: Same sex,13
E09000001,City of London,E01000003,In a registered civil partnership: Opposite sex,7
E09000001,City of London,E01000003,In a registered civil partnership: Same sex,16
E09000001,City of London,E01000003,"Separated, but still married",33
E09000001,City of London,E01000003,"Separated, but still in a registered civil partnership",0
E09000001,City of London,E01000003,Divorced,133
E09000001,City of London,E01000003,Formerly in a civil partnership now legally dissolved,9
E09000001,City of London,E01000003,Widowed,56
E09000001,City of London,E01000003,Surviving partner from civil partnership,3
E09000001,City of London,E01000005,Never married and never registered a civil partnership,538
E09000001,City of London,E01000005,Married: Opposite sex,261
E09000001,City of London,E01000005,Married: Same sex,3
E09000001,City of London,E01000005,In a registered civil partnership: Opposite sex,0
E09000001,City of London,E01000005,In a registered civil partnership: Same sex,2
E09000001,City of London,E01000005,"Separated, but still married",32
E09000001,City of London,E01000005,"Separated, but still in a registered civil partnership",0
E09000001,City of London,E01000005,Divorced,81
E09000001,City of London,E01000005,Formerly in a civil partnership now legally dissolved,1
E09000001,City of London,E01000005,Widowed,43
E09000001,City of London,E01000005,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000006,Never married and never registered a civil partnership,578
E09000002,Barking and Dagenham,E01000006,Married: Opposite sex,667
E09000002,Barking and Dagenham,E01000006,Married: Same sex,3
E09000002,Barking and Dagenham,E01000006,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000006,In a registered civil partnership: Same sex,2
E09000002,Barking and Dagenham,E01000006,"Separated, but still married",23
E09000002,Barking and Dagenham,E01000006,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000006,Divorced,89
E09000002,Barking and Dagenham,E01000006,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000006,Widowed,70
E09000002,Barking and Dagenham,E01000006,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000007,Never married and never registered a civil partnership,975
E09000002,Barking and Dagenham,E01000007,Married: Opposite sex,933
E09000002,Barking and Dagenham,E01000007,Married: Same sex,10
E09000002,Barking and Dagenham,E01000007,In a registered civil partnership: Opposite sex,6
E09000002,Barking and Dagenham,E01000007,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000007,"Separated, but still married",60
E09000002,Barking and Dagenham,E01000007,"Separated, but still in a registered civil partnership",2
E09000002,Barking and Dagenham,E01000007,Divorced,146
E09000002,Barking and Dagenham,E01000007,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000007,Widowed,33
E09000002,Barking and Dagenham,E01000007,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000008,Never married and never registered a civil partnership,640
E09000002,Barking and Dagenham,E01000008,Married: Opposite sex,453
E09000002,Barking and Dagenham,E01000008,Married: Same sex,1
E09000002,Barking and Dagenham,E01000008,In a registered civil partnership: Opposite sex,0
E09000002,Barking and Dagenham,E01000008,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000008,"Separated, but still married",47
E09000002,Barking and Dagenham,E01000008,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000008,Divorced,91
E09000002,Barking and Dagenham,E01000008,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000008,Widowed,26
E09000002,Barking and Dagenham,E01000008,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000009,Never married and never registered a civil partnership,504
E09000002,Barking and Dagenham,E01000009,Married: Opposite sex,681
E09000002,Barking and Dagenham,E01000009,Married: Same sex,1
E09000002,Barking and Dagenham,E01000009,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000009,In a registered civil partnership: Same sex,4
E09000002,Barking and Dagenham,E01000009,"Separated, but still married",35
E09000002,Barking and Dagenham,E01000009,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000009,Divorced,117
E09000002,Barking and Dagenham,E01000009,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000009,Widowed,64
E09000002,Barking and Dagenham,E01000009,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000011,Never married and never registered a civil partnership,536
E09000002,Barking and Dagenham,E01000011,Married: Opposite sex,639
E09000002,Barking and Dagenham,E01000011,Married: Same sex,17
E09000002,Barking and Dagenham,E01000011,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000011,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000011,"Separated, but still married",18
E09000002,Barking and Dagenham,E01000011,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000011,Divorced,73
E09000002,Barking and Dagenham,E01000011,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000011,Widowed,44
E09000002,Barking and Dagenham,E01000011,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000012,Never married and never registered a civil partnership,639
E09000002,Barking and Dagenham,E01000012,Married: Opposite sex,702
E09000002,Barking and Dagenham,E01000012,Married: Same sex,17
E09000002,Barking and Dagenham,E01000012,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000012,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000012,"Separated, but still married",44
E09000002,Barking and Dagenham,E01000012,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000012,Divorced,140
E09000002,Barking and Dagenham,E01000012,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000012,Widowed,35
E09000002,Barking and Dagenham,E01000012,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000013,Never married and never registered a civil partnership,580
E09000002,Barking and Dagenham,E01000013,Married: Opposite sex,582
E09000002,Barking and Dagenham,E01000013,Married: Same sex,3
E09000002,Barking and Dagenham,E01000013,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000013,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000013,"Separated, but still married",35
E09000002,Barking and Dagenham,E01000013,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000013,Divorced,130
E09000002,Barking and Dagenham,E01000013,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000013,Widowed,66
E09000002,Barking and Dagenham,E01000013,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000014,Never married and never registered a civil partnership,567
E09000002,Barking and Dagenham,E01000014,Married: Opposite sex,529
E09000002,Barking and Dagenham,E01000014,Married: Same sex,1
E09000002,Barking and Dagenham,E01000014,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000014,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000014,"Separated, but still married",47
E09000002,Barking and Dagenham,E01000014,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000014,Divorced,114
E09000002,Barking and Dagenham,E01000014,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000014,Widowed,57
E09000002,Barking and Dagenham,E01000014,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000015,Never married and never registered a civil partnership,785
E09000002,Barking and Dagenham,E01000015,Married: Opposite sex,649
E09000002,Barking and Dagenham,E01000015,Married: Same sex,3
E09000002,Barking and Dagenham,E01000015,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000015,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000015,"Separated, but still married",52
E09000002,Barking and Dagenham,E01000015,"Separated, but still in a registered civil partnership",1
E09000002,Barking and Dagenham,E01000015,Divorced,164
E09000002,Barking and Dagenham,E01000015,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000015,Widowed,76
E09000002,Barking and Dagenham,E01000015,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000016,Never married and never registered a civil partnership,577
E09000002,Barking and Dagenham,E01000016,Married: Opposite sex,593
E09000002,Barking and Dagenham,E01000016,Married: Same sex,3
E09000002,Barking and Dagenham,E01000016,In a registered civil partnership: Opposite sex,0
E09000002,Barking and Dagenham,E01000016,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000016,"Separated, but still married",42
E09000002,Barking and Dagenham,E01000016,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000016,Divorced,115
E09000002,Barking and Dagenham,E01000016,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000016,Widowed,70
E09000002,Barking and Dagenham,E01000016,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000017,Never married and never registered a civil partnership,550
E09000002,Barking and Dagenham,E01000017,Married: Opposite sex,526
E09000002,Barking and Dagenham,E01000017,Married: Same sex,1
E09000002,Barking and Dagenham,E01000017,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000017,In a registered civil partnership: Same sex,1
E09000002,Barking and Dagenham,E01000017,"Separated, but still married",32
E09000002,Barking and Dagenham,E01000017,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000017,Divorced,116
E09000002,Barking and Dagenham,E01000017,Formerly in a civil partnership now legally dissolved,1
E09000002,Barking and Dagenham,E01000017,Widowed,80
E09000002,Barking and Dagenham,E01000017,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000018,Never married and never registered a civil partnership,604
E09000002,Barking and Dagenham,E01000018,Married: Opposite sex,529
E09000002,Barking and Dagenham,E01000018,Married: Same sex,0
E09000002,Barking and Dagenham,E01000018,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000018,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000018,"Separated, but still married",34
E09000002,Barking and Dagenham,E01000018,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000018,Divorced,130
E09000002,Barking and Dagenham,E01000018,Formerly in a civil partnership now legally dissolved,3
E09000002,Barking and Dagenham,E01000018,Widowed,50
E09000002,Barking and Dagenham,E01000018,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000019,Never married and never registered a civil partnership,430
E09000002,Barking and Dagenham,E01000019,Married: Opposite sex,569
E09000002,Barking and Dagenham,E01000019,Married: Same sex,0
E09000002,Barking and Dagenham,E01000019,In a registered civil partnership: Opposite sex,0
E09000002,Barking and Dagenham,E01000019,In a registered civil partnership: Same sex,0
E09000002,Barking and Dagenham,E01000019,"Separated, but still married",37
E09000002,Barking and Dagenham,E01000019,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000019,Divorced,94
E09000002,Barking and Dagenham,E01000019,Formerly in a civil partnership now legally dissolved,0
E09000002,Barking and Dagenham,E01000019,Widowed,42
E09000002,Barking and Dagenham,E01000019,Surviving partner from civil partnership,0
E09000002,Barking and Dagenham,E01000020,Never married and never registered a civil partnership,649
E09000002,Barking and Dagenham,E01000020,Married: Opposite sex,707
E09000002,Barking and Dagenham,E01000020,Married: Same sex,1
E09000002,Barking and Dagenham,E01000020,In a registered civil partnership: Opposite sex,2
E09000002,Barking and Dagenham,E01000020,In a registered civil partnership: Same sex,2
E09000002,Barking and Dagenham,E01000020,"Separated, but still married",41
E09000002,Barking and Dagenham,E01000020,"Separated, but still in a registered civil partnership",0
E09000002,Barking and Dagenham,E01000020,Divorced,106
