lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,Born in the UK,874
E09000001,City of London,E01000001,10 years or more,263
E09000001,City of London,E01000001,"5 years or more, but less than 10 years",112
E09000001,City of London,E01000001,"2 years or more, but less than 5 years",100
E09000001,City of London,E01000001,Less than 2 years,127
E09000001,City of London,E01000002,Born in the UK,759
E09000001,City of London,E01000002,10 years or more,283
E09000001,City of London,E01000002,"5 years or more, but less than 10 years",117
E09000001,City of London,E01000002,"2 years or more, but less than 5 years",123
E09000001,City of London,E01000002,Less than 2 years,104
E09000001,City of London,E01000003,Born in the UK,921
E09000001,City of London,E01000003,10 years or more,358
E09000001,City of London,E01000003,"5 years or more, but less than 10 years",127
E09000001,City of London,E01000003,"2 years or more, but less than 5 years",99
E09000001,City of London,E01000003,Less than 2 years,106
E09000001,City of London,E01000005,Born in the UK,565
E09000001,City of London,E01000005,10 years or more,313
E09000001,City of London,E01000005,"5 years or more, but less than 10 years",70
E09000001,City of London,E01000005,"2 years or more, but less than 5 years",57
E09000001,City of London,E01000005,Less than 2 years,97
E09000002,Barking and Dagenham,E01000006,Born in the UK,888
E09000002,Barking and Dagenham,E01000006,10 years or more,548
E09000002,Barking and Dagenham,E01000006,"5 years or more, but less than 10 years",174
E09000002,Barking and Dagenham,E01000006,"2 years or more, but less than 5 years",161
E09000002,Barking and Dagenham,E01000006,Less than 2 years,75
E09000002,Barking and Dagenham,E01000007,Born in the UK,1222
E09000002,Barking and Dagenham,E01000007,10 years or more,848
E09000002,Barking and Dagenham,E01000007,"5 years or more, but less than 10 years",366
E09000002,Barking and Dagenham,E01000007,"2 years or more, but less than 5 years",257
E09000002,Barking and Dagenham,E01000007,Less than 2 years,218
E09000002,Barking and Dagenham,E01000008,Born in the UK,921
E09000002,Barking and Dagenham,E01000008,10 years or more,553
E09000002,Barking and Dagenham,E01000008,"5 years or more, but less than 10 years",170
E09000002,Barking and Dagenham,E01000008,"2 years or more, but less than 5 years",78
E09000002,Barking and Dagenham,E01000008,Less than 2 years,74
E09000002,Barking and Dagenham,E01000009,Born in the UK,719
E09000002,Barking and Dagenham,E01000009,10 years or more,528
E09000002,Barking and Dagenham,E01000009,"5 years or more, but less than 10 years",247
E09000002,Barking and Dagenham,E01000009,"2 years or more, but less than 5 years",176
E09000002,Barking and Dagenham,E01000009,Less than 2 years,128
E09000002,Barking and Dagenham,E01000011,Born in the UK,664
E09000002,Barking and Dagenham,E01000011,10 years or more,461
E09000002,Barking and Dagenham,E01000011,"5 years or more, but less than 10 years",223
E09000002,Barking and Dagenham,E01000011,"2 years or more, but less than 5 years",220
E09000002,Barking and Dagenham,E01000011,Less than 2 years,132
E09000002,Barking and Dagenham,E01000012,Born in the UK,1075
E09000002,Barking and Dagenham,E01000012,10 years or more,658
E09000002,Barking and Dagenham,E01000012,"5 years or more, but less than 10 years",267
E09000002,Barking and Dagenham,E01000012,"2 years or more, but less than 5 years",217
E09000002,Barking and Dagenham,E01000012,Less than 2 years,128
E09000002,Barking and Dagenham,E01000013,Born in the UK,1120
E09000002,Barking and Dagenham,E01000013,10 years or more,434
E09000002,Barking and Dagenham,E01000013,"5 years or more, but less than 10 years",133
E09000002,Barking and Dagenham,E01000013,"2 years or more, but less than 5 years",113
E09000002,Barking and Dagenham,E01000013,Less than 2 years,66
E09000002,Barking and Dagenham,E01000014,Born in the UK,1108
E09000002,Barking and Dagenham,E01000014,10 years or more,384
E09000002,Barking and Dagenham,E01000014,"5 years or more, but less than 10 years",112
E09000002,Barking and Dagenham,E01000014,"2 years or more, but less than 5 years",100
E09000002,Barking and Dagenham,E01000014,Less than 2 years,51
E09000002,Barking and Dagenham,E01000015,Born in the UK,1495
E09000002,Barking and Dagenham,E01000015,10 years or more,535
E09000002,Barking and Dagenham,E01000015,"5 years or more, but less than 10 years",201
E09000002,Barking and Dagenham,E01000015,"2 years or more, but less than 5 years",110
E09000002,Barking and Dagenham,E01000015,Less than 2 years,81
E09000002,Barking and Dagenham,E01000016,Born in the UK,1143
E09000002,Barking and Dagenham,E01000016,10 years or more,425
E09000002,Barking and Dagenham,E01000016,"5 years or more, but less than 10 years",114
E09000002,Barking and Dagenham,E01000016,"2 years or more, but less than 5 years",115
E09000002,Barking and Dagenham,E01000016,Less than 2 years,55
E09000002,Barking and Dagenham,E01000017,Born in the UK,1078
E09000002,Barking and Dagenham,E01000017,10 years or more,452
E09000002,Barking and Dagenham,E01000017,"5 years or more, but less than 10 years",108
E09000002,Barking and Dagenham,E01000017,"2 years or more, but less than 5 years",52
E09000002,Barking and Dagenham,E01000017,Less than 2 years,36
E09000002,Barking and Dagenham,E01000018,Born in the UK,1097
E09000002,Barking and Dagenham,E01000018,10 years or more,420
E09000002,Barking and Dagenham,E01000018,"5 years or more, but less than 10 years",107
E09000002,Barking and Dagenham,E01000018,"2 years or more, but less than 5 years",109
E09000002,Barking and Dagenham,E01000018,Less than 2 years,44
E09000002,Barking and Dagenham,E01000019,Born in the UK,962
E09000002,Barking and Dagenham,E01000019,10 years or more,400
E09000002,Barking and Dagenham,E01000019,"5 years or more, but less than 10 years",150
E09000002,Barking and Dagenham,E01000019,"2 years or more, but less than 5 years",91
E09000002,Barking and Dagenham,E01000019,Less than 2 years,52
E09000002,Barking and Dagenham,E01000020,Born in the UK,1333
E09000002,Barking and Dagenham,E01000020,10 years or more,574
E09000002,Barking and Dagenham,E01000020,"5 years or more, but less than 10 years",135
E09000002,Barking and Dagenham,E01000020,"2 years or more, but less than 5 years",83
E09000002,Barking and Dagenham,E01000020,Less than 2 years,65
E09000002,Barking and Dagenham,E01000021,Born in the UK,997
E09000002,Barking and Dagenham,E01000021,10 years or more,389
E09000002,Barking and Dagenham,E01000021,"5 years or more, but less than 10 years",170
E09000002,Barking and Dagenham,E01000021,"2 years or more, but less than 5 years",80
E09000002,Barking and Dagenham,E01000021,Less than 2 years,58
E09000002,Barking and Dagenham,E01000022,Born in the UK,890
E09000002,Barking and Dagenham,E01000022,10 years or more,400
E09000002,Barking and Dagenham,E01000022,"5 years or more, but less than 10 years",108
E09000002,Barking and Dagenham,E01000022,"2 years or more, but less than 5 years",34
E09000002,Barking and Dagenham,E01000022,Less than 2 years,44
E09000002,Barking and Dagenham,E01000024,Born in the UK,883
E09000002,Barking and Dagenham,E01000024,10 years or more,411
E09000002,Barking and Dagenham,E01000024,"5 years or more, but less than 10 years",87
