lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,Born in the UK,874
E09000001,City of London,E01000001,Arrived before 1951,1
E09000001,City of London,E01000001,Arrived 1951 to 1960,5
E09000001,City of London,E01000001,Arrived 1961 to 1970,21
E09000001,City of London,E01000001,Arrived 1971 to 1980,34
E09000001,City of London,E01000001,Arrived 1981 to 1990,33
E09000001,City of London,E01000001,Arrived 1991 to 2000,64
E09000001,City of London,E01000001,Arrived 2001 to 2010,109
E09000001,City of London,E01000001,Arrived 2011 to 2013,57
E09000001,City of London,E01000001,Arrived 2014 to 2016,85
E09000001,City of London,E01000001,Arrived 2017 to 2019,107
E09000001,City of London,E01000001,Arrived 2020 to 2021,98
E09000001,City of London,E01000002,Born in the UK,759
E09000001,City of London,E01000002,Arrived before 1951,8
E09000001,City of London,E01000002,Arrived 1951 to 1960,6
E09000001,City of London,E01000002,Arrived 1961 to 1970,25
E09000001,City of London,E01000002,Arrived 1971 to 1980,28
E09000001,City of London,E01000002,Arrived 1981 to 1990,31
E09000001,City of London,E01000002,Arrived 1991 to 2000,56
E09000001,City of London,E01000002,Arrived 2001 to 2010,122
E09000001,City of London,E01000002,Arrived 2011 to 2013,58
E09000001,City of London,E01000002,Arrived 2014 to 2016,94
E09000001,City of London,E01000002,Arrived 2017 to 2019,135
E09000001,City of London,E01000002,Arrived 2020 to 2021,60
E09000001,City of London,E01000003,Born in the UK,921
E09000001,City of London,E01000003,Arrived before 1951,0
E09000001,City of London,E01000003,Arrived 1951 to 1960,8
E09000001,City of London,E01000003,Arrived 1961 to 1970,21
E09000001,City of London,E01000003,Arrived 1971 to 1980,23
E09000001,City of London,E01000003,Arrived 1981 to 1990,54
E09000001,City of London,E01000003,Arrived 1991 to 2000,103
E09000001,City of London,E01000003,Arrived 2001 to 2010,138
E09000001,City of London,E01000003,Arrived 2011 to 2013,74
E09000001,City of London,E01000003,Arrived 2014 to 2016,88
E09000001,City of London,E01000003,Arrived 2017 to 2019,94
E09000001,City of London,E01000003,Arrived 2020 to 2021,82
E09000001,City of London,E01000005,Born in the UK,565
E09000001,City of London,E01000005,Arrived before 1951,4
E09000001,City of London,E01000005,Arrived 1951 to 1960,8
E09000001,City of London,E01000005,Arrived 1961 to 1970,11
E09000001,City of London,E01000005,Arrived 1971 to 1980,42
E09000001,City of London,E01000005,Arrived 1981 to 1990,39
E09000001,City of London,E01000005,Arrived 1991 to 2000,124
E09000001,City of London,E01000005,Arrived 2001 to 2010,86
E09000001,City of London,E01000005,Arrived 2011 to 2013,38
E09000001,City of London,E01000005,Arrived 2014 to 2016,46
E09000001,City of London,E01000005,Arrived 2017 to 2019,68
E09000001,City of London,E01000005,Arrived 2020 to 2021,70
E09000002,Barking and Dagenham,E01000006,Born in the UK,888
E09000002,Barking and Dagenham,E01000006,Arrived before 1951,0
E09000002,Barking and Dagenham,E01000006,Arrived 1951 to 1960,8
E09000002,Barking and Dagenham,E01000006,Arrived 1961 to 1970,41
E09000002,Barking and Dagenham,E01000006,Arrived 1971 to 1980,67
E09000002,Barking and Dagenham,E01000006,Arrived 1981 to 1990,46
E09000002,Barking and Dagenham,E01000006,Arrived 1991 to 2000,114
E09000002,Barking and Dagenham,E01000006,Arrived 2001 to 2010,268
E09000002,Barking and Dagenham,E01000006,Arrived 2011 to 2013,82
E09000002,Barking and Dagenham,E01000006,Arrived 2014 to 2016,136
E09000002,Barking and Dagenham,E01000006,Arrived 2017 to 2019,151
E09000002,Barking and Dagenham,E01000006,Arrived 2020 to 2021,50
E09000002,Barking and Dagenham,E01000007,Born in the UK,1222
E09000002,Barking and Dagenham,E01000007,Arrived before 1951,0
E09000002,Barking and Dagenham,E01000007,Arrived 1951 to 1960,5
E09000002,Barking and Dagenham,E01000007,Arrived 1961 to 1970,11
E09000002,Barking and Dagenham,E01000007,Arrived 1971 to 1980,16
E09000002,Barking and Dagenham,E01000007,Arrived 1981 to 1990,46
E09000002,Barking and Dagenham,E01000007,Arrived 1991 to 2000,204
E09000002,Barking and Dagenham,E01000007,Arrived 2001 to 2010,551
E09000002,Barking and Dagenham,E01000007,Arrived 2011 to 2013,182
E09000002,Barking and Dagenham,E01000007,Arrived 2014 to 2016,292
E09000002,Barking and Dagenham,E01000007,Arrived 2017 to 2019,248
E09000002,Barking and Dagenham,E01000007,Arrived 2020 to 2021,133
E09000002,Barking and Dagenham,E01000008,Born in the UK,921
E09000002,Barking and Dagenham,E01000008,Arrived before 1951,0
E09000002,Barking and Dagenham,E01000008,Arrived 1951 to 1960,1
E09000002,Barking and Dagenham,E01000008,Arrived 1961 to 1970,4
E09000002,Barking and Dagenham,E01000008,Arrived 1971 to 1980,11
E09000002,Barking and Dagenham,E01000008,Arrived 1981 to 1990,25
E09000002,Barking and Dagenham,E01000008,Arrived 1991 to 2000,236
E09000002,Barking and Dagenham,E01000008,Arrived 2001 to 2010,268
E09000002,Barking and Dagenham,E01000008,Arrived 2011 to 2013,92
