lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,Main language is English (English or Welsh in Wales),1244
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Can speak English very well,166
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Can speak English well,32
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Cannot speak English well,4
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Cannot speak English,1
E09000001,City of London,E01000002,Main language is English (English or Welsh in Wales),1126
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Can speak English very well,198
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Can speak English well,35
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Cannot speak English well,5
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Cannot speak English,0
E09000001,City of London,E01000003,Main language is English (English or Welsh in Wales),1333
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Can speak English very well,183
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Can speak English well,54
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Cannot speak English well,13
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Cannot speak English,0
E09000001,City of London,E01000005,Main language is English (English or Welsh in Wales),756
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Can speak English very well,130
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Can speak English well,111
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Cannot speak English well,61
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Cannot speak English,10
E09000002,Barking and Dagenham,E01000006,Main language is English (English or Welsh in Wales),1125
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Can speak English very well,202
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Can speak English well,294
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Cannot speak English well,110
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Cannot speak English,23
E09000002,Barking and Dagenham,E01000007,Main language is English (English or Welsh in Wales),1843
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Can speak English very well,358
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Can speak English well,375
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Cannot speak English well,148
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Cannot speak English,24
E09000002,Barking and Dagenham,E01000008,Main language is English (English or Welsh in Wales),1299
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Can speak English very well,130
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Can speak English well,189
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Cannot speak English well,93
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Cannot speak English,10
E09000002,Barking and Dagenham,E01000009,Main language is English (English or Welsh in Wales),973
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Can speak English very well,263
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Can speak English well,286
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Cannot speak English well,175
