lad22cd,lad22nm,lsoa21cd,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E09000001,City of London,E01000001,4,66,49,2,37,8,3,0,27,7,2,18,822,31,0,11,318,22,46
E09000001,City of London,E01000002,6,103,37,2,33,7,2,0,25,4,2,29,735,42,0,6,302,13,36
E09000001,City of London,E01000003,11,51,37,2,50,32,15,8,35,15,7,43,813,32,0,4,343,19,91
E09000001,City of London,E01000005,258,35,23,1,31,75,27,15,16,12,20,31,259,20,0,6,148,26,101
E09000002,Barking and Dagenham,E01000006,215,11,161,409,89,129,42,30,16,15,15,26,239,15,0,13,338,5,82
E09000002,Barking and Dagenham,E01000007,326,39,229,249,83,648,94,89,28,44,73,35,323,13,4,65,434,23,108
E09000002,Barking and Dagenham,E01000008,198,8,40,173,39,637,32,47,3,24,36,23,284,4,0,0,162,13,71
E09000002,Barking and Dagenham,E01000009,214,20,193,394,58,142,38,20,17,18,10,8,240,5,3,4,294,6,112
E09000002,Barking and Dagenham,E01000011,250,8,138,457,80,123,30,18,15,3,8,15,176,5,3,10,291,10,62
E09000002,Barking and Dagenham,E01000012,285,7,146,269,81,538,88,58,24,28,20,53,267,3,0,17,362,29,77
E09000002,Barking and Dagenham,E01000013,128,25,51,58,53,275,34,29,16,15,16,15,755,17,1,24,319,4,30
E09000002,Barking and Dagenham,E01000014,161,17,41,54,31,226,30,41,5,12,12,17,770,14,0,9,276,9,29
E09000002,Barking and Dagenham,E01000015,153,10,51,80,79,352,65,70,9,19,45,37,955,12,10,1,385,18,69
E09000002,Barking and Dagenham,E01000016,118,3,36,49,59,293,40,47,6,5,19,16,760,6,0,10,293,19,69
E09000002,Barking and Dagenham,E01000017,160,1,48,91,65,284,26,41,18,16,27,18,687,15,0,2,181,15,31
E09000002,Barking and Dagenham,E01000018,104,5,41,48,35,279,15,35,13,21,29,11,802,16,2,8,287,4,26
E09000002,Barking and Dagenham,E01000019,174,10,128,208,43,186,41,18,10,14,13,21,490,8,0,18,208,3,66
E09000002,Barking and Dagenham,E01000020,153,9,101,164,62,317,81,34,19,16,14,22,694,10,0,13,221,199,60
E09000002,Barking and Dagenham,E01000021,160,7,109,192,65,199,46,23,10,14,13,27,516,7,0,1,234,2,62
E09000002,Barking and Dagenham,E01000022,152,11,64,117,31,216,36,36,12,12,21,14,479,18,1,2,205,3,43
E09000002,Barking and Dagenham,E01000024,121,12,93,101,54,239,34,29,7,21,15,21,455,2,0,2,220,0,57
E09000002,Barking and Dagenham,E01000025,149,10,82,162,53,256,38,39,2,21,16,19,742,7,0,6,274,16,30
E09000002,Barking and Dagenham,E01000027,97,1,83,109,65,225,70,39,15,26,55,39,967,11,0,20,228,8,25
E09000002,Barking and Dagenham,E01000028,187,2,88,93,34,331,56,49,12,27,22,22,547,28,6,6,224,25,57
E09000002,Barking and Dagenham,E01000029,185,10,208,185,71,130,80,29,10,8,10,11,572,41,0,5,209,1,59
E09000002,Barking and Dagenham,E01000030,153,16,66,154,35,511,116,102,10,51,58,29,929,5,0,5,241,19,56
E09000002,Barking and Dagenham,E01000031,227,6,202,258,66,111,100,41,26,19,36,20,406,11,1,15,149,9,69
E09000002,Barking and Dagenham,E01000032,319,17,186,163,74,127,68,26,10,26,21,35,623,20,5,19,246,5,93
E09000002,Barking and Dagenham,E01000033,69,7,17,41,22,256,36,46,9,15,32,5,787,7,0,14,137,6,34
E09000002,Barking and Dagenham,E01000034,85,4,27,49,16,214,34,55,3,11,23,18,799,13,0,1,188,10,24
E09000002,Barking and Dagenham,E01000035,213,29,56,48,41,293,47,48,18,14,20,17,722,18,2,14,222,11,31
E09000002,Barking and Dagenham,E01000036,221,17,71,41,59,222,32,38,12,4,5,6,427,13,0,7,243,11,34
E09000002,Barking and Dagenham,E01000037,89,13,69,61,87,90,76,11,10,15,12,13,897,29,0,9,151,8,52
E09000002,Barking and Dagenham,E01000038,80,5,68,52,66,105,44,29,19,11,29,8,864,13,8,2,163,6,49
E09000002,Barking and Dagenham,E01000039,59,6,56,103,56,188,68,32,13,14,31,11,839,12,15,2,173,5,65
E09000002,Barking and Dagenham,E01000040,241,14,71,160,49,329,31,54,5,16,20,15,526,7,9,4,218,13,91
E09000002,Barking and Dagenham,E01000041,183,8,47,63,34,252,27,40,14,18,26,14,733,5,1,11,322,7,30
E09000002,Barking and Dagenham,E01000042,241,6,73,122,30,312,53,59,5,30,14,26,554,5,1,2,306,8,33
E09000002,Barking and Dagenham,E01000043,319,0,66,139,43,165,18,29,13,11,10,6,453,6,2,0,197,7,54
E09000002,Barking and Dagenham,E01000044,182,19,139,260,84,197,72,37,21,33,25,54,380,6,3,4,394,16,54
E09000002,Barking and Dagenham,E01000045,219,5,36,71,28,276,40,52,9,10,29,17,609,1,0,11,242,13,60
E09000002,Barking and Dagenham,E01000046,132,11,48,93,57,304,44,46,13,18,14,18,784,6,0,1,326,15,32
E09000002,Barking and Dagenham,E01000049,132,6,101,321,41,510,24,79,16,39,16,8,341,5,0,5,252,23,56
E09000002,Barking and Dagenham,E01000050,199,28,199,151,97,220,35,70,13,11,17,17,326,13,4,24,321,17,77
E09000002,Barking and Dagenham,E01000051,162,12,42,100,47,301,44,33,14,14,9,19,115,5,2,6,137,17,29
E09000002,Barking and Dagenham,E01000052,327,19,168,224,98,261,48,31,33,32,28,20,528,15,3,13,404,4,100
E09000002,Barking and Dagenham,E01000053,87,11,38,72,30,303,55,30,5,15,30,25,613,9,1,5,240,5,41
E09000002,Barking and Dagenham,E01000054,114,11,68,42,32,297,44,42,6,22,22,18,848,2,0,11,240,8,43
E09000002,Barking and Dagenham,E01000055,106,17,54,70,19,277,36,31,5,25,34,25,725,10,0,9,211,12,39
E09000002,Barking and Dagenham,E01000056,108,6,33,67,22,265,63,40,7,9,29,21,776,10,1,2,216,11,15
E09000002,Barking and Dagenham,E01000057,73,5,30,60,40,305,35,47,11,35,21,12,562,8,1,0,276,5,25
E09000002,Barking and Dagenham,E01000058,295,23,33,62,53,371,61,50,15,37,41,18,639,6,5,6,351,6,60
E09000002,Barking and Dagenham,E01000059,91,3,21,42,49,280,28,37,10,7,32,11,809,12,4,0,235,3,37
E09000002,Barking and Dagenham,E01000060,135,14,39,103,38,427,60,67,24,31,18,28,834,7,0,1,214,32,111
E09000002,Barking and Dagenham,E01000061,99,8,63,52,41,417,78,65,8,37,43,21,778,6,0,0,134,18,59
E09000002,Barking and Dagenham,E01000062,106,14,71,79,57,448,40,85,21,19,30,20,851,17,2,17,279,5,56
E09000002,Barking and Dagenham,E01000063,106,15,96,117,23,240,35,18,11,15,19,8,789,9,0,4,219,9,40
E09000002,Barking and Dagenham,E01000064,155,17,62,111,65,527,63,40,15,16,10,22,811,12,1,3,274,33,51
E09000002,Barking and Dagenham,E01000065,115,5,70,90,29,324,45,54,12,17,25,23,866,7,0,4,241,4,54
E09000002,Barking and Dagenham,E01000066,979,39,162,286,58,129,43,27,33,14,17,16,446,7,0,2,151,24,66
