lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,"All adults in household have English in England, or English or Welsh in Wales as a main language",697
E09000001,City of London,E01000001,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",47
E09000001,City of London,E01000001,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5
E09000001,City of London,E01000001,"No people in household have English in England, or English or Welsh in Wales as a main language",85
E09000001,City of London,E01000002,"All adults in household have English in England, or English or Welsh in Wales as a main language",653
E09000001,City of London,E01000002,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",45
E09000001,City of London,E01000002,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",3
E09000001,City of London,E01000002,"No people in household have English in England, or English or Welsh in Wales as a main language",122
E09000001,City of London,E01000003,"All adults in household have English in England, or English or Welsh in Wales as a main language",827
E09000001,City of London,E01000003,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",62
E09000001,City of London,E01000003,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",12
E09000001,City of London,E01000003,"No people in household have English in England, or English or Welsh in Wales as a main language",119
E09000001,City of London,E01000005,"All adults in household have English in England, or English or Welsh in Wales as a main language",302
E09000001,City of London,E01000005,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",86
E09000001,City of London,E01000005,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13
E09000001,City of London,E01000005,"No people in household have English in England, or English or Welsh in Wales as a main language",80
E09000002,Barking and Dagenham,E01000006,"All adults in household have English in England, or English or Welsh in Wales as a main language",297
E09000002,Barking and Dagenham,E01000006,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",104
E09000002,Barking and Dagenham,E01000006,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",39
E09000002,Barking and Dagenham,E01000006,"No people in household have English in England, or English or Welsh in Wales as a main language",111
E09000002,Barking and Dagenham,E01000007,"All adults in household have English in England, or English or Welsh in Wales as a main language",735
E09000002,Barking and Dagenham,E01000007,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",109
E09000002,Barking and Dagenham,E01000007,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",76
E09000002,Barking and Dagenham,E01000007,"No people in household have English in England, or English or Welsh in Wales as a main language",267
E09000002,Barking and Dagenham,E01000008,"All adults in household have English in England, or English or Welsh in Wales as a main language",327
E09000002,Barking and Dagenham,E01000008,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",128
E09000002,Barking and Dagenham,E01000008,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",25
E09000002,Barking and Dagenham,E01000008,"No people in household have English in England, or English or Welsh in Wales as a main language",67
E09000002,Barking and Dagenham,E01000009,"All adults in household have English in England, or English or Welsh in Wales as a main language",281
E09000002,Barking and Dagenham,E01000009,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",112
E09000002,Barking and Dagenham,E01000009,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",53
E09000002,Barking and Dagenham,E01000009,"No people in household have English in England, or English or Welsh in Wales as a main language",156
E09000002,Barking and Dagenham,E01000011,"All adults in household have English in England, or English or Welsh in Wales as a main language",201
E09000002,Barking and Dagenham,E01000011,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",112
E09000002,Barking and Dagenham,E01000011,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",31
E09000002,Barking and Dagenham,E01000011,"No people in household have English in England, or English or Welsh in Wales as a main language",129
E09000002,Barking and Dagenham,E01000012,"All adults in household have English in England, or English or Welsh in Wales as a main language",452
E09000002,Barking and Dagenham,E01000012,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",98
E09000002,Barking and Dagenham,E01000012,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",70
E09000002,Barking and Dagenham,E01000012,"No people in household have English in England, or English or Welsh in Wales as a main language",161
E09000002,Barking and Dagenham,E01000013,"All adults in household have English in England, or English or Welsh in Wales as a main language",439
E09000002,Barking and Dagenham,E01000013,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",62
E09000002,Barking and Dagenham,E01000013,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",40
E09000002,Barking and Dagenham,E01000013,"No people in household have English in England, or English or Welsh in Wales as a main language",78
E09000002,Barking and Dagenham,E01000014,"All adults in household have English in England, or English or Welsh in Wales as a main language",466
E09000002,Barking and Dagenham,E01000014,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",51
E09000002,Barking and Dagenham,E01000014,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",45
E09000002,Barking and Dagenham,E01000014,"No people in household have English in England, or English or Welsh in Wales as a main language",72
E09000002,Barking and Dagenham,E01000015,"All adults in household have English in England, or English or Welsh in Wales as a main language",591
E09000002,Barking and Dagenham,E01000015,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",77
E09000002,Barking and Dagenham,E01000015,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",67
E09000002,Barking and Dagenham,E01000015,"No people in household have English in England, or English or Welsh in Wales as a main language",97
E09000002,Barking and Dagenham,E01000016,"All adults in household have English in England, or English or Welsh in Wales as a main language",466
E09000002,Barking and Dagenham,E01000016,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",50
E09000002,Barking and Dagenham,E01000016,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",42
E09000002,Barking and Dagenham,E01000016,"No people in household have English in England, or English or Welsh in Wales as a main language",72
E09000002,Barking and Dagenham,E01000017,"All adults in household have English in England, or English or Welsh in Wales as a main language",446
E09000002,Barking and Dagenham,E01000017,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",64
E09000002,Barking and Dagenham,E01000017,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",31
E09000002,Barking and Dagenham,E01000017,"No people in household have English in England, or English or Welsh in Wales as a main language",57
E09000002,Barking and Dagenham,E01000018,"All adults in household have English in England, or English or Welsh in Wales as a main language",475
E09000002,Barking and Dagenham,E01000018,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",52
E09000002,Barking and Dagenham,E01000018,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",40
E09000002,Barking and Dagenham,E01000018,"No people in household have English in England, or English or Welsh in Wales as a main language",77
E09000002,Barking and Dagenham,E01000019,"All adults in household have English in England, or English or Welsh in Wales as a main language",334
E09000002,Barking and Dagenham,E01000019,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",68
E09000002,Barking and Dagenham,E01000019,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",40
E09000002,Barking and Dagenham,E01000019,"No people in household have English in England, or English or Welsh in Wales as a main language",60
E09000002,Barking and Dagenham,E01000020,"All adults in household have English in England, or English or Welsh in Wales as a main language",469
E09000002,Barking and Dagenham,E01000020,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",85
E09000002,Barking and Dagenham,E01000020,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",39
E09000002,Barking and Dagenham,E01000020,"No people in household have English in England, or English or Welsh in Wales as a main language",70
E09000002,Barking and Dagenham,E01000021,"All adults in household have English in England, or English or Welsh in Wales as a main language",393
E09000002,Barking and Dagenham,E01000021,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",80
E09000002,Barking and Dagenham,E01000021,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",41
E09000002,Barking and Dagenham,E01000021,"No people in household have English in England, or English or Welsh in Wales as a main language",86
E09000002,Barking and Dagenham,E01000022,"All adults in household have English in England, or English or Welsh in Wales as a main language",338
E09000002,Barking and Dagenham,E01000022,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",59
E09000002,Barking and Dagenham,E01000022,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",27
E09000002,Barking and Dagenham,E01000022,"No people in household have English in England, or English or Welsh in Wales as a main language",54
E09000002,Barking and Dagenham,E01000024,"All adults in household have English in England, or English or Welsh in Wales as a main language",307
E09000002,Barking and Dagenham,E01000024,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",65
E09000002,Barking and Dagenham,E01000024,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",30
E09000002,Barking and Dagenham,E01000024,"No people in household have English in England, or English or Welsh in Wales as a main language",54
E09000002,Barking and Dagenham,E01000025,"All adults in household have English in England, or English or Welsh in Wales as a main language",511
E09000002,Barking and Dagenham,E01000025,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",68
E09000002,Barking and Dagenham,E01000025,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",41
E09000002,Barking and Dagenham,E01000025,"No people in household have English in England, or English or Welsh in Wales as a main language",72
E09000002,Barking and Dagenham,E01000027,"All adults in household have English in England, or English or Welsh in Wales as a main language",517
E09000002,Barking and Dagenham,E01000027,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",58
E09000002,Barking and Dagenham,E01000027,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",29
E09000002,Barking and Dagenham,E01000027,"No people in household have English in England, or English or Welsh in Wales as a main language",59
E09000002,Barking and Dagenham,E01000028,"All adults in household have English in England, or English or Welsh in Wales as a main language",435
E09000002,Barking and Dagenham,E01000028,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",91
E09000002,Barking and Dagenham,E01000028,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",32
E09000002,Barking and Dagenham,E01000028,"No people in household have English in England, or English or Welsh in Wales as a main language",63
E09000002,Barking and Dagenham,E01000029,"All adults in household have English in England, or English or Welsh in Wales as a main language",514
E09000002,Barking and Dagenham,E01000029,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",71
E09000002,Barking and Dagenham,E01000029,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",26
E09000002,Barking and Dagenham,E01000029,"No people in household have English in England, or English or Welsh in Wales as a main language",70
E09000002,Barking and Dagenham,E01000030,"All adults in household have English in England, or English or Welsh in Wales as a main language",718
E09000002,Barking and Dagenham,E01000030,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",74
E09000002,Barking and Dagenham,E01000030,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",56
E09000002,Barking and Dagenham,E01000030,"No people in household have English in England, or English or Welsh in Wales as a main language",57
E09000002,Barking and Dagenham,E01000031,"All adults in household have English in England, or English or Welsh in Wales as a main language",426
E09000002,Barking and Dagenham,E01000031,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",97
E09000002,Barking and Dagenham,E01000031,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",21
E09000002,Barking and Dagenham,E01000031,"No people in household have English in England, or English or Welsh in Wales as a main language",53
E09000002,Barking and Dagenham,E01000032,"All adults in household have English in England, or English or Welsh in Wales as a main language",478
E09000002,Barking and Dagenham,E01000032,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",93
E09000002,Barking and Dagenham,E01000032,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",55
E09000002,Barking and Dagenham,E01000032,"No people in household have English in England, or English or Welsh in Wales as a main language",99
E09000002,Barking and Dagenham,E01000033,"All adults in household have English in England, or English or Welsh in Wales as a main language",465
E09000002,Barking and Dagenham,E01000033,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",29
E09000002,Barking and Dagenham,E01000033,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",24
E09000002,Barking and Dagenham,E01000033,"No people in household have English in England, or English or Welsh in Wales as a main language",34
E09000002,Barking and Dagenham,E01000034,"All adults in household have English in England, or English or Welsh in Wales as a main language",414
E09000002,Barking and Dagenham,E01000034,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",51
