lad22cd,lad22nm,lsoa21cd,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language"
E09000001,City of London,E01000001,697,47,5,85
E09000001,City of London,E01000002,653,45,3,122
E09000001,City of London,E01000003,827,62,12,119
E09000001,City of London,E01000005,302,86,13,80
E09000002,Barking and Dagenham,E01000006,297,104,39,111
E09000002,Barking and Dagenham,E01000007,735,109,76,267
E09000002,Barking and Dagenham,E01000008,327,128,25,67
E09000002,Barking and Dagenham,E01000009,281,112,53,156
E09000002,Barking and Dagenham,E01000011,201,112,31,129
E09000002,Barking and Dagenham,E01000012,452,98,70,161
E09000002,Barking and Dagenham,E01000013,439,62,40,78
E09000002,Barking and Dagenham,E01000014,466,51,45,72
E09000002,Barking and Dagenham,E01000015,591,77,67,97
E09000002,Barking and Dagenham,E01000016,466,50,42,72
E09000002,Barking and Dagenham,E01000017,446,64,31,57
E09000002,Barking and Dagenham,E01000018,475,52,40,77
E09000002,Barking and Dagenham,E01000019,334,68,40,60
E09000002,Barking and Dagenham,E01000020,469,85,39,70
E09000002,Barking and Dagenham,E01000021,393,80,41,86
E09000002,Barking and Dagenham,E01000022,338,59,27,54
E09000002,Barking and Dagenham,E01000024,307,65,30,54
E09000002,Barking and Dagenham,E01000025,511,68,41,72
E09000002,Barking and Dagenham,E01000027,517,58,29,59
E09000002,Barking and Dagenham,E01000028,435,91,32,63
E09000002,Barking and Dagenham,E01000029,514,71,26,70
E09000002,Barking and Dagenham,E01000030,718,74,56,57
E09000002,Barking and Dagenham,E01000031,426,97,21,53
E09000002,Barking and Dagenham,E01000032,478,93,55,99
E09000002,Barking and Dagenham,E01000033,465,29,24,34
E09000002,Barking and Dagenham,E01000034,414,51,16,33
E09000002,Barking and Dagenham,E01000035,421,66,34,73
E09000002,Barking and Dagenham,E01000036,320,61,19,70
E09000002,Barking and Dagenham,E01000037,496,46,11,35
E09000002,Barking and Dagenham,E01000038,453,40,23,47
E09000002,Barking and Dagenham,E01000039,533,41,20,49
E09000002,Barking and Dagenham,E01000040,414,91,40,111
E09000002,Barking and Dagenham,E01000041,425,75,37,63
E09000002,Barking and Dagenham,E01000042,468,80,33,74
E09000002,Barking and Dagenham,E01000043,310,89,19,53
E09000002,Barking and Dagenham,E01000044,389,121,40,112
E09000002,Barking and Dagenham,E01000045,418,63,26,70
E09000002,Barking and Dagenham,E01000046,486,65,42,68
E09000002,Barking and Dagenham,E01000049,333,130,44,68
E09000002,Barking and Dagenham,E01000050,358,84,57,133
E09000002,Barking and Dagenham,E01000051,273,36,20,103
E09000002,Barking and Dagenham,E01000052,472,104,77,141
E09000002,Barking and Dagenham,E01000053,501,40,36,74
E09000002,Barking and Dagenham,E01000054,485,53,40,61
E09000002,Barking and Dagenham,E01000055,422,63,31,52
E09000002,Barking and Dagenham,E01000056,431,62,32,39
E09000002,Barking and Dagenham,E01000057,378,65,34,57
E09000002,Barking and Dagenham,E01000058,467,86,48,100
E09000002,Barking and Dagenham,E01000059,443,44,27,59
E09000002,Barking and Dagenham,E01000060,637,53,50,70
E09000002,Barking and Dagenham,E01000061,604,47,23,78
E09000002,Barking and Dagenham,E01000062,593,61,37,77
E09000002,Barking and Dagenham,E01000063,477,62,32,52
E09000002,Barking and Dagenham,E01000064,575,82,39,103
E09000002,Barking and Dagenham,E01000065,592,63,43,84
E09000002,Barking and Dagenham,E01000066,421,171,23,93
E09000002,Barking and Dagenham,E01000067,434,125,43,59
E09000002,Barking and Dagenham,E01000068,281,122,10,64
E09000002,Barking and Dagenham,E01000069,340,138,17,43
E09000002,Barking and Dagenham,E01000070,355,148,24,54
E09000002,Barking and Dagenham,E01000071,520,158,40,90
E09000002,Barking and Dagenham,E01000072,538,80,43,80
E09000002,Barking and Dagenham,E01000073,494,55,41,71
E09000002,Barking and Dagenham,E01000074,455,68,35,68
E09000002,Barking and Dagenham,E01000075,470,77,31,64
E09000002,Barking and Dagenham,E01000076,583,66,37,110
E09000002,Barking and Dagenham,E01000077,424,73,30,68
E09000002,Barking and Dagenham,E01000078,448,55,51,67
E09000002,Barking and Dagenham,E01000079,481,48,29,62
E09000002,Barking and Dagenham,E01000080,470,51,30,57
E09000002,Barking and Dagenham,E01000081,473,68,41,70
E09000002,Barking and Dagenham,E01000082,535,58,32,74
E09000002,Barking and Dagenham,E01000083,468,60,39,64
E09000002,Barking and Dagenham,E01000084,374,49,25,54
E09000002,Barking and Dagenham,E01000085,418,54,33,72
E09000002,Barking and Dagenham,E01000086,369,37,35,48
E09000002,Barking and Dagenham,E01000087,366,71,24,58
E09000002,Barking and Dagenham,E01000088,402,89,46,68
E09000002,Barking and Dagenham,E01000089,423,64,39,74
E09000002,Barking and Dagenham,E01000090,350,82,44,77
E09000002,Barking and Dagenham,E01000091,461,108,39,64
E09000002,Barking and Dagenham,E01000093,491,73,37,64
E09000002,Barking and Dagenham,E01000094,563,86,58,136
E09000002,Barking and Dagenham,E01000095,537,69,59,75
E09000002,Barking and Dagenham,E01000096,341,65,40,40
E09000002,Barking and Dagenham,E01000097,498,76,37,73
E09000002,Barking and Dagenham,E01000098,434,84,32,70
E09000002,Barking and Dagenham,E01000099,657,95,59,132
E09000002,Barking and Dagenham,E01000100,475,68,34,78
E09000002,Barking and Dagenham,E01000101,429,67,27,58
E09000002,Barking and Dagenham,E01000102,455,52,42,80
E09000002,Barking and Dagenham,E01000103,408,54,29,43
E09000002,Barking and Dagenham,E01000104,548,55,42,46
E09000002,Barking and Dagenham,E01000105,722,67,48,100
