lad22cd,lad22nm,lsoa21cd,One-person household,All household members have the same ethnic group,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,Any other combination of multiple ethnic identities
E09000001,City of London,E01000001,371,293,7,139,29
E09000001,City of London,E01000002,411,275,11,106,20
E09000001,City of London,E01000003,582,258,20,119,35
E09000001,City of London,E01000005,218,162,21,42,38
E09000002,Barking and Dagenham,E01000006,93,308,31,56,63
E09000002,Barking and Dagenham,E01000007,437,558,60,87,48
E09000002,Barking and Dagenham,E01000008,133,295,49,37,36
E09000002,Barking and Dagenham,E01000009,173,333,17,38,40
E09000002,Barking and Dagenham,E01000011,96,295,15,21,45
E09000002,Barking and Dagenham,E01000012,163,427,53,51,91
E09000002,Barking and Dagenham,E01000013,117,390,33,30,46
E09000002,Barking and Dagenham,E01000014,166,384,33,24,31
E09000002,Barking and Dagenham,E01000015,183,506,52,53,38
E09000002,Barking and Dagenham,E01000016,122,390,36,39,42
E09000002,Barking and Dagenham,E01000017,146,352,30,32,40
E09000002,Barking and Dagenham,E01000018,155,394,33,35,28
E09000002,Barking and Dagenham,E01000019,73,339,21,38,31
E09000002,Barking and Dagenham,E01000020,146,404,22,54,41
E09000002,Barking and Dagenham,E01000021,160,325,26,51,28
E09000002,Barking and Dagenham,E01000022,92,306,27,28,27
E09000002,Barking and Dagenham,E01000024,74,304,23,25,33
E09000002,Barking and Dagenham,E01000025,231,354,30,49,31
E09000002,Barking and Dagenham,E01000027,133,413,40,36,42
E09000002,Barking and Dagenham,E01000028,190,326,37,32,39
E09000002,Barking and Dagenham,E01000029,189,394,27,49,25
E09000002,Barking and Dagenham,E01000030,220,508,69,58,54
E09000002,Barking and Dagenham,E01000031,154,324,27,46,40
E09000002,Barking and Dagenham,E01000032,177,416,30,51,51
E09000002,Barking and Dagenham,E01000033,156,335,24,21,22
E09000002,Barking and Dagenham,E01000034,125,302,26,27,33
E09000002,Barking and Dagenham,E01000035,145,358,27,36,28
E09000002,Barking and Dagenham,E01000036,94,296,19,29,33
E09000002,Barking and Dagenham,E01000037,128,373,18,44,29
E09000002,Barking and Dagenham,E01000038,121,359,17,34,31
E09000002,Barking and Dagenham,E01000039,164,382,23,52,22
E09000002,Barking and Dagenham,E01000040,154,398,34,37,38
E09000002,Barking and Dagenham,E01000041,108,386,37,29,46
E09000002,Barking and Dagenham,E01000042,189,369,40,31,27
E09000002,Barking and Dagenham,E01000043,102,296,16,18,38
E09000002,Barking and Dagenham,E01000044,194,325,43,44,55
E09000002,Barking and Dagenham,E01000045,118,361,25,42,39
E09000002,Barking and Dagenham,E01000046,143,413,30,27,49
E09000002,Barking and Dagenham,E01000049,116,347,44,26,43
E09000002,Barking and Dagenham,E01000050,156,343,45,38,45
E09000002,Barking and Dagenham,E01000051,128,227,20,36,19
E09000002,Barking and Dagenham,E01000052,167,469,43,49,65
E09000002,Barking and Dagenham,E01000053,231,327,42,28,20
E09000002,Barking and Dagenham,E01000054,124,413,43,23,34
E09000002,Barking and Dagenham,E01000055,90,382,28,32,33
E09000002,Barking and Dagenham,E01000056,113,364,28,30,27
E09000002,Barking and Dagenham,E01000057,95,331,40,34,32
E09000002,Barking and Dagenham,E01000058,122,451,32,40,52
E09000002,Barking and Dagenham,E01000059,126,350,30,33,31
E09000002,Barking and Dagenham,E01000060,247,447,30,47,39
E09000002,Barking and Dagenham,E01000061,269,388,35,30,30
E09000002,Barking and Dagenham,E01000062,187,433,51,41,50
E09000002,Barking and Dagenham,E01000063,142,393,21,35,36
E09000002,Barking and Dagenham,E01000064,212,465,41,41,36
E09000002,Barking and Dagenham,E01000065,282,394,32,28,47
E09000002,Barking and Dagenham,E01000066,198,410,20,36,44
E09000002,Barking and Dagenham,E01000067,124,419,24,49,41
E09000002,Barking and Dagenham,E01000068,64,332,9,21,50
E09000002,Barking and Dagenham,E01000069,82,351,3,30,70
E09000002,Barking and Dagenham,E01000070,103,396,13,32,38
E09000002,Barking and Dagenham,E01000071,187,495,25,40,59
E09000002,Barking and Dagenham,E01000072,162,430,61,37,52
E09000002,Barking and Dagenham,E01000073,180,368,39,48,30
E09000002,Barking and Dagenham,E01000074,161,359,42,30,32
