lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,One-person household,371
E09000001,City of London,E01000001,Multi-person household: No people stated their religion,34
E09000001,City of London,E01000001,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),147
E09000001,City of London,E01000001,Multi-person household: No religion (household may include people who did not state their religion),184
E09000001,City of London,E01000001,Multi-person household: Same religion and no religion (household may include people who did not state their religion),96
E09000001,City of London,E01000001,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),10
E09000001,City of London,E01000002,One-person household,411
E09000001,City of London,E01000002,Multi-person household: No people stated their religion,16
E09000001,City of London,E01000002,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),113
E09000001,City of London,E01000002,Multi-person household: No religion (household may include people who did not state their religion),179
E09000001,City of London,E01000002,Multi-person household: Same religion and no religion (household may include people who did not state their religion),92
E09000001,City of London,E01000002,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),12
E09000001,City of London,E01000003,One-person household,582
E09000001,City of London,E01000003,Multi-person household: No people stated their religion,20
E09000001,City of London,E01000003,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),138
E09000001,City of London,E01000003,Multi-person household: No religion (household may include people who did not state their religion),188
E09000001,City of London,E01000003,Multi-person household: Same religion and no religion (household may include people who did not state their religion),82
E09000001,City of London,E01000003,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),6
E09000001,City of London,E01000005,One-person household,218
E09000001,City of London,E01000005,Multi-person household: No people stated their religion,9
E09000001,City of London,E01000005,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),162
E09000001,City of London,E01000005,Multi-person household: No religion (household may include people who did not state their religion),48
E09000001,City of London,E01000005,Multi-person household: Same religion and no religion (household may include people who did not state their religion),33
E09000001,City of London,E01000005,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),10
E09000002,Barking and Dagenham,E01000006,One-person household,93
E09000002,Barking and Dagenham,E01000006,Multi-person household: No people stated their religion,10
E09000002,Barking and Dagenham,E01000006,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),372
E09000002,Barking and Dagenham,E01000006,Multi-person household: No religion (household may include people who did not state their religion),31
E09000002,Barking and Dagenham,E01000006,Multi-person household: Same religion and no religion (household may include people who did not state their religion),34
E09000002,Barking and Dagenham,E01000006,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),16
E09000002,Barking and Dagenham,E01000007,One-person household,437
E09000002,Barking and Dagenham,E01000007,Multi-person household: No people stated their religion,24
