lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,One-person household,371
E09000001,City of London,E01000001,All household members have the same ethnic group,293
E09000001,City of London,E01000001,Ethnic groups differ between generations but not within partnerships,7
E09000001,City of London,E01000001,Ethnic groups differ within partnerships,139
E09000001,City of London,E01000001,Any other combination of multiple ethnic identities,29
E09000001,City of London,E01000002,One-person household,411
E09000001,City of London,E01000002,All household members have the same ethnic group,275
E09000001,City of London,E01000002,Ethnic groups differ between generations but not within partnerships,11
E09000001,City of London,E01000002,Ethnic groups differ within partnerships,106
E09000001,City of London,E01000002,Any other combination of multiple ethnic identities,20
E09000001,City of London,E01000003,One-person household,582
E09000001,City of London,E01000003,All household members have the same ethnic group,258
E09000001,City of London,E01000003,Ethnic groups differ between generations but not within partnerships,20
E09000001,City of London,E01000003,Ethnic groups differ within partnerships,119
E09000001,City of London,E01000003,Any other combination of multiple ethnic identities,35
E09000001,City of London,E01000005,One-person household,218
E09000001,City of London,E01000005,All household members have the same ethnic group,162
E09000001,City of London,E01000005,Ethnic groups differ between generations but not within partnerships,21
E09000001,City of London,E01000005,Ethnic groups differ within partnerships,42
E09000001,City of London,E01000005,Any other combination of multiple ethnic identities,38
E09000002,Barking and Dagenham,E01000006,One-person household,93
E09000002,Barking and Dagenham,E01000006,All household members have the same ethnic group,308
E09000002,Barking and Dagenham,E01000006,Ethnic groups differ between generations but not within partnerships,31
E09000002,Barking and Dagenham,E01000006,Ethnic groups differ within partnerships,56
E09000002,Barking and Dagenham,E01000006,Any other combination of multiple ethnic identities,63
E09000002,Barking and Dagenham,E01000007,One-person household,437
E09000002,Barking and Dagenham,E01000007,All household members have the same ethnic group,558
E09000002,Barking and Dagenham,E01000007,Ethnic groups differ between generations but not within partnerships,60
E09000002,Barking and Dagenham,E01000007,Ethnic groups differ within partnerships,87
E09000002,Barking and Dagenham,E01000007,Any other combination of multiple ethnic identities,48
E09000002,Barking and Dagenham,E01000008,One-person household,133
E09000002,Barking and Dagenham,E01000008,All household members have the same ethnic group,295
E09000002,Barking and Dagenham,E01000008,Ethnic groups differ between generations but not within partnerships,49
E09000002,Barking and Dagenham,E01000008,Ethnic groups differ within partnerships,37
E09000002,Barking and Dagenham,E01000008,Any other combination of multiple ethnic identities,36
E09000002,Barking and Dagenham,E01000009,One-person household,173
E09000002,Barking and Dagenham,E01000009,All household members have the same ethnic group,333
E09000002,Barking and Dagenham,E01000009,Ethnic groups differ between generations but not within partnerships,17
E09000002,Barking and Dagenham,E01000009,Ethnic groups differ within partnerships,38
E09000002,Barking and Dagenham,E01000009,Any other combination of multiple ethnic identities,40
E09000002,Barking and Dagenham,E01000011,One-person household,96
E09000002,Barking and Dagenham,E01000011,All household members have the same ethnic group,295
