lad22cd,lad22nm,lsoa21cd,category,count_21
E09000001,City of London,E01000001,No religion,711
E09000001,City of London,E01000001,Christian,512
E09000001,City of London,E01000001,Buddhist,10
E09000001,City of London,E01000001,Hindu,39
E09000001,City of London,E01000001,Jewish,29
E09000001,City of London,E01000001,Muslim,32
E09000001,City of London,E01000001,Sikh,0
E09000001,City of London,E01000001,Other religion,5
E09000001,City of London,E01000001,Not answered,136
E09000001,City of London,E01000002,No religion,680
E09000001,City of London,E01000002,Christian,469
E09000001,City of London,E01000002,Buddhist,10
E09000001,City of London,E01000002,Hindu,21
E09000001,City of London,E01000002,Jewish,35
E09000001,City of London,E01000002,Muslim,27
E09000001,City of London,E01000002,Sikh,0
E09000001,City of London,E01000002,Other religion,5
E09000001,City of London,E01000002,Not answered,139
E09000001,City of London,E01000003,No religion,776
E09000001,City of London,E01000003,Christian,549
E09000001,City of London,E01000003,Buddhist,14
E09000001,City of London,E01000003,Hindu,18
E09000001,City of London,E01000003,Jewish,44
E09000001,City of London,E01000003,Muslim,50
E09000001,City of London,E01000003,Sikh,3
E09000001,City of London,E01000003,Other religion,6
E09000001,City of London,E01000003,Not answered,156
E09000001,City of London,E01000005,No religion,244
E09000001,City of London,E01000005,Christian,405
E09000001,City of London,E01000005,Buddhist,7
E09000001,City of London,E01000005,Hindu,16
E09000001,City of London,E01000005,Jewish,12
E09000001,City of London,E01000005,Muslim,341
E09000001,City of London,E01000005,Sikh,0
E09000001,City of London,E01000005,Other religion,6
E09000001,City of London,E01000005,Not answered,69
E09000002,Barking and Dagenham,E01000006,No religion,131
E09000002,Barking and Dagenham,E01000006,Christian,686
E09000002,Barking and Dagenham,E01000006,Buddhist,12
E09000002,Barking and Dagenham,E01000006,Hindu,105
E09000002,Barking and Dagenham,E01000006,Jewish,1
E09000002,Barking and Dagenham,E01000006,Muslim,724
E09000002,Barking and Dagenham,E01000006,Sikh,66
E09000002,Barking and Dagenham,E01000006,Other religion,2
E09000002,Barking and Dagenham,E01000006,Not answered,120
E09000002,Barking and Dagenham,E01000007,No religion,365
E09000002,Barking and Dagenham,E01000007,Christian,1109
E09000002,Barking and Dagenham,E01000007,Buddhist,11
E09000002,Barking and Dagenham,E01000007,Hindu,120
E09000002,Barking and Dagenham,E01000007,Jewish,1
E09000002,Barking and Dagenham,E01000007,Muslim,1099
E09000002,Barking and Dagenham,E01000007,Sikh,30
E09000002,Barking and Dagenham,E01000007,Other religion,17
E09000002,Barking and Dagenham,E01000007,Not answered,159
E09000002,Barking and Dagenham,E01000008,No religion,180
E09000002,Barking and Dagenham,E01000008,Christian,847
E09000002,Barking and Dagenham,E01000008,Buddhist,2
E09000002,Barking and Dagenham,E01000008,Hindu,36
E09000002,Barking and Dagenham,E01000008,Jewish,0
E09000002,Barking and Dagenham,E01000008,Muslim,620
E09000002,Barking and Dagenham,E01000008,Sikh,25
E09000002,Barking and Dagenham,E01000008,Other religion,3
E09000002,Barking and Dagenham,E01000008,Not answered,81
E09000002,Barking and Dagenham,E01000009,No religion,167
E09000002,Barking and Dagenham,E01000009,Christian,552
E09000002,Barking and Dagenham,E01000009,Buddhist,10
E09000002,Barking and Dagenham,E01000009,Hindu,135
E09000002,Barking and Dagenham,E01000009,Jewish,2
E09000002,Barking and Dagenham,E01000009,Muslim,716
E09000002,Barking and Dagenham,E01000009,Sikh,93
E09000002,Barking and Dagenham,E01000009,Other religion,11
E09000002,Barking and Dagenham,E01000009,Not answered,122
E09000002,Barking and Dagenham,E01000011,No religion,93
E09000002,Barking and Dagenham,E01000011,Christian,562
E09000002,Barking and Dagenham,E01000011,Buddhist,4
E09000002,Barking and Dagenham,E01000011,Hindu,70
E09000002,Barking and Dagenham,E01000011,Jewish,1
E09000002,Barking and Dagenham,E01000011,Muslim,814
E09000002,Barking and Dagenham,E01000011,Sikh,79
E09000002,Barking and Dagenham,E01000011,Other religion,1
E09000002,Barking and Dagenham,E01000011,Not answered,76
E09000002,Barking and Dagenham,E01000012,No religion,321
E09000002,Barking and Dagenham,E01000012,Christian,878
E09000002,Barking and Dagenham,E01000012,Buddhist,1
E09000002,Barking and Dagenham,E01000012,Hindu,103
E09000002,Barking and Dagenham,E01000012,Jewish,2
E09000002,Barking and Dagenham,E01000012,Muslim,861
E09000002,Barking and Dagenham,E01000012,Sikh,39
E09000002,Barking and Dagenham,E01000012,Other religion,11
E09000002,Barking and Dagenham,E01000012,Not answered,129
E09000002,Barking and Dagenham,E01000013,No religion,487
E09000002,Barking and Dagenham,E01000013,Christian,940
E09000002,Barking and Dagenham,E01000013,Buddhist,11
E09000002,Barking and Dagenham,E01000013,Hindu,17
E09000002,Barking and Dagenham,E01000013,Jewish,3
E09000002,Barking and Dagenham,E01000013,Muslim,271
E09000002,Barking and Dagenham,E01000013,Sikh,7
E09000002,Barking and Dagenham,E01000013,Other religion,8
E09000002,Barking and Dagenham,E01000013,Not answered,128
E09000002,Barking and Dagenham,E01000014,No religion,438
E09000002,Barking and Dagenham,E01000014,Christian,884
E09000002,Barking and Dagenham,E01000014,Buddhist,3
E09000002,Barking and Dagenham,E01000014,Hindu,22
E09000002,Barking and Dagenham,E01000014,Jewish,3
E09000002,Barking and Dagenham,E01000014,Muslim,272
E09000002,Barking and Dagenham,E01000014,Sikh,2
E09000002,Barking and Dagenham,E01000014,Other religion,12
