lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,1 person in household,371,453,-82
E09000001,City of London,E01000001,2 people in household,351,311,40
E09000001,City of London,E01000001,3 people in household,70,70,0
E09000001,City of London,E01000001,4 people in household,41,32,9
E09000001,City of London,E01000001,5 people in household,6,8,-2
E09000001,City of London,E01000001,6 people in household,0,2,-2
E09000001,City of London,E01000001,7 people in household,0,0,0
E09000001,City of London,E01000001,8 or more people in household,0,0,0
E09000001,City of London,E01000002,1 person in household,411,418,-7
E09000001,City of London,E01000002,2 people in household,315,285,30
E09000001,City of London,E01000002,3 people in household,62,71,-9
E09000001,City of London,E01000002,4 people in household,33,47,-14
E09000001,City of London,E01000002,5 people in household,5,7,-2
E09000001,City of London,E01000002,6 people in household,1,2,-1
E09000001,City of London,E01000002,7 people in household,0,0,0
E09000001,City of London,E01000002,8 or more people in household,0,0,0
E09000001,City of London,E01000003,1 person in household,582,507,75
E09000001,City of London,E01000003,2 people in household,321,214,107
E09000001,City of London,E01000003,3 people in household,74,76,-2
E09000001,City of London,E01000003,4 people in household,32,15,17
E09000001,City of London,E01000003,5 people in household,6,3,3
E09000001,City of London,E01000003,6 people in household,1,2,-1
E09000001,City of London,E01000003,7 people in household,0,0,0
E09000001,City of London,E01000003,8 or more people in household,0,0,0
E09000001,City of London,E01000005,1 person in household,218,228,-10
E09000001,City of London,E01000005,2 people in household,120,108,12
E09000001,City of London,E01000005,3 people in household,48,57,-9
E09000001,City of London,E01000005,4 people in household,44,39,5
E09000001,City of London,E01000005,5 people in household,25,15,10
E09000001,City of London,E01000005,6 people in household,7,9,-2
E09000001,City of London,E01000005,7 people in household,8,6,2
E09000001,City of London,E01000005,8 or more people in household,4,5,-1
E09000002,Barking and Dagenham,E01000006,1 person in household,93,97,-4
E09000002,Barking and Dagenham,E01000006,2 people in household,124,143,-19
E09000002,Barking and Dagenham,E01000006,3 people in household,105,104,1
E09000002,Barking and Dagenham,E01000006,4 people in household,99,87,12
E09000002,Barking and Dagenham,E01000006,5 people in household,62,62,0
E09000002,Barking and Dagenham,E01000006,6 people in household,40,29,11
E09000002,Barking and Dagenham,E01000006,7 people in household,14,8,6
E09000002,Barking and Dagenham,E01000006,8 or more people in household,16,13,3
E09000002,Barking and Dagenham,E01000007,1 person in household,437,253,184
E09000002,Barking and Dagenham,E01000007,2 people in household,304,155,149
E09000002,Barking and Dagenham,E01000007,3 people in household,161,83,78
E09000002,Barking and Dagenham,E01000007,4 people in household,154,58,96
E09000002,Barking and Dagenham,E01000007,5 people in household,93,41,52
E09000002,Barking and Dagenham,E01000007,6 people in household,17,16,1
