lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,10 years or more,263,237,26
E09000001,City of London,E01000001,"2 years or more, but less than 5 years",100,85,15
E09000001,City of London,E01000001,"5 years or more, but less than 10 years",112,86,26
E09000001,City of London,E01000001,Born in the UK,874,986,-112
E09000001,City of London,E01000001,Less than 2 years,127,71,56
E09000001,City of London,E01000002,10 years or more,283,221,62
E09000001,City of London,E01000002,"2 years or more, but less than 5 years",123,62,61
E09000001,City of London,E01000002,"5 years or more, but less than 10 years",117,72,45
E09000001,City of London,E01000002,Born in the UK,759,1048,-289
E09000001,City of London,E01000002,Less than 2 years,104,33,71
E09000001,City of London,E01000003,10 years or more,358,236,122
E09000001,City of London,E01000003,"2 years or more, but less than 5 years",99,68,31
E09000001,City of London,E01000003,"5 years or more, but less than 10 years",127,67,60
E09000001,City of London,E01000003,Born in the UK,921,909,12
E09000001,City of London,E01000003,Less than 2 years,106,66,40
E09000001,City of London,E01000005,10 years or more,313,240,73
E09000001,City of London,E01000005,"2 years or more, but less than 5 years",57,48,9
E09000001,City of London,E01000005,"5 years or more, but less than 10 years",70,47,23
E09000001,City of London,E01000005,Born in the UK,565,598,-33
E09000001,City of London,E01000005,Less than 2 years,97,52,45
E09000002,Barking and Dagenham,E01000006,10 years or more,548,394,154
E09000002,Barking and Dagenham,E01000006,"2 years or more, but less than 5 years",161,168,-7
E09000002,Barking and Dagenham,E01000006,"5 years or more, but less than 10 years",174,190,-16
E09000002,Barking and Dagenham,E01000006,Born in the UK,888,829,59
E09000002,Barking and Dagenham,E01000006,Less than 2 years,75,122,-47
E09000002,Barking and Dagenham,E01000007,10 years or more,848,226,622
E09000002,Barking and Dagenham,E01000007,"2 years or more, but less than 5 years",257,186,71
E09000002,Barking and Dagenham,E01000007,"5 years or more, but less than 10 years",366,244,122
E09000002,Barking and Dagenham,E01000007,Born in the UK,1222,632,590
E09000002,Barking and Dagenham,E01000007,Less than 2 years,218,103,115
E09000002,Barking and Dagenham,E01000008,10 years or more,553,410,143
E09000002,Barking and Dagenham,E01000008,"2 years or more, but less than 5 years",78,107,-29
E09000002,Barking and Dagenham,E01000008,"5 years or more, but less than 10 years",170,186,-16
E09000002,Barking and Dagenham,E01000008,Born in the UK,921,738,183
E09000002,Barking and Dagenham,E01000008,Less than 2 years,74,103,-29
E09000002,Barking and Dagenham,E01000009,10 years or more,528,442,86
E09000002,Barking and Dagenham,E01000009,"2 years or more, but less than 5 years",176,190,-14
E09000002,Barking and Dagenham,E01000009,"5 years or more, but less than 10 years",247,218,29
E09000002,Barking and Dagenham,E01000009,Born in the UK,719,734,-15
E09000002,Barking and Dagenham,E01000009,Less than 2 years,128,189,-61
E09000002,Barking and Dagenham,E01000011,10 years or more,461,384,77
E09000002,Barking and Dagenham,E01000011,"2 years or more, but less than 5 years",220,171,49
E09000002,Barking and Dagenham,E01000011,"5 years or more, but less than 10 years",223,213,10
E09000002,Barking and Dagenham,E01000011,Born in the UK,664,703,-39
E09000002,Barking and Dagenham,E01000011,Less than 2 years,132,163,-31
E09000002,Barking and Dagenham,E01000012,10 years or more,658,359,299
E09000002,Barking and Dagenham,E01000012,"2 years or more, but less than 5 years",217,220,-3
E09000002,Barking and Dagenham,E01000012,"5 years or more, but less than 10 years",267,334,-67
E09000002,Barking and Dagenham,E01000012,Born in the UK,1075,807,268
E09000002,Barking and Dagenham,E01000012,Less than 2 years,128,181,-53
E09000002,Barking and Dagenham,E01000013,10 years or more,434,183,251
E09000002,Barking and Dagenham,E01000013,"2 years or more, but less than 5 years",113,116,-3
E09000002,Barking and Dagenham,E01000013,"5 years or more, but less than 10 years",133,162,-29
E09000002,Barking and Dagenham,E01000013,Born in the UK,1120,1466,-346
E09000002,Barking and Dagenham,E01000013,Less than 2 years,66,49,17
E09000002,Barking and Dagenham,E01000014,10 years or more,384,113,271
E09000002,Barking and Dagenham,E01000014,"2 years or more, but less than 5 years",100,70,30
E09000002,Barking and Dagenham,E01000014,"5 years or more, but less than 10 years",112,111,1
E09000002,Barking and Dagenham,E01000014,Born in the UK,1108,1017,91
E09000002,Barking and Dagenham,E01000014,Less than 2 years,51,29,22
E09000002,Barking and Dagenham,E01000015,10 years or more,535,231,304
E09000002,Barking and Dagenham,E01000015,"2 years or more, but less than 5 years",110,107,3
E09000002,Barking and Dagenham,E01000015,"5 years or more, but less than 10 years",201,222,-21
E09000002,Barking and Dagenham,E01000015,Born in the UK,1495,1618,-123
E09000002,Barking and Dagenham,E01000015,Less than 2 years,81,63,18
E09000002,Barking and Dagenham,E01000016,10 years or more,425,158,267
E09000002,Barking and Dagenham,E01000016,"2 years or more, but less than 5 years",115,50,65
E09000002,Barking and Dagenham,E01000016,"5 years or more, but less than 10 years",114,95,19
E09000002,Barking and Dagenham,E01000016,Born in the UK,1143,1312,-169
E09000002,Barking and Dagenham,E01000016,Less than 2 years,55,22,33
E09000002,Barking and Dagenham,E01000017,10 years or more,452,179,273
E09000002,Barking and Dagenham,E01000017,"2 years or more, but less than 5 years",52,55,-3
E09000002,Barking and Dagenham,E01000017,"5 years or more, but less than 10 years",108,143,-35
E09000002,Barking and Dagenham,E01000017,Born in the UK,1078,1181,-103
E09000002,Barking and Dagenham,E01000017,Less than 2 years,36,36,0
E09000002,Barking and Dagenham,E01000018,10 years or more,420,144,276
E09000002,Barking and Dagenham,E01000018,"2 years or more, but less than 5 years",109,44,65
E09000002,Barking and Dagenham,E01000018,"5 years or more, but less than 10 years",107,157,-50
E09000002,Barking and Dagenham,E01000018,Born in the UK,1097,1230,-133
E09000002,Barking and Dagenham,E01000018,Less than 2 years,44,22,22
E09000002,Barking and Dagenham,E01000019,10 years or more,400,208,192
E09000002,Barking and Dagenham,E01000019,"2 years or more, but less than 5 years",91,76,15
E09000002,Barking and Dagenham,E01000019,"5 years or more, but less than 10 years",150,91,59
E09000002,Barking and Dagenham,E01000019,Born in the UK,962,986,-24
E09000002,Barking and Dagenham,E01000019,Less than 2 years,52,46,6
E09000002,Barking and Dagenham,E01000020,10 years or more,574,217,357
E09000002,Barking and Dagenham,E01000020,"2 years or more, but less than 5 years",83,68,15
E09000002,Barking and Dagenham,E01000020,"5 years or more, but less than 10 years",135,143,-8
E09000002,Barking and Dagenham,E01000020,Born in the UK,1333,1363,-30
E09000002,Barking and Dagenham,E01000020,Less than 2 years,65,43,22
E09000002,Barking and Dagenham,E01000021,10 years or more,389,216,173
E09000002,Barking and Dagenham,E01000021,"2 years or more, but less than 5 years",80,97,-17
E09000002,Barking and Dagenham,E01000021,"5 years or more, but less than 10 years",170,154,16
E09000002,Barking and Dagenham,E01000021,Born in the UK,997,1056,-59
E09000002,Barking and Dagenham,E01000021,Less than 2 years,58,56,2
E09000002,Barking and Dagenham,E01000022,10 years or more,400,158,242
E09000002,Barking and Dagenham,E01000022,"2 years or more, but less than 5 years",34,42,-8
E09000002,Barking and Dagenham,E01000022,"5 years or more, but less than 10 years",108,113,-5
E09000002,Barking and Dagenham,E01000022,Born in the UK,890,969,-79
E09000002,Barking and Dagenham,E01000022,Less than 2 years,44,32,12
E09000002,Barking and Dagenham,E01000024,10 years or more,411,187,224
E09000002,Barking and Dagenham,E01000024,"2 years or more, but less than 5 years",51,71,-20
E09000002,Barking and Dagenham,E01000024,"5 years or more, but less than 10 years",87,105,-18
E09000002,Barking and Dagenham,E01000024,Born in the UK,883,947,-64
E09000002,Barking and Dagenham,E01000024,Less than 2 years,56,26,30
E09000002,Barking and Dagenham,E01000025,10 years or more,488,159,329
E09000002,Barking and Dagenham,E01000025,"2 years or more, but less than 5 years",64,61,3
E09000002,Barking and Dagenham,E01000025,"5 years or more, but less than 10 years",141,109,32
E09000002,Barking and Dagenham,E01000025,Born in the UK,1177,1233,-56
E09000002,Barking and Dagenham,E01000025,Less than 2 years,54,47,7
E09000002,Barking and Dagenham,E01000027,10 years or more,369,134,235
E09000002,Barking and Dagenham,E01000027,"2 years or more, but less than 5 years",62,20,42
E09000002,Barking and Dagenham,E01000027,"5 years or more, but less than 10 years",120,96,24
E09000002,Barking and Dagenham,E01000027,Born in the UK,1494,1447,47
E09000002,Barking and Dagenham,E01000027,Less than 2 years,33,12,21
E09000002,Barking and Dagenham,E01000028,10 years or more,533,256,277
E09000002,Barking and Dagenham,E01000028,"2 years or more, but less than 5 years",67,51,16
E09000002,Barking and Dagenham,E01000028,"5 years or more, but less than 10 years",101,131,-30
E09000002,Barking and Dagenham,E01000028,Born in the UK,1068,1078,-10
E09000002,Barking and Dagenham,E01000028,Less than 2 years,49,33,16
E09000002,Barking and Dagenham,E01000029,10 years or more,531,262,269
E09000002,Barking and Dagenham,E01000029,"2 years or more, but less than 5 years",54,41,13
E09000002,Barking and Dagenham,E01000029,"5 years or more, but less than 10 years",117,91,26
E09000002,Barking and Dagenham,E01000029,Born in the UK,1070,1170,-100
E09000002,Barking and Dagenham,E01000029,Less than 2 years,47,38,9
E09000002,Barking and Dagenham,E01000030,10 years or more,592,241,351
E09000002,Barking and Dagenham,E01000030,"2 years or more, but less than 5 years",61,68,-7
E09000002,Barking and Dagenham,E01000030,"5 years or more, but less than 10 years",131,108,23
E09000002,Barking and Dagenham,E01000030,Born in the UK,1728,1464,264
E09000002,Barking and Dagenham,E01000030,Less than 2 years,50,34,16
E09000002,Barking and Dagenham,E01000031,10 years or more,468,296,172
E09000002,Barking and Dagenham,E01000031,"2 years or more, but less than 5 years",56,45,11
E09000002,Barking and Dagenham,E01000031,"5 years or more, but less than 10 years",100,86,14
E09000002,Barking and Dagenham,E01000031,Born in the UK,1094,1162,-68
E09000002,Barking and Dagenham,E01000031,Less than 2 years,53,28,25
E09000002,Barking and Dagenham,E01000032,10 years or more,478,211,267
E09000002,Barking and Dagenham,E01000032,"2 years or more, but less than 5 years",112,56,56
E09000002,Barking and Dagenham,E01000032,"5 years or more, but less than 10 years",185,97,88
E09000002,Barking and Dagenham,E01000032,Born in the UK,1252,1218,34
E09000002,Barking and Dagenham,E01000032,Less than 2 years,51,47,4
E09000002,Barking and Dagenham,E01000033,10 years or more,287,133,154
E09000002,Barking and Dagenham,E01000033,"2 years or more, but less than 5 years",64,37,27
E09000002,Barking and Dagenham,E01000033,"5 years or more, but less than 10 years",55,93,-38
E09000002,Barking and Dagenham,E01000033,Born in the UK,1110,1084,26
E09000002,Barking and Dagenham,E01000033,Less than 2 years,29,14,15
E09000002,Barking and Dagenham,E01000034,10 years or more,322,130,192
E09000002,Barking and Dagenham,E01000034,"2 years or more, but less than 5 years",24,32,-8
E09000002,Barking and Dagenham,E01000034,"5 years or more, but less than 10 years",93,65,28
E09000002,Barking and Dagenham,E01000034,Born in the UK,1104,1205,-101
E09000002,Barking and Dagenham,E01000034,Less than 2 years,28,12,16
E09000002,Barking and Dagenham,E01000035,10 years or more,438,199,239
E09000002,Barking and Dagenham,E01000035,"2 years or more, but less than 5 years",95,81,14
E09000002,Barking and Dagenham,E01000035,"5 years or more, but less than 10 years",137,101,36
E09000002,Barking and Dagenham,E01000035,Born in the UK,1127,1190,-63
E09000002,Barking and Dagenham,E01000035,Less than 2 years,59,39,20
E09000002,Barking and Dagenham,E01000036,10 years or more,412,221,191
E09000002,Barking and Dagenham,E01000036,"2 years or more, but less than 5 years",75,56,19
E09000002,Barking and Dagenham,E01000036,"5 years or more, but less than 10 years",109,94,15
E09000002,Barking and Dagenham,E01000036,Born in the UK,807,948,-141
E09000002,Barking and Dagenham,E01000036,Less than 2 years,69,34,35
E09000002,Barking and Dagenham,E01000037,10 years or more,270,116,154
E09000002,Barking and Dagenham,E01000037,"2 years or more, but less than 5 years",52,41,11
E09000002,Barking and Dagenham,E01000037,"5 years or more, but less than 10 years",100,51,49
E09000002,Barking and Dagenham,E01000037,Born in the UK,1245,1466,-221
E09000002,Barking and Dagenham,E01000037,Less than 2 years,33,14,19
E09000002,Barking and Dagenham,E01000038,10 years or more,297,96,201
E09000002,Barking and Dagenham,E01000038,"2 years or more, but less than 5 years",39,36,3
E09000002,Barking and Dagenham,E01000038,"5 years or more, but less than 10 years",84,57,27
E09000002,Barking and Dagenham,E01000038,Born in the UK,1165,1244,-79
E09000002,Barking and Dagenham,E01000038,Less than 2 years,27,14,13
E09000002,Barking and Dagenham,E01000039,10 years or more,309,118,191
E09000002,Barking and Dagenham,E01000039,"2 years or more, but less than 5 years",66,28,38
E09000002,Barking and Dagenham,E01000039,"5 years or more, but less than 10 years",104,62,42
E09000002,Barking and Dagenham,E01000039,Born in the UK,1239,1377,-138
E09000002,Barking and Dagenham,E01000039,Less than 2 years,28,18,10
E09000002,Barking and Dagenham,E01000040,10 years or more,453,197,256
E09000002,Barking and Dagenham,E01000040,"2 years or more, but less than 5 years",129,94,35
E09000002,Barking and Dagenham,E01000040,"5 years or more, but less than 10 years",159,137,22
E09000002,Barking and Dagenham,E01000040,Born in the UK,1036,1108,-72
E09000002,Barking and Dagenham,E01000040,Less than 2 years,104,33,71
E09000002,Barking and Dagenham,E01000041,10 years or more,425,185,240
E09000002,Barking and Dagenham,E01000041,"2 years or more, but less than 5 years",90,71,19
E09000002,Barking and Dagenham,E01000041,"5 years or more, but less than 10 years",151,151,0
E09000002,Barking and Dagenham,E01000041,Born in the UK,1117,1225,-108
E09000002,Barking and Dagenham,E01000041,Less than 2 years,55,50,5
E09000002,Barking and Dagenham,E01000042,10 years or more,448,235,213
E09000002,Barking and Dagenham,E01000042,"2 years or more, but less than 5 years",89,103,-14
E09000002,Barking and Dagenham,E01000042,"5 years or more, but less than 10 years",154,178,-24
E09000002,Barking and Dagenham,E01000042,Born in the UK,1125,1200,-75
E09000002,Barking and Dagenham,E01000042,Less than 2 years,63,72,-9
E09000002,Barking and Dagenham,E01000043,10 years or more,423,233,190
E09000002,Barking and Dagenham,E01000043,"2 years or more, but less than 5 years",56,70,-14
E09000002,Barking and Dagenham,E01000043,"5 years or more, but less than 10 years",121,117,4
E09000002,Barking and Dagenham,E01000043,Born in the UK,896,888,8
E09000002,Barking and Dagenham,E01000043,Less than 2 years,46,50,-4
E09000002,Barking and Dagenham,E01000044,10 years or more,581,342,239
E09000002,Barking and Dagenham,E01000044,"2 years or more, but less than 5 years",178,154,24
E09000002,Barking and Dagenham,E01000044,"5 years or more, but less than 10 years",225,237,-12
E09000002,Barking and Dagenham,E01000044,Born in the UK,917,970,-53
E09000002,Barking and Dagenham,E01000044,Less than 2 years,91,95,-4
