lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Lives in a communal establishment,0,0,0
E09000001,City of London,E01000001,Lives in a household,1475,1465,10
E09000001,City of London,E01000002,Lives in a communal establishment,0,0,0
E09000001,City of London,E01000002,Lives in a household,1386,1436,-50
E09000001,City of London,E01000003,Lives in a communal establishment,0,96,-96
E09000001,City of London,E01000003,Lives in a household,1613,1250,363
E09000001,City of London,E01000005,Lives in a communal establishment,54,0,54
E09000001,City of London,E01000005,Lives in a household,1046,985,61
E09000002,Barking and Dagenham,E01000006,Lives in a communal establishment,0,4,-4
E09000002,Barking and Dagenham,E01000006,Lives in a household,1843,1699,144
E09000002,Barking and Dagenham,E01000007,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000007,Lives in a household,2906,1391,1515
E09000002,Barking and Dagenham,E01000008,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000008,Lives in a household,1794,1544,250
E09000002,Barking and Dagenham,E01000009,Lives in a communal establishment,20,0,20
E09000002,Barking and Dagenham,E01000009,Lives in a household,1784,1773,11
E09000002,Barking and Dagenham,E01000011,Lives in a communal establishment,11,6,5
E09000002,Barking and Dagenham,E01000011,Lives in a household,1690,1628,62
E09000002,Barking and Dagenham,E01000012,Lives in a communal establishment,8,6,2
E09000002,Barking and Dagenham,E01000012,Lives in a household,2339,1895,444
E09000002,Barking and Dagenham,E01000013,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000013,Lives in a household,1872,1976,-104
E09000002,Barking and Dagenham,E01000014,Lives in a communal establishment,3,34,-31
E09000002,Barking and Dagenham,E01000014,Lives in a household,1748,1306,442
E09000002,Barking and Dagenham,E01000015,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000015,Lives in a household,2418,2241,177
E09000002,Barking and Dagenham,E01000016,Lives in a communal establishment,1,0,1
E09000002,Barking and Dagenham,E01000016,Lives in a household,1850,1637,213
E09000002,Barking and Dagenham,E01000017,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000017,Lives in a household,1724,1594,130
E09000002,Barking and Dagenham,E01000018,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000018,Lives in a household,1776,1597,179
E09000002,Barking and Dagenham,E01000019,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000019,Lives in a household,1657,1407,250
E09000002,Barking and Dagenham,E01000020,Lives in a communal establishment,63,61,2
E09000002,Barking and Dagenham,E01000020,Lives in a household,2130,1773,357
E09000002,Barking and Dagenham,E01000021,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000021,Lives in a household,1693,1579,114
E09000002,Barking and Dagenham,E01000022,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000022,Lives in a household,1477,1314,163
E09000002,Barking and Dagenham,E01000024,Lives in a communal establishment,0,11,-11
E09000002,Barking and Dagenham,E01000024,Lives in a household,1487,1325,162
E09000002,Barking and Dagenham,E01000025,Lives in a communal establishment,1,0,1
E09000002,Barking and Dagenham,E01000025,Lives in a household,1920,1609,311
E09000002,Barking and Dagenham,E01000027,Lives in a communal establishment,20,21,-1
E09000002,Barking and Dagenham,E01000027,Lives in a household,2063,1688,375
E09000002,Barking and Dagenham,E01000028,Lives in a communal establishment,24,30,-6
E09000002,Barking and Dagenham,E01000028,Lives in a household,1793,1519,274
E09000002,Barking and Dagenham,E01000029,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000029,Lives in a household,1821,1602,219
E09000002,Barking and Dagenham,E01000030,Lives in a communal establishment,2,0,2
E09000002,Barking and Dagenham,E01000030,Lives in a household,2561,1915,646
E09000002,Barking and Dagenham,E01000031,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000031,Lives in a household,1770,1617,153
E09000002,Barking and Dagenham,E01000032,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000032,Lives in a household,2078,1629,449
E09000002,Barking and Dagenham,E01000033,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000033,Lives in a household,1543,1361,182
E09000002,Barking and Dagenham,E01000034,Lives in a communal establishment,74,96,-22
E09000002,Barking and Dagenham,E01000034,Lives in a household,1500,1348,152
E09000002,Barking and Dagenham,E01000035,Lives in a communal establishment,69,67,2
E09000002,Barking and Dagenham,E01000035,Lives in a household,1787,1543,244
E09000002,Barking and Dagenham,E01000036,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000036,Lives in a household,1472,1353,119
E09000002,Barking and Dagenham,E01000037,Lives in a communal establishment,77,141,-64
E09000002,Barking and Dagenham,E01000037,Lives in a household,1620,1547,73
E09000002,Barking and Dagenham,E01000038,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000038,Lives in a household,1617,1447,170
E09000002,Barking and Dagenham,E01000039,Lives in a communal establishment,19,8,11
E09000002,Barking and Dagenham,E01000039,Lives in a household,1732,1595,137
E09000002,Barking and Dagenham,E01000040,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000040,Lives in a household,1879,1569,310
E09000002,Barking and Dagenham,E01000041,Lives in a communal establishment,1,0,1
E09000002,Barking and Dagenham,E01000041,Lives in a household,1841,1682,159
E09000002,Barking and Dagenham,E01000042,Lives in a communal establishment,0,2,-2
E09000002,Barking and Dagenham,E01000042,Lives in a household,1882,1786,96
E09000002,Barking and Dagenham,E01000043,Lives in a communal establishment,0,2,-2
E09000002,Barking and Dagenham,E01000043,Lives in a household,1536,1356,180
E09000002,Barking and Dagenham,E01000044,Lives in a communal establishment,3,5,-2
E09000002,Barking and Dagenham,E01000044,Lives in a household,1985,1793,192
E09000002,Barking and Dagenham,E01000045,Lives in a communal establishment,0,4,-4
E09000002,Barking and Dagenham,E01000045,Lives in a household,1723,1646,77
E09000002,Barking and Dagenham,E01000046,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000046,Lives in a household,1957,1779,178
E09000002,Barking and Dagenham,E01000049,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000049,Lives in a household,1973,1820,153
E09000002,Barking and Dagenham,E01000050,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000050,Lives in a household,1839,1661,178
E09000002,Barking and Dagenham,E01000051,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000051,Lives in a household,1107,1927,-820
E09000002,Barking and Dagenham,E01000052,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000052,Lives in a household,2369,2014,355
E09000002,Barking and Dagenham,E01000053,Lives in a communal establishment,3,1,2
E09000002,Barking and Dagenham,E01000053,Lives in a household,1617,1484,133
E09000002,Barking and Dagenham,E01000054,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000054,Lives in a household,1871,1718,153
E09000002,Barking and Dagenham,E01000055,Lives in a communal establishment,2,0,2
E09000002,Barking and Dagenham,E01000055,Lives in a household,1703,1553,150
E09000002,Barking and Dagenham,E01000056,Lives in a communal establishment,56,42,14
E09000002,Barking and Dagenham,E01000056,Lives in a household,1646,1542,104
E09000002,Barking and Dagenham,E01000057,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000057,Lives in a household,1550,1496,54
E09000002,Barking and Dagenham,E01000058,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000058,Lives in a household,2138,1849,289
E09000002,Barking and Dagenham,E01000059,Lives in a communal establishment,44,42,2
E09000002,Barking and Dagenham,E01000059,Lives in a household,1666,1540,126
E09000002,Barking and Dagenham,E01000060,Lives in a communal establishment,3,0,3
E09000002,Barking and Dagenham,E01000060,Lives in a household,2174,1809,365
E09000002,Barking and Dagenham,E01000061,Lives in a communal establishment,46,57,-11
E09000002,Barking and Dagenham,E01000061,Lives in a household,1879,1719,160
E09000002,Barking and Dagenham,E01000062,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000062,Lives in a household,2218,1952,266
E09000002,Barking and Dagenham,E01000063,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000063,Lives in a household,1780,1620,160
E09000002,Barking and Dagenham,E01000064,Lives in a communal establishment,61,62,-1
E09000002,Barking and Dagenham,E01000064,Lives in a household,2235,1831,404
E09000002,Barking and Dagenham,E01000065,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000065,Lives in a household,1980,1736,244
E09000002,Barking and Dagenham,E01000066,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000066,Lives in a household,2501,1928,573
E09000002,Barking and Dagenham,E01000067,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000067,Lives in a household,2237,1969,268
E09000002,Barking and Dagenham,E01000068,Lives in a communal establishment,11,15,-4
E09000002,Barking and Dagenham,E01000068,Lives in a household,1783,1575,208
E09000002,Barking and Dagenham,E01000069,Lives in a communal establishment,0,7,-7
E09000002,Barking and Dagenham,E01000069,Lives in a household,2096,2163,-67
E09000002,Barking and Dagenham,E01000070,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000070,Lives in a household,2073,1568,505
E09000002,Barking and Dagenham,E01000071,Lives in a communal establishment,7,2,5
E09000002,Barking and Dagenham,E01000071,Lives in a household,2601,2251,350
E09000002,Barking and Dagenham,E01000072,Lives in a communal establishment,2,0,2
E09000002,Barking and Dagenham,E01000072,Lives in a household,2147,1991,156
E09000002,Barking and Dagenham,E01000073,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000073,Lives in a household,1849,1619,230
E09000002,Barking and Dagenham,E01000074,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000074,Lives in a household,1759,1567,192
E09000002,Barking and Dagenham,E01000075,Lives in a communal establishment,0,0,0
E09000002,Barking and Dagenham,E01000075,Lives in a household,2080,1732,348
E09000002,Barking and Dagenham,E01000076,Lives in a communal establishment,0,6,-6
E09000002,Barking and Dagenham,E01000076,Lives in a household,2162,1982,180
E09000002,Barking and Dagenham,E01000077,Lives in a communal establishment,0,8,-8
E09000002,Barking and Dagenham,E01000077,Lives in a household,1721,1437,284
